"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"HAUSS HEJNY","COLO STATE",140,70,2,95.8,"A+"
"BRADEN ATKINSON","OREGON ST",200,66.6666666666667,3,90.11,"A"
"CADEN CREEL","JVILLE ST",168,56,3,87.86,"A"
"TAYVEN JACKSON","N TEXAS",205,68.3333333333333,3,84.85,"A-"
"MALACHI SINGLETON","APP STATE",182,60.6666666666667,3,84.16,"A-"
"DEUCE BAILEY","COAST CAR",199,66.3333333333333,3,83.8,"A-"
"LUNCH WINFIELD","LA LAFAYET",177,59,3,81.53,"A-"
"DAVID MCCOMB","MIAMI OH",154,51.3333333333333,3,80.81,"A-"
"MICHAEL VAN BUREN JR.","USF",165,55,3,80.54,"A-"
"MARCUS STOKES","MEMPHIS",178,59.3333333333333,3,80.48,"A-"
"JOHN ALAN RICHTER","TOLEDO",167,55.6666666666667,3,79.67,"B+"
"BISHOP DAVENPORT","S ALABAMA",163,81.5,2,77.84,"B+"
"CAMERAN BROWN","GA STATE",168,56,3,76.62,"B+"
"LANDYN LOCKE","SM HOUSTON",198,66,3,75.63,"B+"
"MADDUX MADSEN","BOISE ST",216,72,3,75.26,"B+"
"RICKIE COLLINS","KENNESAW",181,60.3333333333333,3,74.94,"B+"
"CADEN VELTKAMP","FAU",250,83.3333333333333,3,71.25,"B"
"BRAD JACKSON","TEXAS ST",165,55,3,70.09,"B"
"NICK MINICUCCI","DELAWARE",184,61.3333333333333,3,69.81,"B"
"JJ KOHL","FIU",238,79.3333333333333,3,69.76,"B"
"QUINN HENICLE","DOMINION",179,59.6666666666667,3,67.13,"B"
"CADEN PINNICK","WASH STATE",184,61.3333333333333,3,67.06,"B"
"COLE GONZALES","CHARLOTTE",217,72.3333333333333,3,65.88,"B-"
"LUKE WEAVER","S JOSE ST",232,77.3333333333333,3,65.62,"B-"
"BLAKE BAKER","LA TECH",56,28,2,64.77,"B-"
"GOOSE CROWDER","TROY",214,71.3333333333333,3,64.48,"B-"
"JACKSON ARNOLD","UNLV",130,65,2,64.01,"B-"
"ROMAN GAGLIANO","MIDDLE TN",173,57.6666666666667,3,63.74,"B-"
"JACURRI BROWN","RICE",116,58,2,60.88,"B-"
"CARTER JONES","NEVADA",115,57.5,2,60.85,"B-"
"DESHAWN PURDIE","LIBERTY",178,59.3333333333333,3,60.71,"B-"
"TREY OWENS","ARK STATE",178,59.3333333333333,3,60.18,"B-"
"CIBASTIAN BROUGHTON","AKRON",133,44.3333333333333,3,56.97,"C+"
"TREY HEDDEN","NEW MEX ST",110,55,2,56.83,"C+"
"EJ COLSON JR.","UTEP",80,40,2,56.78,"C+"
"SKYLER LOCKLEAR","MO STATE",151,50.3333333333333,3,56.31,"C+"
"TYLER HUGHES","WYOMING",170,56.6666666666667,3,56.26,"C+"
"CARLOS DEL RIO-WILSON","MARSHALL",171,57,3,55.2,"C+"
"JAYDEN MANDAL","FRESNO ST",160,53.3333333333333,3,55.05,"C+"
"BROC LOWRY","W MICHIGAN",203,67.6666666666667,3,52.81,"C"
"BAYLOR HAYES","TULSA",122,61,2,52.37,"C"
"RYDER BURTON","UAB",221,73.6666666666667,3,52.27,"C"
"ELIJAH HOLMES","BUFFALO",168,84,2,51.98,"C"
"KADIN SEMONZA","TULANE",142,47.3333333333333,3,51.91,"C"
"AUSTIN CARLISLE","LA MONROE",110,36.6666666666667,3,51.69,"C"
"MATT VEZZA","OHIO",49,24.5,2,51.59,"C"
"MAX JOHNSON","GA SOUTHRN",188,62.6666666666667,3,50.45,"C"
"TOA FA'AVAE","NEW MEXICO",109,36.3333333333333,3,50.22,"C"
"OWEN MCCOWN","UTSA",151,50.3333333333333,3,45.26,"C-"
"DRU DESHIELDS","KENT STATE",108,36,3,44.12,"C-"
"CAMDEN COLEMAN","JAMES MAD",105,35,3,44,"C-"
"BROCK GLENN","W KENTUCKY",65,32.5,2,43.66,"C-"
"JAYDEN DENEGAL","S DIEGO ST",176,58.6666666666667,3,43.16,"C-"
"MICAH ALEJADO","HAWAII",152,76,2,42.68,"C-"
"KELDRIC LUSTER","BALL ST",165,55,3,42.01,"C-"
"TARON DICKENS","N ILLINOIS",119,39.6666666666667,3,41.25,"C-"
"ETHAN HAMPTON","SO MISS",168,56,3,39.8,"D+"
"NOAH KIM","E MICHIGAN",193,64.3333333333333,3,36.46,"D+"
"MITCH GRIFFIS","E CAROLINA",118,39.3333333333333,3,35.78,"D+"
"JASON WRIGHT","BUFFALO",64,64,2,35.39,"D+"
"GRADY BROSTERHOUS","UTAH ST",107,35.6666666666667,3,34.71,"D+"
"AIDAN ARMENTA","LA MONROE",64,32,2,33.47,"D+"
"JAY KASTANTIN","BOWL GREEN",170,56.6666666666667,3,30.15,"D"
"RODNEY TISDALE JR.","W KENTUCKY",161,80.5,2,18.45,"F"
