"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"DYLAN RILEY","BOISE ST",123,41,3,86.79,"A"
"JABARI BATES","S JOSE ST",161,53.6666666666667,3,84.19,"A-"
"TORRANCE BURGESS JR.","TEXAS ST",80,26.6666666666667,3,81.08,"A-"
"JAYLIN CARTER","MEMPHIS",91,30.3333333333333,3,80.71,"A-"
"JAMES JONES","NEW MEX ST",56,28,2,78.83,"B+"
"JAHIEM WHITE","N TEXAS",152,50.6666666666667,3,78.27,"B+"
"D.J. CROWTHER","USF",81,27,3,71.68,"B"
"JAVION KINNARD","S DIEGO ST",103,34.3333333333333,3,71.39,"B"
"PJ MARTIN","S ALABAMA",116,38.6666666666667,3,68.56,"B"
"NICK HERMAN","JAMES MAD",32,16,2,68.07,"B"
"JAI'DEN THOMAS","UNLV",104,52,2,66.45,"B-"
"MEL BROWN","COLO STATE",72,24,3,66.1,"B-"
"DOMINIC KELLEY","NEVADA",94,31.3333333333333,3,66.01,"B-"
"SIRE GAINES","BOISE ST",102,34,3,65.37,"B-"
"RAMONE GREEN JR.","MO STATE",46,23,2,65.23,"B-"
"DEVON RICE","HAWAII",104,52,2,65.07,"B-"
"ROD ROBINSON II","UAB",98,32.6666666666667,3,64.22,"B-"
"DAVIAN JACKSON","TEXAS ST",71,23.6666666666667,3,63.91,"B-"
"KEENAN PHILLIPS","S ALABAMA",100,33.3333333333333,3,63.38,"B-"
"KEVEUN MASON","TEMPLE",116,38.6666666666667,3,63.36,"B-"
"CONNOR WALENDZAK","TOLEDO",84,28,3,63.05,"B-"
"JALEN BUCKLEY","W MICHIGAN",119,39.6666666666667,3,62.93,"B-"
"STEVEN ROBINSON","SO MISS",121,40.3333333333333,3,62.85,"B-"
"TJ HORTON","BALL ST",74,24.6666666666667,3,62.14,"B-"
"WILL HENDERSON III","UTSA",93,31,3,61.27,"B-"
"JORDAN GANT","AKRON",66,33,2,61.04,"B-"
"MARKELL HOLMAN","WYOMING",34,17,2,57.54,"C+"
"LUCKY SUTTON","S DIEGO ST",70,35,2,56.25,"C+"
"A'MARION PETERSON","UTSA",11,11,2,55.92,"C+"
"DAMARI ALSTON","TULSA",93,31,3,55.51,"C+"
"LANEAR MCCRARY JR.","GA STATE",80,26.6666666666667,3,55.44,"C+"
"JAQUARI LEWIS","APP STATE",105,35,3,55.22,"C+"
"KENYON CLAY","ARK STATE",96,48,2,54.73,"C+"
"DERRICK JAMESON","LA MONROE",58,29,2,54.49,"C+"
"LATRELLE MURRELL","KENNESAW",37,18.5,2,54.42,"C+"
"ASHTON GRAY","E CAROLINA",59,19.6666666666667,3,53.78,"C+"
"SEAN PATRICK","AKRON",52,26,2,51.43,"C"
"BRYSON ROLAND","LA MONROE",54,27,2,51.23,"C"
"TAVORUS JONES","UTEP",61,30.5,2,51.08,"C"
"BRYSON DONELSON","FRESNO ST",60,20,3,51.07,"C"
"ANTONIO MARTIN","MIDDLE TN",101,33.6666666666667,3,50.31,"C"
"JAHEIM MERRIWEATHER","TROY",51,17,3,50.12,"C"
"TRAE'VON DUNBAR","S ALABAMA",36,18,2,49.7,"C"
"QWANTAVIUS WIGGINS","GA STATE",41,41,2,49.56,"C"
"AJAY ALLEN","W KENTUCKY",142,47.3333333333333,3,49.55,"C"
"TELLY JOHNSON JR.","N ILLINOIS",95,31.6666666666667,3,49.45,"C"
"GEORGE PETTAWAY","JAMES MAD",134,44.6666666666667,3,49.41,"C"
"AMAREON BLUE","E MICHIGAN",64,32,2,49.3,"C"
"DENNIS MURRAY JR.","GA STATE",40,20,2,48.23,"C"
"KAM DAVIS","LIBERTY",54,27,2,48.04,"C"
"DEVIN ROCHE","DOMINION",101,33.6666666666667,3,48,"C"
"TJ WASHINGTON JR.","NEW MEX ST",32,16,2,47.8,"C"
"SOLOMON BAGGETT","ARK STATE",22,11,2,47.49,"C"
"KHAMANI ALEXANDER","CHARLOTTE",116,38.6666666666667,3,44.86,"C-"
"BAM MCREYNOLDS","UAB",82,27.3333333333333,3,44.52,"C-"
"AJ NEWBERRY","OREGON ST",65,32.5,2,44.24,"C-"
"SAMUEL HARRIS","WYOMING",68,34,2,43.54,"C-"
"CHANCE WILLIAMS","CHARLOTTE",76,38,2,43.49,"C-"
"KIRBY VORHEES","WASH STATE",90,30,3,43.47,"C-"
"SCOTTRE HUMPHREY","NEW MEXICO",89,29.6666666666667,3,43.02,"C-"
"HERSCHEL TURNER","NEVADA",71,23.6666666666667,3,42.87,"C-"
"DURELL ROBINSON","COLO STATE",106,35.3333333333333,3,42.84,"C-"
"JO'SHON BARBIE","MARSHALL",64,32,2,42.63,"C-"
"JAMARICE WILDER","SO MISS",59,29.5,2,42.29,"C-"
"BRAYDON BENNETT","E MICHIGAN",32,16,2,42.13,"C-"
"TREQUAN JONES","TULSA",48,16,3,42.11,"C-"
"MASON KING","KENT STATE",30,15,2,42.07,"C-"
"DUNCAN BRUNE","OHIO",72,36,2,41.67,"C-"
"LEONARD FARROW","FAU",38,19,2,41.62,"C-"
"BRANDON HIGH JR.","UTSA",32,16,2,41.22,"C-"
"JO SILVER","DELAWARE",87,29,3,40.68,"C-"
"KIEFER SIBLEY","NEW MEXICO",55,27.5,2,40.48,"C-"
"DARRELL SMITH","LA LAFAYET",40,20,2,40.35,"C-"
"BRENDON HAYGOOD","N TEXAS",41,20.5,3,39.9,"D+"
"GAVIN GRIFFIN","TROY",107,35.6666666666667,3,39.78,"D+"
"BREEZY DUBAR","MO STATE",43,21.5,3,39.19,"D+"
"ALTON MCCASKILL","SM HOUSTON",108,36,3,39.15,"D+"
"DALLAN HAYDEN","MEMPHIS",17,17,2,38.53,"D+"
"JASON COLLINS JR.","USF",82,27.3333333333333,3,38.52,"D+"
"JEVON EDWARDS","COAST CAR",94,31.3333333333333,3,38.46,"D+"
"ANTHONY CARRIE","FIU",123,41,3,34.81,"D+"
"MESSIAH BURCH","BUFFALO",50,25,2,34.64,"D+"
"CJ MILLER","TOLEDO",76,25.3333333333333,3,34.26,"D+"
"MANNY COVEY","MEMPHIS",42,21,2,33.95,"D+"
"VICTOR ROSA","OHIO",68,34,2,33.81,"D+"
"PEYTON JONES","LIBERTY",103,34.3333333333333,3,33.67,"D+"
"ETHAN ERVIN","FAU",106,35.3333333333333,3,33.61,"D+"
"NAKAI AMACHREE","BOWL GREEN",70,35,2,33.42,"D+"
"JA'QUEZ CROSS","APP STATE",42,21,2,32.33,"D"
"RAYSHON LUKE","FRESNO ST",47,23.5,2,32.22,"D"
"JOHNNIE DANIELS","TULANE",81,27,3,32.19,"D"
"D'ANDRE HARDEMAN JR.","RICE",84,28,3,31.88,"D"
"VAUGHN BLUE","C MICHIGAN",63,31.5,2,31.75,"D"
"TERRANCE SHELTON JR.","BUFFALO",120,60,2,31.57,"D"
"ANTHONY REAGAN JR.","LA LAFAYET",24,12,3,31.27,"D"
"LANDAN BROWN","SM HOUSTON",64,32,2,31.06,"D"
"JAVEN JACOBS","UTAH ST",150,75,2,30.65,"D"
"TYVONN BYARS","RICE",83,27.6666666666667,3,30.12,"D"
"TREYAUN WEBB","APP STATE",27,13.5,2,28.83,"D"
"ANDREW BURNETTE","LA TECH",36,18,3,28.02,"D"
"D'SHAWNTAE JONES","MIAMI OH",42,21,2,27.66,"D"
"SITANI MIKAELE","HAWAII",54,27,2,25.17,"D-"
"AUSTYN DENDY","BOWL GREEN",66,22,3,25.06,"D-"
"JORDAN LOVETT","TROY",60,20,3,21.12,"D-"
"DEVONTE LYONS","FIU",91,30.3333333333333,3,20.55,"D-"
"MICHAEL ALLEN","E CAROLINA",18,18,2,17.53,"F"
"JADEN MILLER","LA TECH",43,21.5,2,15.21,"F"
