"Name","Team","SNAPS","Composite_Score","Player_Grade"
"BRUCE MITCHELL","BYU",47,100,"A"
"BRADEN SMITH","IOWA STATE",44,98.23,"A"
"IAPANI LALOULU","OREGON",45,97.58,"A"
"SHERIDAN WILSON","TEXAS TECH",63,97.27,"A"
"JACOB MAIAVA","UCF",59,91.15,"A"
"JACKSON CARSELLO","NWESTERN",56,84.58,"A"
"HARRISON MOORE","FLORIDA",81,81.84,"A"
"RYAN CARRETTA","PITTSBURGH",64,80.73,"A"
"CONNOR ROBERTSON","TEXAS",75,73.08,"B"
"RYAN RODRIGUEZ","MIAMI FL",70,73.05,"B"
"JAKE RENFRO","ILLINOIS",52,72.4,"B"
"WILL WAY","WAKE",68,69.74,"B"
"SAM PENDLETON","TENNESSEE",57,66.76,"B"
"BRAY LYNCH","INDIANA",60,64.28,"B"
"CAEL WINTER","IOWA",38,63.25,"B"
"DREW BOBO","GEORGIA",56,62.85,"B"
"ZACH HENNING","ARIZONA",57,62.48,"B"
"ANTHONY BOSWELL","HOUSTON",78,61.89,"B"
"JOSHUA BATES","SMU",85,60.9,"B"
"HARRIS SEWELL","CLEMSON",72,60.04,"B"
"COLETON PRICE","KENTUCKY",55,59.64,"C"
"TERRENCE SALAMI","RUTGERS",72,59.63,"C"
"TOBIAS RAYMOND","USC",68,59.02,"C"
"CHRISTO KELLY","N CAROLINA",70,58.51,"C"
"TYLER MERCER","OKLA STATE",49,57.72,"C"
"KOLTIN SIERACKI","BAYLOR",75,54.55,"C"
"CARSON HINZMAN","OHIO STATE",48,54.06,"C"
"RACIN DELGATTY","ALABAMA",68,53.94,"C"
"JAHEIM BUCHANON","TCU",68,53.58,"C"
"BRADYN WELCH-JOINER","FLORIDA ST",67,52.99,"C"
"MARK NABOU JR.","TEXAS A&M",85,51.48,"C"
"JUSTIN EVANS","NEBRASKA",56,50.08,"C"
"ALEX HARRISON","UTAH",65,50,"C"
"CONNOR MEADOWS","UCF",58,48.94,"C"
"MICHAEL HERSHEY","MARYLAND",71,48.93,"C"
"SEAN KINNEY","COLORADO",67,48.92,"C"
"AUSTIN KAWECKI","WISCONSIN",64,47.38,"C"
"WILL REED","GA TECH",65,47.34,"C"
"TRENT FRALEY","MICH STATE",45,47.23,"C"
"RILEY ROBELL","UCLA",73,47.08,"C"
"ASHTON BEERS","MINNESOTA",42,46.28,"C"
"MATT CRAYCRAFT","DUKE",75,45.01,"C"
"BRAELIN MOORE","LSU",72,43.78,"C"
"JOE CRUZ","SYRACUSE",73,43.75,"C"
"BOAZ STANLEY","PURDUE",63,43.62,"C"
"BEN HOWARD","CAL",35,43.55,"C"
"DOMINICK GIUDICE","MISSOURI",52,43.48,"C"
"TARAN TYO","CINCINNATI",77,43.39,"C"
"DYLAN VILLAROUEL","KANSAS ST",65,41.86,"C"
"JAKE GUARNERA","MICHIGAN",62,40.99,"C"
"KYLE ALTUNER","VA TECH",82,40.81,"C"
"CADEN KITLER","ARKANSAS",65,39.68,"D"
"DJ WILLIAMS","BOSTON COL",61,38.87,"D"
"KOLT DIETERICH","WASHINGTON",56,37.48,"D"
"COLE BEST","AUBURN",69,35.07,"D"
"WES KING","W VIRGINIA",72,31.5,"D"
"BRYCEN SANDERS","OLE MISS",77,30.8,"D"
"BASTIAN SWINNEY","CAL",55,29.2,"D"
"CANON BOONE","MISS STATE",69,26.12,"D"
"JAKE MAIKKULA","OKLAHOMA",59,24.37,"D"
"CHAMP SMITH","ILLINOIS",40,19.15,"F"
"JOSH AISOSA","W VIRGINIA",36,19.07,"F"
"TANA ALO-TUPUOLA","ARIZONA ST",68,14.7,"F"
"DRAKE METCALF","VIRGINIA",75,12.67,"F"
"KASEN CARPENTER","KANSAS",76,5.07,"F"
"CHARLIE HOITINK","STANFORD",61,4.12,"F"
"LYNDON COOPER","VANDERBILT",65,0,"F"
