"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Percentage.of.Positive.Grade","Passblock.Grade","Defeated.Runblock.Percentage","Knockdown.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Hurries.Allowed","Beaten.by.Defender","Hits.Allowed","Sacks.Allowed"
"AUSTIN BARRETT","IOWA STATE",40,100,"A",76.3,0.175,82.2,0.045,0,0,0,0,0,0,0
"TOMMY TOFI","OREGON",31,95.36,"A",67.5,0.097,81.7,0.056,0,100,0,0,0,0,0
"TREVOR BUHR","PENN STATE",43,93.91,"A",73.3,0.116,82.9,0.143,0,0,0,0,0,0,0
"GEIREAN HATCHETT","WASHINGTON",34,91.23,"A",72.7,0.088,83.1,0.182,0,0,0,0,0,0,0
"JOSEPH IONATA","GA TECH",40,91.04,"A",72.4,0.1,83.7,0.15,0,0,0,0,0,0,0
"KEVIN PEAY JR.","GA TECH",65,88.57,"A",77.3,0.139,59.8,0.125,0.04,0,0.04,0,1,0,1
"DONTRELL GLOVER","GEORGIA",56,86.52,"A",77.6,0.125,65.5,0.091,0,0,0,0,1,0,0
"JORDAN CHURCH","TEXAS TECH",63,86.09,"A",57.2,0.048,86.5,0.161,0,100,0,0,0,0,0
"DYLAN SIKORSKI","TEXAS",52,85.77,"A",73.9,0.096,87.3,0.045,0,0,0,0,0,0,0
"GABE VANSICKLE","OHIO STATE",48,83.05,"A",74.6,0.104,82.7,0,0,0,0,0,0,0,0
"BRENDAN BLACK","NEBRASKA",56,82.71,"A",70.5,0.107,76.5,0.121,0,0,0,0,1,0,0
"MAX BUCHANAN","MIAMI FL",70,82.13,"A",63.5,0.057,66.9,0.188,0,100,0,0,2,0,0
"DONOVAN HASLAM","TENNESSEE",35,81.67,"A",67.4,0.086,82.4,0.125,0,0,0,0,0,0,0
"LAURENCE SEYMORE III","TEXAS",28,81.26,"A",63.4,0.071,81.9,0.214,0,0,0,0,0,0,0
"CASH CLEVELAND","TEXAS TECH",52,78.58,"B",54.6,0.039,85.7,0.115,0,100,0,0,0,0,0
"EDDY PIERRE-LOUIS","OKLAHOMA",59,78.38,"B",75.6,0.119,69.7,0.129,0,0,0.036,1,1,0,0
"CONNER MOORE","MICH STATE",45,77.27,"B",68.4,0.089,68.5,0.158,0,0,0,0,1,0,0
"BYRON WASHINGTON","SYRACUSE",74,76.91,"B",45.9,0,86.6,0.303,0,100,0,0,0,0,0
"CHAUNCEY GOODEN","COLORADO",67,76.6,"B",72.1,0.134,58.9,0.152,0,0,0.029,1,1,0,0
"BRANDON HANSEN","ILLINOIS",49,76.54,"B",66.4,0.061,85.6,0.111,0,0,0,0,0,0,0
"DAVE IULI","OREGON",39,76.51,"B",64.2,0.077,76.7,0.063,0,97.8,0.043,1,0,0,0
"DEMETRI MANNING","OREGON",30,76.43,"B",70.5,0.1,26.6,0,0.077,92.3,0.077,0,0,0,1
"LAYTH GHANNAM","VA TECH",82,76.38,"B",74.6,0.085,70.8,0.111,0.022,0,0.022,0,1,1,0
"DENNIS RAHOUSKI","NWESTERN",46,76.28,"B",61.1,0.109,62.9,0.346,0,0,0.05,1,0,0,0
"OLAUS ALINEN","KENTUCKY",55,74.12,"B",59.5,0.073,82.5,0.156,0,0,0,0,0,0,0
"TELLEK LOCKETTE","MARYLAND",41,73.66,"B",59.8,0.024,86.1,0.25,0,0,0,0,0,0,0
"LEIGHTON JONES","IOWA",38,73.42,"B",63.8,0.105,83.8,0,0,0,0,0,0,0,0
"STYLZ BLACKMON","WISCONSIN",38,73.41,"B",65.6,0.053,82.9,0.111,0,0,0,0,0,0,0
"JA'QWON EVANS","OKLA STATE",25,72.99,"B",68,0.08,74.1,0.05,0,0,0,0,0,0,0
"HAYDEN TRETER","USC",28,72.58,"B",58.9,0.036,83.3,0.231,0,0,0,0,0,0,0
"CONNOR STROH","KANSAS",57,72.57,"B",56.8,0.035,82.4,0.071,0,100,0,0,1,0,0
"IMMANUEL IHEANACHO","OREGON",30,72.29,"B",74.2,0.1,65.4,0,0,96.2,0.077,1,1,0,0
"SONNY MAKASINI","BYU",47,71.73,"B",65.2,0.064,82.8,0.065,0,0,0,0,0,0,0
"CADEN MAAS","IOWA STATE",44,71.64,"B",66.4,0.068,82.3,0.04,0,0,0,0,0,0,0
"TREVIN OSTLER","BYU",47,71.58,"B",71.2,0.106,72.8,0.129,0,0,0.063,1,0,0,0
"TONY NELSON","MINNESOTA",55,70.75,"B",62.8,0.055,86.5,0.087,0,0,0,0,0,0,0
"BRADY NORTON","MICHIGAN",70,69.47,"B",67.7,0.057,85.9,0,0,0,0,0,0,0,0
"BRADLEY SMITH","DUKE",75,69.4,"B",58.2,0.053,87.5,0.13,0,0,0,0,0,0,0
"KWABENA ASAMOAH","RUTGERS",72,69.15,"B",74.7,0.083,73.3,0.036,0,0,0,0,3,0,0
"NOLAN HAY","S CAROLINA",86,68.96,"B",69.7,0.058,81.9,0.029,0,0,0,0,1,0,0
"MAKILAN THOMAS","VIRGINIA",75,66.88,"B",72.1,0.08,63.4,0.094,0.023,0,0.047,1,0,0,1
"KNIJEAH HARRIS","FLORIDA",81,66.87,"B",68.6,0.086,64.7,0.078,0,0,0,0,2,0,0
"MICHAEL BENNETT III","OREGON",30,66.7,"B",51.6,0,80.3,0.111,0,100,0,0,0,0,0
"BRANDON BAKER","TEXAS",75,66.65,"B",60,0.04,88.4,0.094,0,0,0,0,0,0,0
"JOHN MILLS","WASHINGTON",56,65.96,"B",68.9,0.054,74.3,0.111,0,0,0.026,1,0,0,0
"TRISTAN WILSON","MISSOURI",52,65.6,"B",67.2,0.039,85.2,0,0,0,0,0,0,0,0
"DONNIE HARBOUR","PENN STATE",26,65.33,"B",57.9,0.039,78.4,0.158,0,0,0,0,0,0,0
"JOHNNY DICKSON III","OKLA STATE",49,64.97,"B",69.8,0.082,64.7,0.091,0,0,0.037,1,0,0,0
"EVAN TENGESDAHL","CINCINNATI",77,64.9,"B",72.6,0.052,66.4,0.125,0.057,0,0.057,0,0,2,1
"RYAN BERGER","WAKE",68,64.3,"B",67.3,0.073,47.9,0.333,0.036,94.6,0.107,4,0,2,0
"SHAMURAD UMAROV","TENNESSEE",57,64.25,"B",70.1,0.105,51.1,0.077,0,0,0.032,1,0,0,0
"MONTAVIOUS CUNNINGHAM","VA TECH",82,64.13,"B",57.6,0.024,86.8,0.139,0,0,0,0,0,0,0
"ZYKIE HELTON","GEORGIA",56,63.75,"B",58.7,0.054,76.8,0.121,0.043,0,0.043,0,0,1,0
"DOUGLAS UTU","OREGON",29,63.54,"B",56.4,0,80.3,0,0,100,0,0,0,0,0
"KAWIKA ROGERS","OREGON",66,63.48,"B",59.6,0.03,68.3,0.033,0,100,0,0,2,0,0
"TEGRA TSHABOLA","KENTUCKY",55,63.4,"B",55,0.036,82.5,0.156,0,0,0,0,0,0,0
"BJ WILLIAMS","PITTSBURGH",64,62.8,"B",51.1,0.031,68,0.219,0,98.4,0.031,1,1,0,0
"CHARLIE ADAMS","KANSAS ST",29,62.42,"B",60.9,0.035,82.7,0.063,0,0,0,0,0,0,0
"MAKI STEWART","ARIZONA ST",68,62.36,"B",43.2,0.029,86.2,0.3,0,0,0,0,0,0,0
"AMARE GRAYSON","W VIRGINIA",72,62.3,"B",59.2,0.028,85.6,0.087,0,0,0,0,0,0,0
"LUKE MONTGOMERY","OHIO STATE",48,62.11,"B",63.9,0.042,82.7,0,0,0,0,0,0,0,0
"AIDAN BANFIELD","N CAROLINA",49,61.84,"B",61.9,0.061,72.3,0.217,0,0,0.039,1,1,0,0
"WENDELL MOE JR.","TENNESSEE",38,61.76,"B",61.9,0.079,63.1,0.188,0,0,0.045,1,0,0,0
"DJ CHESTER","MISS STATE",69,61.42,"B",54.7,0.015,87,0.161,0,0,0,0,0,0,0
"EVAN LINK","MICHIGAN",70,60.07,"B",60.9,0.029,86.2,0.026,0,0,0,0,0,0,0
"KENDALL STANLEY","PITTSBURGH",64,59.32,"C",59.7,0.047,62.4,0.25,0,95.3,0.094,3,0,0,0
"ALEXANDER DOOST","ARIZONA",59,59.16,"C",64.1,0.034,77,0.053,0.025,0,0.025,0,0,1,0
"RHINO TAPA'ATOUTAI","ARIZONA",55,58.87,"C",53.2,0.018,84,0.176,0.026,0,0.026,0,0,0,1
"YOUSEF MUGHARBIL","NC STATE",80,58.69,"C",67.8,0.063,65.7,0.081,0,0,0.023,1,1,0,0
"XAVIER LOZOWICKI","CINCINNATI",77,58.16,"C",70.1,0.052,70.4,0.083,0,0,0.038,2,0,0,0
"ERYX DAUGHERTY","LOUISVILLE",65,57.62,"C",63.2,0.046,68.1,0.056,0,0,0,0,1,0,0
"LJ PRUDHOMME","MISS STATE",69,57.43,"C",70,0.058,76.3,0.065,0,0,0.053,2,0,0,0
"NATHAN EFOBI","MICHIGAN",70,57.01,"C",65.6,0.057,70.2,0.053,0,0,0.031,1,0,0,0
"COOPER POWERS","TCU",58,56.98,"C",57.5,0.035,77.8,0.071,0.033,0,0.033,0,0,0,1
"AUSTIN SIEREVELD","OHIO STATE",48,56.73,"C",70.6,0.083,59.8,0.042,0,0,0.042,1,1,0,0
"ANDRÉ OTTO","FLORIDA ST",67,56.62,"C",58.8,0.045,73.2,0.185,0,0,0.025,1,1,0,0
"TAVAKE TUIKOLOVATU","KANSAS",76,56.25,"C",58.9,0.053,59.9,0.175,0,100,0.028,1,5,0,0
"WILL HAHN","IOWA",28,56.14,"C",60.6,0.036,77.7,0,0,0,0,0,0,0,0
"TJ SHANAHAN JR.","FLORIDA",81,56.07,"C",52.7,0.049,71.2,0.235,0,0,0.033,1,0,0,0
"NOAH MCKINNEY","TCU",68,55.79,"C",59.2,0.015,85,0.029,0,0,0,0,0,0,0
"CLINTON RICHARD","WAKE",68,55.73,"C",62.9,0.044,58.2,0.167,0,99.1,0.036,2,4,0,0
"ADDISON NICHOLS","SMU",85,55.71,"C",66.5,0.047,70,0.026,0,0,0.022,1,0,0,0
"GREG JOHNSON","MINNESOTA",55,55.48,"C",59.1,0.055,55,0.217,0,0,0,0,3,0,0
"HEATH OZAETA","OKLAHOMA",50,55.29,"C",60.2,0.04,66.3,0.192,0,0,0.042,1,0,0,0
"JOSH WILLIAMS","STANFORD",44,55.21,"C",48.4,0,71.4,0.333,0.063,0,0.063,0,0,1,1
"DREW EVANS","INDIANA",60,54.9,"C",67.8,0.067,62.9,0.063,0,0,0.036,1,1,0,0
"JOE BRUNNER","INDIANA",60,54.82,"C",51.5,0,85.3,0.156,0,0,0,0,0,0,0
"CHASE DUARTE","KANSAS ST",43,54.77,"C",54.2,0,83.1,0.13,0,0,0,0,0,0,0
"EUGENE BROOKS","UCLA",64,54.62,"C",58.3,0.016,84.2,0.026,0,0,0,0,0,0,0
"SHADRE HURST","HOUSTON",78,54.28,"C",62.8,0.051,60.3,0.094,0,97.8,0.043,2,3,0,0
