"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"DREW MESTEMAKER","OKLA STATE",42,100,"A"
"JARON-KEAWE SAGAPOLUTELE","CAL",55,97.23,"A"
"NOAH FIFITA","ARIZONA",56,91.81,"A"
"DEMOND WILLIAMS JR.","WASHINGTON",56,89,"A"
"DANTE MOORE","OREGON",45,86.39,"A"
"KEELON RUSSELL","ALABAMA",68,84.47,"A"
"MICHAEL HAWKINS JR.","W VIRGINIA",72,82.33,"A"
"KENNY MINCHEY","KENTUCKY",55,78.53,"B"
"NATE BENNETT","BAYLOR",75,78.07,"B"
"JADEN CRAIG","TCU",68,75.59,"B"
"MALIK WASHINGTON","MARYLAND",71,74.22,"B"
"TRINIDAD CHAMBLISS","OLE MISS",77,73.9,"B"
"NICO IAMALEAVA","UCLA",76,73.18,"B"
"ASHTON DANIELS","FLORIDA ST",67,72.9,"B"
"DYLAN RAIOLA","OREGON",27,72.52,"B"
"COLTON JOSEPH","WISCONSIN",64,72.49,"B"
"AIDAN CHILES","NWESTERN",67,71.6,"B"
"ETHAN GRUNKEMEYER","VA TECH",82,69.27,"B"
"KATIN HOUSER","ILLINOIS",53,68.88,"B"
"BYRUM BROWN","AUBURN",69,68.48,"B"
"JOSH HOOVER","INDIANA",53,67.91,"B"
"RYAN BROWNE","PURDUE",63,66.22,"B"
"ROCCO BECHT","PENN STATE",43,64.91,"B"
"GIO LOPEZ","WAKE",68,64.73,"B"
"HANK BROWN","IOWA",24,64.5,"B"
"JC FRENCH IV","CINCINNATI",77,64.11,"B"
"DEVON DAMPIER","UTAH",59,63.64,"B"
"JULIAN SAYIN","OHIO STATE",48,63.5,"B"
"GUNNER STOCKTON","GEORGIA",56,62.27,"B"
"KAMARIO TAYLOR","MISS STATE",69,62.2,"B"
"CONNER WEIGMAN","HOUSTON",78,61.72,"B"
"JAYDEN MAIAVA","USC",68,61.49,"B"
"ALBERTO MENDOZA","GA TECH",56,61,"B"
"WILL HAMMOND","TEXAS TECH",62,57.83,"C"
"ANTHONY COLANDREA","NEBRASKA",56,56.87,"C"
"JARED CURTIS","VANDERBILT",65,54.58,"C"
"DARIAN MENSAH","MIAMI FL",70,52.56,"C"
"AVERY JOHNSON","KANSAS ST",65,52.4,"C"
"BRYCE UNDERWOOD","MICHIGAN",62,51.19,"C"
"CJ BAILEY","NC STATE",71,48.07,"C"
"ISAIAH MARSHALL","KANSAS",76,48.04,"C"
"DYLAN LONERGAN","RUTGERS",72,47.58,"C"
"LINCOLN KIENHOLZ","LOUISVILLE",65,46.59,"C"
"JOHN MATEER","OKLAHOMA",59,46.34,"C"
"AARON PHILO","FLORIDA",81,44.9,"C"
"DRAKE LINDSEY","MINNESOTA",55,43.74,"C"
"BEAR BACHMEIER","BYU",47,42.29,"C"
"KJ JACKSON","ARKANSAS",43,41.67,"C"
"WALKER EGET","DUKE",67,36.7,"D"
"SAM LEAVITT","LSU",70,35.75,"D"
"FAIZON BRANDON","TENNESSEE",65,34.65,"D"
"TAIT REYNOLDS","CLEMSON",72,34.54,"D"
"LANORRIS SELLERS","S CAROLINA",86,34.05,"D"
"BEAU PRIBULA","VIRGINIA",75,33.6,"D"
"KEVIN JENNINGS","SMU",85,33.23,"D"
"ARCH MANNING","TEXAS",75,31.88,"D"
"MARCEL REED","TEXAS A&M",85,30.24,"D"
"MASON MCKENZIE","BOSTON COL",60,29.02,"D"
"JEREMY HECKLINSKI","IOWA",29,26.28,"D"
"JAYLEN RAYNOR","IOWA STATE",44,25.72,"D"
"DAVIS WARREN","STANFORD",55,23.21,"D"
"JACKSON BROUSSEAU","CAL",21,19.13,"F"
"CUTTER BOLEY","ARIZONA ST",68,17.97,"F"
"JULIAN LEWIS","COLORADO",67,12.43,"F"
"KEYONE JENKINS","UCF",59,10.55,"F"
"BILLY EDWARDS JR.","N CAROLINA",70,10.22,"F"
"AJ HILL","ARKANSAS",22,10.17,"F"
"MASON HEINTSCHEL","PITTSBURGH",64,8.44,"F"
"AUSTIN SIMMONS","MISSOURI",52,6.8,"F"
"STEVE ANGELI","SYRACUSE",62,4,"F"
"ALESSIO MILIVOJEVIC","MICH STATE",40,0,"F"
