"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"XAVIER WILLIAMS","IOWA",13,100,"A"
"WAYNE KNIGHT","UCLA",34,99.05,"A"
"KENDRICK RAPHAEL","SMU",52,98.88,"A"
"DUKE WATSON","UCF",26,97.85,"A"
"JADAN BAUGH","FLORIDA",52,96.89,"A"
"AIDEN FLORA","IOWA STATE",24,96.56,"A"
"LJ MARTIN","BYU",24,94.13,"A"
"KEYJUAN BROWN","LOUISVILLE",29,89.19,"A"
"BRAEDEN JACKSON","IOWA",14,88.33,"A"
"JUSTICE HAYNES","GA TECH",40,87.42,"A"
"NATE SHEPPARD","DUKE",45,84.51,"A"
"BENJAMIN HALL","N CAROLINA",38,82.27,"A"
"ANTWAN RAYMOND","RUTGERS",52,82.03,"A"
"ADAM MOHAMMED","CAL",31,80.86,"A"
"NATHAN MCNEIL","IOWA",27,75.65,"B"
"JAMAL RULE","NEBRASKA",32,71.88,"B"
"COLE TABB","CINCINNATI",22,70.56,"B"
"JAMAL ROBERTS","MISSOURI",43,67.26,"B"
"DAUNE MORRIS","TENNESSEE",36,66.98,"B"
"DANIEL BRAY","UTAH",17,66.87,"B"
"CJ BAXTER","KENTUCKY",35,66.8,"B"
"CAM COOK","W VIRGINIA",62,66.2,"B"
"TURBO RICHARD","INDIANA",28,65.72,"B"
"FLUFF BOTHWELL","MISS STATE",57,65.04,"B"
"LA'VELL WRIGHT","PITTSBURGH",33,63.66,"B"
"KING MILLER","USC",44,63.46,"B"
"DAMON FERGUSON JR.","PITTSBURGH",30,63.07,"B"
"JORDON DAVISON","OREGON",29,62.88,"B"
"CAMERON DICKEY","TEXAS TECH",39,62.81,"B"
"MATT FULLER","S CAROLINA",62,61.95,"B"
"GIDEON DAVIDSON","CLEMSON",62,61.81,"B"
"AHMAD MILLER","SYRACUSE",29,60.21,"B"
"TJ THOMAS","MINNESOTA",34,60.2,"B"
"WAYSHAWN PARKER","UTAH",43,58.43,"C"
"BRANDON SMITH","OREGON",30,57.99,"C"
