"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number.x","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Jersey.Number.y","Offensive.Grade","Passblock.Grade","Runblock.Grade","Conference_Level"
"LUKE REYNOLDS","VA TECH",60,100,"A",85,"TE",2026,"ACC",92.5,8,34,7,12,12,106,8.8,1,7,0,0,0,12,2,2,82,6.8,32,1,3.12,2,1,2,1,0,"16.70%",131.3,0.147,0.353,0,1,85,92.8,68.9,71.7,"P4"
"DORIAN FLEMING","MARYLAND",62,67.85,"B",9,"TE",2026,"Big Ten",73.8,6,41,3,10,6,72,12,1,4,0,0,0,6,2,0,39,6.5,22,0,1.76,5.6,2,4,1,0,"20.00%",115.4,0.146,0.244,0,0.6,9,66.9,68.4,36.6,"P4"
"PATRICK OVERMYER","HOUSTON",78,65.55,"B",9,"TE",2026,"Big 12",76.3,8,43,2,11,9,87,9.7,1,3,0,0,0,9,1,1,21,2.3,10,1,2.02,8.6,3,1,1,0,"9.10%",129.9,0.14,0.256,0,0.818,9,73.1,69.9,53.4,"P4"
"JEREMIAH HASLEY","DUKE",59,65.2,"B",85,"TE",2026,"ACC",80.6,5,21,1,6,5,88,17.6,0,4,0,0,0,5,2,2,45,9,17,1,4.19,10.5,4,1,1,0,"33.30%",118.8,0.095,0.286,0.333,0.833,85,83,69.2,75.5,"P4"
"KARI ASHLEY","TCU",33,60.6,"B",81,"TE",2026,"Big 12",74.9,3,24,1,5,5,87,17.4,1,3,0,0,0,5,0,0,59,11.8,17,0,3.63,5.6,3,1,1,0,"0.00%",158.3,0,0.208,0.2,1,81,73.6,65.6,55.4,"P4"
"JACOB HARRIS","WISCONSIN",31,60.58,"B",89,"TE",2026,"Big Ten",80.2,4,16,1,4,3,89,29.7,0,3,1,0,0,4,1,1,40,13.3,24,1,5.56,11.5,3,1,0.75,0.25,"25.00%",116.7,0,0.25,0.5,0.75,89,81,NA,75.9,"P4"
"CARSON KENT","PITTSBURGH",54,58.42,"C",86,"TE",2026,"ACC",75.6,2,26,9,4,2,63,31.5,0,2,0,0,0,2,1,0,46,23,40,0,2.42,6.5,2,2,1,0,"25.00%",95.8,0.039,0.154,0,0.5,86,72.4,49.9,61.1,"P4"
"LAWSON LUCKIE","GEORGIA",28,55.6,"C",7,"TE",2026,"SEC",92.1,4,10,0,3,3,59,19.7,1,3,0,0,0,3,0,0,35,11.7,14,0,5.9,10.7,2,1,1,0,"0.00%",158.3,0.1,0.3,0,1,7,90.9,66.4,57.2,"P4"
"HAYDEN HANSEN","OKLAHOMA",39,54.7,"C",89,"TE",2026,"SEC",90.9,3,11,0,3,3,49,16.3,1,2,0,0,0,3,0,0,26,8.7,15,0,4.45,7.7,1,3,1,0,"0.00%",158.3,0.091,0.273,0,1,89,89.2,59.9,64.9,"P4"
"CALEB ODOM","OLE MISS",52,53.91,"C",4,"TE",2026,"SEC",73.2,6,38,0,8,5,88,17.6,0,4,0,0,0,6,1,0,49,9.8,21,0,2.32,10.1,2,1,0.833,0,"12.50%",100,0.105,0.211,0.125,0.625,4,75.6,70.3,80.5,"P4"
