"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"CONNOR STROH","KANSAS",110,55,2,89.9,"A"
"MAKILAN THOMAS","VIRGINIA",112,56,2,87.78,"A"
"COOPER POWERS","TCU",107,53.5,2,86.87,"A"
"JORDAN CHURCH","TEXAS TECH",215,71.6666666666667,3,86.68,"A"
"MAX BUCHANAN","MIAMI FL",149,49.6666666666667,3,86.62,"A-"
"HAYDEN TRETER","USC",120,40,3,85.97,"A-"
"GABE VANSICKLE","OHIO STATE",91,45.5,2,85.75,"A-"
"GREG JOHNSON","MINNESOTA",171,57,3,85.38,"A-"
"CHAUNCEY GOODEN","COLORADO",197,65.6666666666667,3,84.46,"A-"
"DONTRELL GLOVER","GEORGIA",107,35.6666666666667,3,83.57,"A-"
"SHADRE HURST","HOUSTON",183,61,3,82.8,"A-"
"TAVAKE TUIKOLOVATU","KANSAS",187,62.3333333333333,3,82.63,"A-"
"LAURENCE SEYMORE III","TEXAS",64,32,2,82.29,"A-"
"DREW EVANS","INDIANA",155,51.6666666666667,3,82.16,"A-"
"TRISTAN WILSON","MISSOURI",159,53,3,82.09,"A-"
"AMIR HERRING","KANSAS",87,43.5,2,81.99,"A-"
"STYLZ BLACKMON","WISCONSIN",85,42.5,2,81.38,"A-"
"DYLAN SIKORSKI","TEXAS",165,55,3,80.87,"A-"
"TELLEK LOCKETTE","MARYLAND",105,35,3,80.83,"A-"
"DONOVAN HASLAM","TENNESSEE",61,30.5,2,80.35,"A-"
"RODERICK KEARNEY","FLORIDA",69,34.5,2,80.24,"A-"
"TREVOR BUHR","PENN STATE",146,48.6666666666667,3,80.13,"A-"
"SONNY MAKASINI","BYU",152,50.6666666666667,3,79.95,"B+"
"TONY NELSON","MINNESOTA",149,49.6666666666667,3,79.4,"B+"
"BRANDON HANSEN","ILLINOIS",122,61,2,79.38,"B+"
"KADE PIEPER","IOWA",137,45.6666666666667,3,79.18,"B+"
"RYAN BERGER","WAKE",188,62.6666666666667,3,78.99,"B+"
"CHARLIE ADAMS","KANSAS ST",106,35.3333333333333,3,78.75,"B+"
"BRENDAN BLACK","NEBRASKA",186,62,3,78.62,"B+"
"KAYLON MILLER","USC",75,37.5,2,78.52,"B+"
"YOUSEF MUGHARBIL","NC STATE",135,67.5,2,78.42,"B+"
"KEVIN PEAY JR.","GA TECH",198,66,3,78.36,"B+"
"GEIREAN HATCHETT","WASHINGTON",150,50,3,78.33,"B+"
"EVAN TENGESDAHL","CINCINNATI",194,64.6666666666667,3,77.98,"B+"
"XAVIER LOZOWICKI","CINCINNATI",194,64.6666666666667,3,77.96,"B+"
"CURTIS PEAGLER","MISSOURI",159,53,3,77.81,"B+"
"AUSTIN BARRETT","IOWA STATE",93,46.5,2,77.65,"B+"
"JULIAN ARMELLA","UCLA",126,42,3,74.16,"B+"
"LEIGHTON JONES","IOWA",165,55,3,73.65,"B+"
"CADEN MAAS","IOWA STATE",146,48.6666666666667,3,73.61,"B+"
"NICK SHARPE","MICH STATE",117,58.5,2,72.74,"B"
"KEITON JONES","KANSAS ST",85,42.5,2,72.53,"B"
"MAKI STEWART","ARIZONA ST",178,59.3333333333333,3,72.36,"B"
"BYRON WASHINGTON","SYRACUSE",216,72,3,72.34,"B"
"KNIJEAH HARRIS","FLORIDA",165,55,3,72.28,"B"
"NOLAN HAY","S CAROLINA",202,67.3333333333333,3,72.07,"B"
"JOSEPH HANSON","OKLA STATE",122,61,2,71.74,"B"
"JOHN MILLS","WASHINGTON",199,66.3333333333333,3,70.77,"B"
"KAMEN SMITH","NC STATE",135,67.5,2,70.71,"B"
"BRADLEY SMITH","DUKE",214,71.3333333333333,3,70.7,"B"
"JOE BRUNNER","INDIANA",155,51.6666666666667,3,70.65,"B"
"SEUSEU ALOFAITULI","MIAMI FL",111,55.5,2,70.49,"B"
"ALEXANDER DOOST","ARIZONA",181,60.3333333333333,3,70.26,"B"
"ERYX DAUGHERTY","LOUISVILLE",191,63.6666666666667,3,70.02,"B"
"DANTAE CHIN","RUTGERS",77,38.5,2,69.74,"B"
"TJ SHANAHAN JR.","FLORIDA",176,58.6666666666667,3,69.71,"B"
"ADDISON NICHOLS","SMU",183,61,3,69.5,"B"
"ALANI NOA","USC",188,62.6666666666667,3,69.19,"B"
"JAYVON MCFADDEN","COLORADO",208,69.3333333333333,3,69.14,"B"
"DAVE IULI","OREGON",100,50,2,68.89,"B"
"LJ PRUDHOMME","MISS STATE",174,58,3,68.83,"B"
"DJ CHESTER","MISS STATE",186,62,3,68.81,"B"
"DOUGLAS UTU","OREGON",64,32,2,68.7,"B"
"KWABENA ASAMOAH","RUTGERS",206,68.6666666666667,3,68.6,"B"
"EUGENE BROOKS","UCLA",147,49,3,68.44,"B"
"NOAH MCKINNEY","TCU",129,64.5,2,68.37,"B"
"ANDRÉ OTTO","FLORIDA ST",136,68,2,68.26,"B"
"SHAMURAD UMAROV","TENNESSEE",160,53.3333333333333,3,68.2,"B"
"JOSEPH IONATA","GA TECH",173,57.6666666666667,3,68.19,"B"
"TEGRA TSHABOLA","KENTUCKY",153,51,3,68.14,"B"
"EMMANUEL KOJO POKU","S CAROLINA",197,65.6666666666667,3,68.13,"B"
"CLINTON RICHARD","WAKE",138,69,2,68.11,"B"
"AUSTIN SIEREVELD","OHIO STATE",160,53.3333333333333,3,68.09,"B"
"MANUEL BEIGEL","MICHIGAN",58,29,2,67.62,"B"
"OLUWAFUNTO AKINSHILO","SYRACUSE",231,77,3,67.55,"B"
"HEATH OZAETA","OKLAHOMA",90,45,2,64.29,"B-"
"CHRIS VIGNA","RUTGERS",72,36,2,64.16,"B-"
"MCKENZIE AGNELLO","HOUSTON",183,61,3,64.03,"B-"
"JACKSON CANTWELL","MIAMI FL",60,30,2,64,"B-"
"ZYKIE HELTON","GEORGIA",128,42.6666666666667,3,63.93,"B-"
"JACOB STRAND","AUBURN",109,54.5,2,63.77,"B-"
"RHINO TAPA'ATOUTAI","ARIZONA",177,59,3,63.65,"B-"
"CARTER SWEAZIE","UCLA",144,48,3,63.6,"B-"
"CONNER MOORE","MICH STATE",195,65,3,63.56,"B-"
"LAYTH GHANNAM","VA TECH",183,61,3,63.51,"B-"
"TYSON RUFFINS","CAL",209,69.6666666666667,3,63.36,"B-"
"ANDREW THREATT","N CAROLINA",112,56,2,63.17,"B-"
"ROGER ALDERMAN","UTAH",138,46,3,62.76,"B-"
"BJ WILLIAMS","PITTSBURGH",208,69.3333333333333,3,62.67,"B-"
"KELVIN OBOT","UTAH",82,41,2,62.53,"B-"
"SOLATOA MOEA'I","UTAH",146,48.6666666666667,3,62.35,"B-"
"EDDY PIERRE-LOUIS","OKLAHOMA",174,58,3,61.86,"B-"
"ALEX WOODS","SMU",183,61,3,61.84,"B-"
"JUDAH PRUITT","BOSTON COL",201,67,3,61.71,"B-"
"EVAN LINK","MICHIGAN",111,55.5,2,61.68,"B-"
"HANK PURVIS","S CAROLINA",109,54.5,2,61.65,"B-"
"BRANDON BAKER","TEXAS",207,69,3,61.55,"B-"
"JORDAN LARSEN","DUKE",208,69.3333333333333,3,61.52,"B-"
"MICHAEL CARROLL","ALABAMA",144,72,2,61.2,"B-"
"LUKE MONTGOMERY","OHIO STATE",160,53.3333333333333,3,61.08,"B-"
"CHASE DUARTE","KANSAS ST",74,37,2,61.01,"B-"
"MONTAVIOUS CUNNINGHAM","VA TECH",194,64.6666666666667,3,60.91,"B-"
"CHAMP TAULEALEA","WASHINGTON",58,29,2,60.69,"B-"
"PAUL MUBENGA","NEBRASKA",185,61.6666666666667,3,60.53,"B-"
"PATRICK KUTAS","OLE MISS",211,70.3333333333333,3,60.32,"B-"
"TROVON BAUGH","TEXAS A&M",181,60.3333333333333,3,60.26,"B-"
"COLIN CUBBERLY","WISCONSIN",172,57.3333333333333,3,60.21,"B-"
"KYLE SFARCIOC","BYU",108,54,2,60.04,"B-"
