"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"MONROE MILLS","VIRGINIA",106,53,2,86.42,"A-"
"LUKE WORK","MISSOURI",159,53,3,86.32,"A-"
"WITTEN VAN HOY","TCU",76,38,2,84.74,"A-"
"NATHAN ROY","MINNESOTA",173,57.6666666666667,3,83.83,"A-"
"JUDEA MILON","CINCINNATI",194,64.6666666666667,3,83.63,"A-"
"CAYDEN GREEN","MISSOURI",121,60.5,2,82.92,"A-"
"PAKI FINAU","BYU",142,47.3333333333333,3,82.1,"A-"
"ELIJAH PAIGE","USC",188,62.6666666666667,3,81.53,"A-"
"MCKALE BOLEY","VIRGINIA",92,46,2,81.33,"A-"
"MATTHEW MCCOY","MIAMI FL",160,53.3333333333333,3,81.23,"A-"
"JACOB PONTON","TEXAS TECH",215,71.6666666666667,3,79.9,"B+"
"MOSHOOD GIWA","RUTGERS",173,57.6666666666667,3,79.67,"B+"
"TREVOR LAUCK","IOWA",137,45.6666666666667,3,79.32,"B+"
"SAMSON OKUNLOLA","MIAMI FL",160,53.3333333333333,3,78.42,"B+"
"JIMARION MCCRIMON","NC STATE",124,62,2,78.2,"B+"
"MALACHI GOODMAN","PENN STATE",158,52.6666666666667,3,77.83,"B+"
"DAVID SANDERS JR.","TENNESSEE",160,53.3333333333333,3,77.81,"B+"
"ZEREOUE WILLIAMS","UTAH",172,57.3333333333333,3,77.41,"B+"
"HOWARD SAMPSON","TEXAS TECH",210,70,3,76.99,"B+"
"ELIJAH PRITCHETT","NEBRASKA",151,50.3333333333333,3,76.76,"B+"
"MAASAI KING","IOWA STATE",146,48.6666666666667,3,75.93,"B+"
"TEAGUE ANDERSEN","NC STATE",130,65,2,75.72,"B+"
"LEON BELL","COLORADO",208,69.3333333333333,3,75.56,"B+"
"NICK MORROW","KANSAS",148,49.3333333333333,3,75.55,"B+"
"MELVIN SIANI","TEXAS",210,70,3,75.25,"B+"
"BEN MURAWSKI","MICH STATE",133,44.3333333333333,3,74.76,"B+"
"CEDRIC JEFFERSON","UTAH",179,59.6666666666667,3,74.51,"B+"
"TYLER NEEDHAM","RUTGERS",194,64.6666666666667,3,74.51,"B+"
"JOE COTTON","CINCINNATI",194,64.6666666666667,3,74.46,"B+"
"NATHAN KNAPIK","ILLINOIS",167,55.6666666666667,3,74.4,"B+"
"AIDAN LYNCH","VA TECH",201,67,3,74.37,"B+"
"DEANDRE HARPER","KANSAS",69,34.5,2,74.36,"B+"
"ANDREW GENTRY","BYU",152,50.6666666666667,3,74.32,"B+"
"FREDERICK WILLIAMS III","CAL",203,67.6666666666667,3,74.26,"B+"
"CALVIN CLEMENTS","KANSAS",206,68.6666666666667,3,73.98,"B+"
"CARTER SMITH","INDIANA",155,51.6666666666667,3,70.54,"B"
"DREW AZZOPARDI","WASHINGTON",199,66.3333333333333,3,70.4,"B"
"BO HUGHLEY","COLORADO",207,69,3,69.95,"B"
"ANTHONY DONKOH","PENN STATE",146,48.6666666666667,3,69.83,"B"
"TREVOR GOOSBY","TEXAS",207,69,3,69.69,"B"
"RYAN HOWARD","KANSAS ST",180,60,3,69.65,"B"
"RAHTREL PERRY","MARYLAND",191,63.6666666666667,3,69.26,"B"
"RYAN BAER","PITTSBURGH",208,69.3333333333333,3,69.16,"B"
"HENRY TABANSI","UCF",158,52.6666666666667,3,68.65,"B"
"BRYCE LOVETT","FLORIDA",171,57,3,68.44,"B"
"JESSE PERRY","TENNESSEE",181,60.3333333333333,3,68.2,"B"
"PRESTON CUSHMAN","UCF",149,49.6666666666667,3,68.2,"B"
