"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"JADEN CRAIG","TCU",129,64.5,2,94.53,"A+"
"DARIAN MENSAH","MIAMI FL",158,52.6666666666667,3,89.47,"A"
"ROCCO BECHT","PENN STATE",140,46.6666666666667,3,84.16,"A-"
"GUNNER STOCKTON","GEORGIA",106,35.3333333333333,3,84.12,"A-"
"MICHAEL HAWKINS JR.","W VIRGINIA",148,74,2,83.47,"A-"
"JOSH HOOVER","INDIANA",138,46,3,82.04,"A-"
"JAYDEN MAIAVA","USC",181,60.3333333333333,3,81.69,"A-"
"TRINIDAD CHAMBLISS","OLE MISS",202,67.3333333333333,3,81.17,"A-"
"ANTHONY COLANDREA","NEBRASKA",188,62.6666666666667,3,80.88,"A-"
"KEVIN JENNINGS","SMU",183,61,3,79.87,"B+"
"KAMARIO TAYLOR","MISS STATE",196,65.3333333333333,3,79.21,"B+"
"JULIAN SAYIN","OHIO STATE",160,53.3333333333333,3,78.86,"B+"
"AIDAN CHILES","NWESTERN",123,61.5,2,78.71,"B+"
"JARON-KEAWE SAGAPOLUTELE","CAL",203,67.6666666666667,3,78.4,"B+"
"DEVON DAMPIER","UTAH",158,52.6666666666667,3,78.18,"B+"
"RYAN BROWNE","PURDUE",206,68.6666666666667,3,77.7,"B+"
"NOAH FIFITA","ARIZONA",176,58.6666666666667,3,77.38,"B+"
"CJ BAILEY","NC STATE",112,56,2,73.9,"B+"
"KATIN HOUSER","ILLINOIS",170,56.6666666666667,3,73.89,"B+"
"MALIK WASHINGTON","MARYLAND",202,67.3333333333333,3,73,"B"
"JC FRENCH IV","CINCINNATI",192,64,3,72.99,"B"
"DREW MESTEMAKER","OKLA STATE",220,73.3333333333333,3,72.54,"B"
"NATE BENNETT","BAYLOR",139,69.5,2,72.4,"B"
"DANTE MOORE","OREGON",170,56.6666666666667,3,72.34,"B"
"LINCOLN KIENHOLZ","LOUISVILLE",186,62,3,71.19,"B"
"DEMOND WILLIAMS JR.","WASHINGTON",199,66.3333333333333,3,70.68,"B"
"ETHAN GRUNKEMEYER","VA TECH",196,65.3333333333333,3,70.65,"B"
"KEELON RUSSELL","ALABAMA",211,70.3333333333333,3,70.51,"B"
"AARON PHILO","FLORIDA",176,58.6666666666667,3,70.1,"B"
"GIO LOPEZ","WAKE",200,66.6666666666667,3,69.67,"B"
"BYRUM BROWN","AUBURN",218,72.6666666666667,3,69.3,"B"
"BEAR BACHMEIER","BYU",152,50.6666666666667,3,67.96,"B"
"CUTTER BOLEY","ARIZONA ST",178,59.3333333333333,3,67.93,"B"
"SAM LEAVITT","LSU",214,71.3333333333333,3,67.76,"B"
"ASHTON DANIELS","FLORIDA ST",136,68,2,63.59,"B-"
"CONNER WEIGMAN","HOUSTON",180,60,3,62.67,"B-"
"AUSTIN SIMMONS","MISSOURI",158,52.6666666666667,3,61.38,"B-"
"AVERY JOHNSON","KANSAS ST",180,60,3,60.74,"B-"
"FAIZON BRANDON","TENNESSEE",186,62,3,60.39,"B-"
"ISAIAH MARSHALL","KANSAS",205,68.3333333333333,3,60.27,"B-"
"KENNY MINCHEY","KENTUCKY",178,59.3333333333333,3,58.85,"C+"
"ARCH MANNING","TEXAS",207,69,3,58.38,"C+"
"MASON HEINTSCHEL","PITTSBURGH",208,69.3333333333333,3,57.26,"C+"
"LANORRIS SELLERS","S CAROLINA",186,62,3,56.93,"C+"
"JARED CURTIS","VANDERBILT",119,59.5,2,56.63,"C+"
"BEAU PRIBULA","VIRGINIA",103,51.5,2,56.29,"C+"
"COLTON JOSEPH","WISCONSIN",173,57.6666666666667,3,56.2,"C+"
"DRAKE LINDSEY","MINNESOTA",173,57.6666666666667,3,55.4,"C+"
"JOHN MATEER","OKLAHOMA",166,55.3333333333333,3,55.21,"C+"
"ALBERTO MENDOZA","GA TECH",189,63,3,54.46,"C+"
"WILL HAMMOND","TEXAS TECH",205,68.3333333333333,3,54.41,"C+"
"MARCEL REED","TEXAS A&M",221,73.6666666666667,3,48.59,"C"
"HANK BROWN","IOWA",120,40,3,47.58,"C"
"NICO IAMALEAVA","UCLA",194,64.6666666666667,3,47.37,"C"
"JULIAN LEWIS","COLORADO",196,65.3333333333333,3,46.92,"C"
"MASON MCKENZIE","BOSTON COL",199,66.3333333333333,3,45.16,"C-"
"STEVE ANGELI","SYRACUSE",218,72.6666666666667,3,44.32,"C-"
"BILLY EDWARDS JR.","N CAROLINA",108,54,2,43.13,"C-"
"WALKER EGET","DUKE",197,65.6666666666667,3,42.31,"C-"
"JAYLEN RAYNOR","IOWA STATE",147,49,3,42.24,"C-"
"BRYCE UNDERWOOD","MICHIGAN",177,59,3,41.11,"C-"
"ALESSIO MILIVOJEVIC","MICH STATE",181,60.3333333333333,3,40.73,"C-"
"DYLAN LONERGAN","RUTGERS",125,62.5,2,40.71,"C-"
"KJ JACKSON","ARKANSAS",191,63.6666666666667,3,40.6,"C-"
"DAVIS WARREN","STANFORD",121,60.5,2,40.54,"C-"
"ALONZA BARNETT III","UCF",98,49,2,39.25,"D+"
"TAIT REYNOLDS","CLEMSON",139,69.5,2,36.86,"D+"
"JEREMY HECKLINSKI","IOWA",60,30,2,32.06,"D"
"AJ HILL","ARKANSAS",43,21.5,2,22.2,"D-"
