"Name","Team.Name","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"LUKE REYNOLDS","VA TECH",114,38,3,100,"A+"
"TREY'DEZ GREEN","LSU",190,63.3333333333333,3,85.57,"A-"
"PATRICK OVERMYER","HOUSTON",224,74.6666666666667,3,81.23,"A-"
"JALEEL SKINNER","LOUISVILLE",144,48,3,81.07,"A-"
"CALEB ODOM","OLE MISS",99,49.5,2,77.75,"B+"
"WILLIE RODRIGUEZ","KENTUCKY",115,38.3333333333333,3,75.09,"B+"
"ROCKY BEERS","OKLAHOMA",102,34,3,72.89,"B"
"JEREMIAH HASLEY","DUKE",209,69.6666666666667,3,71.25,"B"
"BENJI BLACKBURN","STANFORD",104,52,2,68.2,"B"
"KEVIN ROCHE JR.","GA TECH",118,39.3333333333333,3,66.85,"B"
"DAUNTE BACHEYIE","SYRACUSE",34,17,2,66.71,"B"
"MARK BOWMAN","USC",150,50,3,66.08,"B-"
"RANDY PITTMAN JR.","SMU",151,50.3333333333333,3,64.99,"B-"
"TERRANCE CARTER JR.","TEXAS TECH",81,40.5,2,63.96,"B-"
"DORIAN FLEMING","MARYLAND",73,36.5,2,62.25,"B-"
"JAYVONTAY CONNER","VANDERBILT",95,31.6666666666667,3,61.63,"B-"
"MASON MINI","CAL",210,70,3,60.2,"B-"
"WALKER LYONS","BYU",108,36,3,59.18,"C+"
"NOAH BENNEE","UTAH",104,34.6666666666667,3,58.69,"C+"
"BARON NAONE","WASHINGTON",117,39,3,57.58,"C+"
"BENJAMIN BRAHMER","PENN STATE",75,25,3,57.43,"C+"
"DJ VONNAHME","IOWA",70,35,2,56.43,"C+"
"JAYDEN SAVOURY","MICH STATE",109,36.3333333333333,3,54.92,"C+"
"CARSON KENT","PITTSBURGH",138,46,3,54.34,"C+"
"CARSON BRUHN","KANSAS",74,37,2,51.53,"C"
"HENRY BOYER","KENTUCKY",121,40.3333333333333,3,51.12,"C"
"JA'RICOUS HAIRSTON","VA TECH",70,23.3333333333333,3,51.11,"C"
"MIKKEL SKINNER","KENTUCKY",63,21,3,50.93,"C"
"BRADY CLOUGH","BOSTON COL",94,47,2,50.84,"C"
"LUKE DEHNICKE","NWESTERN",88,44,2,50.72,"C"
"TY LOCKWOOD","ARKANSAS",120,40,3,50.21,"C"
"GEORGE BURHENN","PURDUE",105,35,3,49.63,"C"
