"Name","Team.Name","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"KJ DUFF","RUTGERS",194,64.6666666666667,3,94.08,"A+"
"MALACHI TONEY","MIAMI FL",149,49.6666666666667,3,91.79,"A"
"COLLIN DIXON","ILLINOIS",137,45.6666666666667,3,90.99,"A"
"REED HARRIS","ARIZONA ST",145,48.3333333333333,3,90.27,"A"
"CHARLIE BECKER","INDIANA",128,42.6666666666667,3,85.57,"A-"
"JEREMIAH SMITH","OHIO STATE",103,34.3333333333333,3,85.01,"A-"
"KOBY HOWARD","PENN STATE",80,26.6666666666667,3,81.51,"A-"
"NIK MCMILLAN","KANSAS",111,37,3,77.04,"B+"
"CARLOS HERNANDEZ","WAKE",117,39,3,75.52,"B+"
"LAWAYNE MCCOY","LOUISVILLE",195,65,3,75.36,"B+"
"UMARI HATCHER","SYRACUSE",167,55.6666666666667,3,74.5,"B+"
"LEGEND GLASKER","BYU",50,25,2,73.94,"B+"
"DONOVAN OLUGBODE","MISSOURI",108,36,3,73.03,"B"
"ANTHONY EVANS III","MISS STATE",149,49.6666666666667,3,73,"B"
"CHRIS DURR JR.","MARYLAND",132,44,3,72.89,"B"
"VERNELL BROWN III","FLORIDA",143,47.6666666666667,3,72.24,"B"
"JJ BUCHANAN","MICHIGAN",156,52,3,72.01,"B"
"JUSTIN BOWICK","OKLA STATE",201,67,3,71.69,"B"
"NA'EEM ABDUL-RAHIM GLADDING","MARYLAND",160,53.3333333333333,3,70.61,"B"
"CAM COLEMAN","TEXAS",161,53.6666666666667,3,70.12,"B"
"DEUCE ALEXANDER","OLE MISS",198,66,3,70.03,"B"
"DUCE ROBINSON","FLORIDA ST",134,67,2,69.77,"B"
"DJ EPPS","W VIRGINIA",101,50.5,2,69.49,"B"
"JOSEPH WILLIAMS","COLORADO",202,67.3333333333333,3,69.36,"B"
"XAVIER TOWNSEND","PURDUE",96,32,3,69.36,"B"
"DALLAS WILSON","FLORIDA",139,46.3333333333333,3,69.24,"B"
"JV GIBSON","CINCINNATI",137,45.6666666666667,3,69.22,"B"
"TRENT MOSLEY","USC",70,35,2,68.78,"B"
"ASAAD WASEEM","PURDUE",88,29.3333333333333,3,68.28,"B"
"GAVIN FREEMAN","BAYLOR",252,84,3,67.99,"B"
"KAYDEN DIXON-WYATT","USC",146,48.6666666666667,3,67.88,"B"
"BRADEN PEGAN","UTAH",145,48.3333333333333,3,67.77,"B"
"CAYDEN LEE","MISSOURI",97,32.3333333333333,3,66.9,"B"
"YANNICK SMITH","SMU",183,61,3,66.65,"B-"
"EVAN STEWART","OREGON",153,51,3,66.63,"B-"
"DAKORIEN MOORE","OREGON",140,46.6666666666667,3,65.79,"B-"
"CHRIS MARSHALL","ARKANSAS",206,68.6666666666667,3,65.63,"B-"
"RASHID WILLIAMS","WASHINGTON",135,45,3,65.48,"B-"
"TYRELL HENRY","WISCONSIN",123,41,3,65.38,"B-"
"TRE RICHARDSON","LOUISVILLE",156,52,3,65.31,"B-"
"JUNIOR SHERRILL","VANDERBILT",163,54.3333333333333,3,64.95,"B-"
"AMARE THOMAS","HOUSTON",217,72.3333333333333,3,64.91,"B-"
"JACORY BARNEY JR.","NEBRASKA",173,57.6666666666667,3,64.64,"B-"
