"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"Sean Mays","SO UTAH",28,100,"A"
"CJ Fraser","SE LA",69,99.99,"A"
"Trenton Bell","GARD-WEBB",24,99.73,"A"
"Martez Cooksey Jr.","CHATTNOOGA",50,98.25,"A"
"Jack Oliver","ILL STATE",38,97.38,"A"
"Kemari Nix","DELWARE ST",52,97.21,"A"
"Omari Russell","ALABAMA ST",55,96.36,"A"
"Fredd Adams","TARLETON",69,95.88,"A"
"Jhamal Shelby Jr.","NICHOLLS",47,94.71,"A"
"Trevon Cannon","WM & MARY",81,93.18,"A"
"Josh Grant","S DAKOTA",23,92.41,"A"
"Ty Lee","SOUTHERN U",64,92.06,"A"
"Eric Zachery","PRVIEW A&M",49,91.78,"A"
"Jalen Guillard","GRAMBLING",56,91.64,"A"
"Landon Carter","SOUTHERN U",65,91.61,"A"
"Jaylen Boehm-Peterson","S DAKOTA",53,91.31,"A"
"Cadence Turner","N COLORADO",41,91.26,"A"
"Xavier Porter","ELON",24,90.99,"A"
"Justin Wilson","W GEORGIA",27,90.36,"A"
"Roddrick Roberts","TARLETON",18,89.75,"A"
"Jaiden Allos","MERCYHURST",48,86.12,"A"
"Jeremiah Washington","RICHMOND",54,84.97,"A"
"Tymir Wynn","COLGATE",68,84.7,"A"
"Dray Duncan","NC A&T",51,84.33,"A"
"Key Crowell","ILL STATE",29,84.01,"A"
"Trey Lubin","RHODE ISLD",61,83.55,"A"
"Branson Leduc-Mattox","WM & MARY",84,82.27,"A"
"X'Avion Brice","TXAMEA",35,82.2,"A"
"Kyree Richardson","RICHMOND",46,82.2,"A"
"Jeremiah Postell","TARLETON",61,82.08,"A"
"Kendrick Clark","CHARLES SO",37,82.07,"A"
"Sanborne Melson","PORTLAND",17,81.99,"A"
"LaMarion Pierce","TENN MARTN",29,81.84,"A"
"Mekhi Toms","N IOWA",71,81.68,"A"
"Harrison Brun","S DAKOTA",52,81.43,"A"
"Tim Thomas II","MONTANA ST",27,81.36,"A"
"Tyson Roberts","STNY BROOK",50,81.15,"A"
"Justin Ferguson","MERCER",41,80.98,"A"
"Mason Edwards","MCNEESE",24,80.95,"A"
"Tim Christian","SO UTAH",33,80.49,"A"
"Bertin Placide","MERRIMACK",44,80.35,"A"
"Rett Hemphill","MURRAY ST",33,79.95,"B"
"Cameron Goggins","MERCER",22,79.78,"B"
"Jocelyn Malaska","ABILENE CH",37,79.61,"B"
"Dev Holman","YNGTOWN ST",43,79.44,"B"
"Jayden Lewis","SAMFORD",28,79.3,"B"
"Tre Turner","WEBER ST",57,78.83,"B"
"Boston Wilson","CAL POLY",48,78.73,"B"
"Geovanny Fabian","DELWARE ST",55,78.68,"B"
"Michael Henderson","ARKAPB",55,78.47,"B"
"Erick Roman","VA MILT IN",17,78.21,"B"
"Jeremiah Brown","UC DAVIS",53,78.1,"B"
"Charron Dorsey","SCAR STATE",32,77.99,"B"
"TreShawn Shorty","IDAHO ST",89,77.75,"B"
"D.J. Adams","CHATTNOOGA",61,77.72,"B"
"Garrison Heslop","NEWHVN",15,77.63,"B"
"Revis McClairen","DAVIDSON",27,77.56,"B"
"Antonio Hall","NWSTATE",19,77.32,"B"
"Dre Kirton","NEWHVN",33,76.18,"B"
"Derrick Murdock","ARKAPB",16,75.99,"B"
"Zech Pratt","LNDNWD",29,75.9,"B"
"Caleb McKenzie","FL A&M",25,75.67,"B"
"Bryson Hughley","NC A&T",28,75.46,"B"
"Christian Lyons","DAVIDSON",52,75.1,"B"
"Evin McDowell","MERCER",54,74.91,"B"
"Garrison Codde","DRAKE",64,74.49,"B"
"Austin Brown","CHARLES SO",23,74.32,"B"
"Chandler Perry","CHARLES SO",25,74.18,"B"
"Robert Dickerson","TENN TECH",15,74.17,"B"
"Carmaro Mayo","TXAMEA",35,74.11,"B"
"Mohammed Bility","PRVIEW A&M",26,74.06,"B"
"Kanijal Thomas","N ALABAMA",76,74.04,"B"
"Isaiah Watts","MOREHEAD",15,74.04,"B"
"Versie Walker","TXAMEA",17,74.03,"B"
"Anez Jordan","MERCYHURST",41,73.65,"B"
"Emmanuel Lane","MERCER",27,73.38,"B"
"Sabin McLaughlin","GARD-WEBB",31,72.97,"B"
"Marcus Samuels","SCAR STATE",36,72.47,"B"
"Kenyatta Fleet","MCNEESE",40,72.42,"B"
"Cee Rhodes","TENN TECH",40,72.31,"B"
"Takhari Carr","MONTANA ST",37,72.3,"B"
"Keyshawn Jackson","CHATTNOOGA",61,72.28,"B"
"Elijah McDowell","SAMFORD",55,72.08,"B"
"Dashawn Long","WAGNER",47,72.04,"B"
"Nicholas Humphries","DRAKE",63,71.97,"B"
"Shaun Niu Jr.","UTAHTC",41,71.8,"B"
"Alonzo Riddick","FORDHAM",32,71.73,"B"
"Steven Davis II","NC A&T",53,71.69,"B"
"Elijah Mathis","MONMOUTH",42,71.62,"B"
"Kenneth Ford","SE LA",32,71.62,"B"
"Jivon Oggs","E TENN ST",18,71.53,"B"
"Omar Miller","VA MILT IN",24,71.46,"B"
"Caleb Holmes","LAMAR",42,71.4,"B"
"Troy Bean","CAL POLY",46,71.3,"B"
"Kamden Wyatt","MERRIMACK",34,71.24,"B"
"Amari McGill","MURRAY ST",31,70.51,"B"
"Tayden Gray","MONTANA ST",26,70.39,"B"
"Amori McNeil","MONMOUTH",39,70.23,"B"
"Cole Walker","WOFFORD",69,70.13,"B"
"Troy Santa Marina Jr.","NWSTATE",15,70.07,"B"
"Zach Coleman","INDIANA ST",34,69.92,"B"
"Brendan Robinson","WM & MARY",20,69.61,"B"
"James Gamble V","MORGAN ST",27,69.5,"B"
"Curtis Whiting","SACR HEART",15,69.42,"B"
"Jayden Hancock","CHARLES SO",47,69.39,"B"
"Terahiti Wolfe","PORTLAND",33,69.26,"B"
"Julian Green","HOWARD",54,69.25,"B"
"Byron Davis","TENN STATE",31,69.22,"B"
"Josh Wiggins","HOUCHR",57,69.22,"B"
"Jacoby Davis","ABILENE CH",41,69.01,"B"
"Tommie Anderson","SOUTHERN U",29,68.99,"B"
"Romero Lavalais Jr.","ALBANY",28,68.79,"B"
"James Monds III","DUQUESNE",38,68.73,"B"
"Dayshawn McGee","SE LA",21,68.37,"B"
"AK Burrell","FURMAN",46,68.36,"B"
"CJ Gilmore","E TENN ST",59,68.22,"B"
"Isaiah Pinks","N IOWA",71,68.18,"B"
"Aa'zoriyon Bonner","W ILLINOIS",30,67.96,"B"
"Kian Kelly","BUTLER",29,67.72,"B"
"Amyrion Mingo","MCNEESE",29,67.43,"B"
"Jameson Wharton","TENN TECH",29,67.02,"B"
"Donavin Green","MS VLY ST",40,66.99,"B"
"Wendell Smith","TENN MARTN",23,66.93,"B"
"Lono Solomon","PORTLAND",58,66.89,"B"
"Quan Peterson","AUSTINPEAY",25,66.86,"B"
