"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","Lined.up.in.Press.Coverage","row_id"
"Jordan Dollard","SCAR STATE",47,100,"A","ED",2026,"MEAC",91.3,88.1,76.8,72.8,1,1,4,2,0,2,3,7,1,0,0,1,0,3,0,0,1,6,1,29,"24.10%","24.10%",15.5,17,-2,"0","47.10%",0,1,0,"0.00%",0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",9,6,"14.30%",1,3,3,"0.00%",3,1,0,1,0,"33.30%",7,7,0,0,1,"FCS",122,NA,122
"Ibrahim Sanogo","S ILLINOIS",46,86.74,"A","ED",2026,"Missouri Valley",84.9,73.5,80.3,NA,0,0,6,3,0,1,4,8,2,0,0,0,0,1,0,1,3,7,2,29,"20.70%","27.60%",19,17,0,"5.90%","23.50%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,6,"14.30%",0,3,1,"0.00%",3,0,0,3,0,"25.00%",7,7,0,0,1,"FCS",151,NA,151
"Julian Amankwah","STHLSK",24,80.1,"A","ED",2026,"Northeast",81.6,82.4,76.7,60,0,0,3,0,0,1,0,1,3,0,0,0,0,2,0,0,0,3,1,17,"23.50%","5.90%",2.9,6,-0.33,"0","50.00%",0,1,0,"0.00%",0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",25,3,"0.00%",0,3,2,"0.00%",3,0,0,0,0,"0.00%",3,3,0,0,0,"FCS",202,NA,202
"Erik Hehl","E ILLINOIS",47,75.67,"B","ED",2026,"Big South - OVC Football Association",69.4,61.2,74.3,NA,0,1,4,0,0,1,0,1,3,0,0,0,0,2,0,0,0,5,4,22,"18.20%","4.50%",2.3,25,1,"16.00%","16.00%",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,5,"0.00%",1,4,2,"0.00%",4,1,0,0,0,"0.00%",5,5,0,0,0,"FCS",172,NA,172
"Quintin Goins","NORFOLK",29,73.39,"B","ED",2026,"MEAC",85.9,78.6,77.7,NA,0,0,3,1,0,0,0,1,3,0,0,0,0,1,0,0,1,3,0,11,"27.30%","9.10%",9.1,18,0,"0","22.20%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,3,"0.00%",0,2,1,"0.00%",2,0,0,1,0,"0.00%",3,3,0,0,0,"FCS",165,NA,165
"Lance Byndon","STNY BROOK",54,73.25,"B","ED",2026,"CAA",76.1,68.9,74.2,60.7,0,0,4,2,0,0,1,3,2,0,0,0,0,2,0,1,0,5,1,26,"15.40%","11.50%",9.6,26,-1.33,"3.90%","15.40%",1,2,0,"0.00%",0,0,0,0,0,0,0,0,0,"50.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",0,5,"16.70%",0,3,2,"25.00%",3,0,1,1,0,"0.00%",6,6,0,0,0,"FCS",87,NA,87
"Lance Joseph","SOUTHERN U",49,72.48,"B","ED",2026,"SWAC",78.3,68.7,76.3,NA,0,0,1,0,0,1,2,3,5,0,0,0,0,0,0,1,0,2,0,32,"21.90%","9.40%",4.7,17,4.5,"0","5.90%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,2,"0.00%",0,1,0,"0.00%",2,0,0,0,0,"0.00%",2,2,0,0,0,"FCS",108,NA,108
"Avery Howard","N ALABAMA",47,69.32,"B","ED",2026,"United Athletic",63.1,63,70.3,46.2,0,2,5,2,0,0,2,4,1,0,0,0,0,2,0,1,0,6,3,23,"17.40%","17.40%",13,20,0.33,"10.00%","15.00%",2,4,1,"100%",21,21,0,1,0,0,118.8,5.25,1,"50.00%",0,1,0,1,0,"25.00%","100%","100%","0.00%",21,-1,"0.00%",15,8,"20.00%",2,3,2,"28.60%",3,2,2,2,0,"0.00%",10,10,0,1,0,"FCS",58,NA,58
"Gio Divers","CHISTA",41,63.3,"B","ED",2026,"IND (FCS)",67,61.8,65.3,61.6,0,0,3,0,0,0,2,2,3,0,0,1,0,1,0,1,1,4,4,22,"13.60%","9.10%",4.5,19,1.67,"15.80%","15.80%",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,4,"0.00%",0,3,1,"0.00%",3,0,0,0,0,"0.00%",4,4,0,1,0,"FCS",111,NA,111
"Carl Nesmith","DELWARE ST",46,63.01,"B","ED",2026,"MEAC",72.6,71.2,66.2,60,0,0,5,2,0,1,1,4,0,0,0,0,0,2,0,2,0,6,2,17,"11.80%","23.50%",17.6,28,0,"7.10%","17.90%",2,1,0,"0.00%",0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",4,5,"16.70%",0,3,2,"25.00%",3,0,1,2,0,"0.00%",6,6,0,0,0,"FCS",11,NA,11
