"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"Lesroy Tittle","CHISTA",17,100,"A"
"Paul-Marie Dogui","COLGATE",49,92.43,"A"
"Malcolm Jefferies","DELWARE ST",48,89.55,"A"
"Carmilo Allen","CENT ARK",31,86.34,"A"
"Brody Thornton","N DAKOTA",42,82.41,"A"
"Khalid Bueno","STNY BROOK",57,81.79,"A"
"Dillon Pardue","ELON",50,71.86,"B"
"Khalid Moore","SE LA",36,70.45,"B"
"Joshua Stoneking","FURMAN",75,70.33,"B"
"Myles Hamilton","SACR HEART",28,70.1,"B"
"Tyler King","MONTANA",44,69.48,"B"
"Gabe Copeland","SE LA",34,68.3,"B"
"Trevor Short","FURMAN",26,67.97,"B"
"Kelton Crisp","AUSTINPEAY",46,65.7,"B"
"Lorenzo Riddick","FORDHAM",43,65.29,"B"
"Lucas Manderbach","LEHIGH",41,64.7,"B"
"Myles Richardson","ALABAMA ST",34,64.11,"B"
"Devyn Davis","DRAKE",15,63.16,"B"
"Luke Teskey","IDAHO",27,62.49,"B"
"Marquese Avery","RHODE ISLD",15,62.48,"B"
"Aidan Williams","LEHIGH",44,62.23,"B"
"Isaiah Wray","S DAKOTA",42,61.96,"B"
"Trey Woods","ELON",39,61.41,"B"
"Michael Wells","YNGTOWN ST",48,60.22,"B"
"Ibrahim Sanogo","S ILLINOIS",55,59.71,"C"
"Chris Bacon","MAINE",47,59.09,"C"
"Zac Crews","MONTANA ST",56,57.21,"C"
"Isaiah Washburn","BETH COOK",52,56.77,"C"
"Ezra Ekuban","N COLORADO",31,56.62,"C"
"Christopher Gill","STHLSK",33,56.07,"C"
"Deorious Cobbs","CENT ARK",15,55.43,"C"
"Jaden Williams","SAN DIEGO",23,55.33,"C"
"Avery Howard","N ALABAMA",44,54.4,"C"
"Duncan Parham","TXAMEA",26,53.25,"C"
"Caden Brown","FL A&M",28,53.13,"C"
"Kevin Nizolek","FORDHAM",27,52.26,"C"
"Ethan Aghakhan","NEW HAMP",32,52.11,"C"
"Marquis Williams","MERCER",17,52.07,"C"
"Nui Tovey","MONTANA",33,51.28,"C"
"Mark Pullman","CHISTA",28,50.85,"C"
"Teddy McDuffie Jr.","MERCYHURST",41,50.76,"C"
"Kobe McInnis","MERCER",54,50.7,"C"
"Romeo Brown","NICHOLLS",44,50.07,"C"
"Justin Tedim","COLGATE",31,49.97,"C"
"Kye Pressley","MAINE",47,49.88,"C"
"Junior Kaufusi","IDAHO ST",20,49.13,"C"
"Jake Thorner","WOFFORD",24,48.89,"C"
"Mapa Vaenuku","WEBER ST",37,48.4,"C"
