"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"Lesroy Tittle","CHISTA",17,17,1,100,"A+"
"Carmilo Allen","CENT ARK",31,31,1,97.68,"A+"
"Brody Thornton","N DAKOTA",42,42,1,94.54,"A+"
"Erik Hehl","E ILLINOIS",47,47,1,89.06,"A"
"Ibrahim Sanogo","S ILLINOIS",101,50.5,2,87.04,"A"
"Khalid Bueno","STNY BROOK",122,61,2,84.44,"A-"
"Myles Hamilton","SACR HEART",28,28,1,84.42,"A-"
"Tyler King","MONTANA",44,44,1,83.9,"A-"
"Jordan Dollard","SCAR STATE",67,33.5,2,82.2,"A-"
"Malcolm Jefferies","DELWARE ST",86,43,2,80.71,"A-"
"Gio Divers","CHISTA",41,41,1,78.6,"B+"
"Devyn Davis","DRAKE",15,15,1,78.48,"B+"
"Marquese Avery","RHODE ISLD",15,15,1,77.89,"B+"
"Avery Howard","N ALABAMA",91,45.5,2,77.35,"B+"
"Trey Weems","GARD-WEBB",39,39,1,77,"B+"
"Trey Woods","ELON",39,39,1,76.95,"B+"
"Michael Wells","YNGTOWN ST",48,48,1,75.91,"B+"
"Donta Jenkins Jr.","MORGAN ST",16,16,1,74.54,"B+"
"Gabe Copeland","SE LA",69,34.5,2,74.46,"B+"
"Paul-Marie Dogui","COLGATE",79,39.5,2,74.11,"B+"
"Dillon Pardue","ELON",83,41.5,2,73.83,"B+"
"Lorenzo Riddick","FORDHAM",90,45,2,73.47,"B+"
"Khalid Moore","SE LA",87,43.5,2,72.15,"B"
"Deorious Cobbs","CENT ARK",15,15,1,71.63,"B"
"Julian Amankwah","STHLSK",46,23,2,71.23,"B"
"Aidan Williams","LEHIGH",72,36,2,71.17,"B"
"Myles Richardson","ALABAMA ST",56,28,2,70.97,"B"
"Maurice Bonneau Jr.","CITADEL",45,45,1,70.47,"B"
"Joshua Stoneking","FURMAN",123,61.5,2,69.64,"B"
"Lance Byndon","STNY BROOK",106,53,2,69.2,"B"
"Brandon Roberts","W GEORGIA",20,20,1,68.36,"B"
"Mac Bradley","MERCER",22,22,1,68.21,"B"
"Chigozie Oge-Evans","GEORGETOWN",54,54,1,68.12,"B"
"Javario Tinch","WOFFORD",62,62,1,68.08,"B"
"Nui Tovey","MONTANA",33,33,1,67.83,"B"
"Caden Brown","FL A&M",45,22.5,2,67.35,"B"
"Quintin Goins","NORFOLK",56,28,2,67.15,"B"
"Romeo Brown","NICHOLLS",44,44,1,66.7,"B"
"Justin Tedim","COLGATE",31,31,1,66.61,"B-"
"Isaiah Wray","S DAKOTA",94,47,2,66.4,"B-"
"Keiyhaun Wilks","ARKAPB",46,46,1,66.35,"B-"
"Trevor Short","FURMAN",48,24,2,66.03,"B-"
