"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Lined.up.in.Press.Coverage","Passer.Rating.Allowed","Pass.Break.Up","Average.Depth.of.Target.per.Coverage","Receiving.Yards.Allowed.per.Snap","Yards.per.Reception.Allowed","Average.Depth.of.Tackle","Interceptions","Pass.Stop","Missed.Tackles.on.Pass.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Assist.on.Pass.Plays","Touchdowns.Allowed","Run.Tackle.for.Losss.or.No.Gain","Open.Targets","Pass.Tackle.for.Loss.or.No.Gain","Dropped.Int","Hurries","Hits","Fumble.Recovery","Forced.Fumble","Sacks","Pursuit.Pressure","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","First.Contact","Batted.Passes","Interception","Drops...Off.Targets.Receptions.Forced","Pass.Rush.Productivity","Unblocked.Pass.Rush","Beaten.Defender","Plays.of.15..Yards.Allowed"
"mir Haskett","MONMOUTH",23,100,"A",82.7,81.5,72.1,NA,3,0,2,NA,56.3,1,6,-0.1,-1,9.5,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"0.00%",1,2,0,0,0,0,2,1,"50.00%",-1,0,1,"0.00%","0.00%","0.00%","0.00%","50.00%","0.00%","0.00%",2,0,0,0,NA,0,0,0
"Deven Thomas","DUQUESNE",29,98.37,"A",82,79,77,59.1,4,1,2,NA,39.6,1,16.3,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"0.00%",1,0,0,1,0,0,2,0,"0.00%",0,0,1,"0.00%","33.30%","0.00%","0.00%","33.30%","0.00%","0.00%",3,0,0,2,0,0,0,0
"Newton Essiem","VILLANOVA",67,97.55,"A",81.8,80.5,76.2,NA,4,1,0,NA,0,1,11.3,0.27,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,0,0,2,1,"25.00%",7,0,2,"0.00%","0.00%","0.00%","25.00%","50.00%","0.00%","0.00%",2,0,1,0,NA,0,0,0
"Eric Zachery","PRVIEW A&M",58,97.46,"A",79.2,78.9,82.1,NA,9,2,3,NA,81.9,0,-0.7,0.38,3.7,9.5,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"0.00%",2,1,0,2,1,1,3,3,"100%",11,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",6,0,0,0,NA,0,0,0
"Jonnie Wiltshire","N DAKOTA",61,94.9,"A",76.1,78.8,66.8,56.5,9,5,2,NA,70.1,1,-2.7,0.35,4,0,0,2,0,3,2,2,0,0,0,1,0,0,0,0,0,0,0,"18.20%",0,1,0,5,3,1,3,2,"66.70%",8,1,1,"0.00%","0.00%","33.30%","0.00%","33.30%","40.00%","0.00%",5,0,0,0,0,0,0,0
"Dallas Johnson","N ALABAMA",82,93.07,"A",79.2,78.8,69.9,NA,4,1,0,NA,39.6,2,13.3,0.08,4,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"20.00%",0,0,0,1,2,2,6,1,"14.30%",4,0,2,"0.00%","0.00%","0.00%","0.00%","28.60%","0.00%","25.00%",1,0,0,3,NA,0,0,0
"Jamaree Gibson","MAINE",54,91.7,"A",74,70.5,75.5,NA,5,0,3,NA,36.1,0,10,0.46,6.5,11.33,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,"0.00%",2,1,0,0,1,1,1,2,"66.70%",13,1,0,"0.00%","100%","33.30%","33.30%","0.00%","0.00%","0.00%",4,0,1,1,NA,0,0,0
"Spencer Davila","STHLSK",20,91.46,"A",75.8,76.2,66.7,57.7,2,1,0,NA,0,0,14,0,0,26,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"0.00%",0,0,1,1,0,0,1,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","100%","0.00%","0.00%","0.00%",0,0,1,1,50,1,0,0
"Deliyon Freeman","N ARIZONA",58,90.95,"A",69.7,72,59.1,59.5,4,1,3,NA,5.6,1,9.1,1.14,11,3,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,"20.00%",1,1,0,1,3,2,3,3,"33.30%",33,1,1,"3.50%","0.00%","11.10%","11.10%","11.10%","50.00%","0.00%",5,0,1,4,0,0,0,1
"Justin Wimpye","AUSTINPEAY",38,90.74,"A",78.1,78.8,63.1,NA,NA,0,0,NA,0,2,6,0.71,7.5,0,1,NA,NA,NA,NA,NA,0,NA,0,NA,1,0,0,0,0,0,0,NA,NA,0,0,NA,1,1,3,2,"28.60%",15,1,2,"0.00%","0.00%","14.30%","14.30%","28.60%",NA,NA,0,0,1,1,NA,0,0,0
"Damien Henderson","HARVARD",61,90.07,"A",78.1,78.7,66.5,NA,2,1,1,NA,39.6,1,9,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"0.00%",0,1,0,1,0,0,2,1,"16.70%",0,0,1,"0.00%","0.00%","0.00%","0.00%","16.70%","0.00%","0.00%",1,0,0,4,NA,0,0,0
"Braylon Vincent","LIUSHAR",60,89.45,"A",78,81.1,58.3,NA,9,2,2,NA,20.8,0,7.8,0.55,8,11,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,2,3,1,1,2,"50.00%",16,0,0,"0.00%","0.00%","0.00%","25.00%","0.00%","0.00%","0.00%",7,0,1,1,NA,0,0,0
"Cameron Anderson","Argonauts",60,89.35,"A",74.7,59.9,77.2,90.3,8,2,2,NA,116.7,0,12.3,2.8,18.7,40,0,2,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,"0.00%",0,1,2,2,2,2,1,3,"75.00%",56,2,0,"5.00%","0.00%","50.00%","0.00%","0.00%","0.00%","0.00%",3,1,0,1,25,0,0,1
"Nic Lendino","VALPO",62,89.29,"A",75.8,78.6,56.7,NA,3,1,1,NA,2.8,1,19.7,0.14,5,5.5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"25.00%",1,0,0,1,1,0,2,1,"33.30%",5,0,1,"0.00%","0.00%","0.00%","33.30%","33.30%","33.30%","0.00%",1,0,1,0,NA,0,0,0
"Jayden Drayton","PENN",49,89.07,"A",76.6,77.6,64.5,NA,3,1,1,NA,39.6,1,25.5,0.23,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,0,0,2,1,"25.00%",7,0,2,"0.00%","0.00%","0.00%","0.00%","50.00%","0.00%","0.00%",2,0,0,1,NA,0,0,0
"Sebastian Vargas","S ILLINOIS",26,87.79,"A",90.1,89.8,60.5,NA,2,0,1,NA,30.6,0,4,0.11,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0.00%",0,1,0,0,0,0,2,2,"66.70%",2,0,0,"0.00%","0.00%","0.00%","33.30%","0.00%","0.00%","0.00%",2,0,1,0,NA,0,0,0
