"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","row_id"
"Mason Knipp","INDIANA ST",25,100,"A","DI",2026,"Missouri Valley",90.8,81,84.8,NA,0,1,4,1,0,0,2,3,3,0,0,0,0,1,0,1,0,3,0,15,"33.30%","20.00%",13.3,10,1,"0","40.00%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,5,"0.00%",1,3,1,"0.00%",3,1,0,1,0,"0.00%",5,5,0,0,0,"FCS",181,181
"Jaydon Eason","STF AUSTIN",36,79.65,"B","DI",2026,"Southland",71.8,65.9,71.4,NA,0,1,4,3,0,0,0,3,0,0,0,1,0,1,0,0,1,3,1,18,"11.10%","16.70%",16.7,18,-3,"5.60%","5.60%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,5,"0.00%",1,1,1,"0.00%",1,1,0,3,0,"0.00%",5,5,0,0,0,"FCS",223,223
"Jadin Nelson","LEHIGH",46,79.27,"B","DI",2026,"Patriot",65.4,71.8,62,60,1,3,4,1,0,1,0,2,1,0,0,0,0,2,0,0,1,3,1,28,"7.10%","7.10%",5.4,18,1.5,"0","5.60%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,7,"0.00%",3,2,1,"0.00%",2,3,0,2,1,"0.00%",7,7,0,1,0,"FCS",80,80
"Shamir Boyd","TOWSON",49,77.89,"B","DI",2026,"CAA",71,74.1,77,NA,1,2,0,0,0,3,2,5,0,0,0,0,0,0,0,2,0,3,2,24,"12.50%","20.80%",10.4,25,5,"4.00%","12.00%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,3,"0.00%",2,0,0,"0.00%",1,2,0,0,0,"0.00%",3,3,0,0,0,"FCS",95,95
"Capri Martin","VILLANOVA",58,76.14,"B","DI",2026,"Patriot",76,76.7,64.7,NA,0,5,2,0,0,0,1,1,3,0,0,0,0,2,0,0,1,2,1,23,"13.00%","4.30%",2.2,35,-1.5,"2.90%","8.60%",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,"0.00%",5,2,2,"0.00%",2,5,0,0,0,"0.00%",7,7,0,0,0,"FCS",62,62
"Mikhal Johnson","HARVARD",31,73.63,"B","DI",2026,"Ivy",80.6,74.9,73.3,NA,0,1,2,1,0,0,2,3,1,0,0,0,1,1,0,0,0,4,0,17,"23.50%","17.60%",11.8,14,0,"0","21.40%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,3,"0.00%",1,1,1,"0.00%",1,1,0,1,0,"0.00%",3,3,0,0,0,"FCS",345,345
"Colby Spencer","FORDHAM",39,71.18,"B","DI",2026,"Patriot",64.3,56.2,66.9,60.4,0,2,3,2,0,0,3,5,0,0,0,0,0,0,0,1,1,2,2,25,"12.00%","20.00%",14,13,0,"15.40%","0",2,1,0,"0.00%",0,0,0,0,0,0,0,0,0,"100%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",98,5,"0.00%",2,0,0,"0.00%",0,2,0,3,0,"0.00%",5,5,0,1,0,"FCS",40,40
"Kylyn Macklin","N DAKOTA",37,71.01,"B","DI",2026,"Missouri Valley",76.8,79.6,60.4,NA,0,2,5,1,0,0,0,1,0,0,0,0,0,2,0,1,0,4,0,16,"0","6.30%",6.3,21,-0.25,"0","19.10%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,7,"0.00%",2,4,2,"0.00%",4,2,0,1,0,"0.00%",7,7,0,0,0,"FCS",1,1
"Gio Divers","CHISTA",46,70.27,"B","DI",2026,"IND (FCS)",76.6,71.9,72.8,NA,0,1,2,0,0,2,1,3,0,0,0,0,0,2,0,0,1,6,3,19,"10.50%","15.80%",7.9,27,4,"11.10%","22.20%",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,6,"25.00%",1,2,2,"25.00%",5,1,2,0,0,"0.00%",8,8,0,0,0,"FCS",132,132
"Jyheam Ingram","N ALABAMA",41,68.96,"B","DI",2026,"United Athletic",82.9,76,76.9,NA,1,0,2,0,0,1,1,2,3,0,0,0,0,0,0,0,1,2,0,23,"17.40%","8.70%",4.3,18,2,"0","22.20%",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,2,"0.00%",0,2,0,"0.00%",2,0,0,0,0,"0.00%",2,2,0,0,0,"FCS",108,108
