"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"Mason Knipp","INDIANA ST",25,100,"A"
"Jaydon Eason","STF AUSTIN",36,79.65,"B"
"Jadin Nelson","LEHIGH",46,79.27,"B"
"Shamir Boyd","TOWSON",49,77.89,"B"
"Capri Martin","VILLANOVA",58,76.14,"B"
"Mikhal Johnson","HARVARD",31,73.63,"B"
"Colby Spencer","FORDHAM",39,71.18,"B"
"Kylyn Macklin","N DAKOTA",37,71.01,"B"
"Gio Divers","CHISTA",46,70.27,"B"
"Jyheam Ingram","N ALABAMA",41,68.96,"B"
"Premiere Whitley","E ILLINOIS",47,66.68,"B"
"JJ Lewis","MONMOUTH",48,65.45,"B"
"Mitchel Jaskowiak","IDAHO",55,64.21,"B"
"Hayden Loveless","TOWSON",47,63.57,"B"
"Nate Stohl","PRINCETON",40,63.11,"B"
"Isaiah Harvey","CHATTNOOGA",23,63.1,"B"
"Josh Fedd","HARVARD",37,63.09,"B"
"Zack Black","MONTANA ST",46,63.07,"B"
"Sebastian Regis","STNY BROOK",47,62.26,"B"
"Aaziah Scott","STHLSK",35,60.87,"B"
"Ben Harman","ILL STATE",36,59.68,"C"
"Jack Middleton","BROWN",40,59.6,"C"
"Cole Bennett","CORNELL",34,58.96,"C"
"Ugo Nwotite","VILLANOVA",47,58.71,"C"
"Chris Campanelli","NEW HAMP",55,58.26,"C"
"Hudson Page","ABILENE CH",65,57.79,"C"
"Kenneth Andrews","ALCORN ST",46,57.77,"C"
"Jeremiah Young","INCAR WORD",48,57.22,"C"
"Joseph Polite","WOFFORD",25,56.85,"C"
"Ejike Brown","HOUCHR",61,55.74,"C"
"Rylan Shibley","ELON",36,55.45,"C"
"Chase Kerns","W CAROLINA",27,55.34,"C"
"TJ Baldwin","RICHMOND",43,55.28,"C"
"Demoris Jenkins","AUSTINPEAY",29,55.07,"C"
"Julius Davis","HOUCHR",37,54.9,"C"
"Chris Wilson","TENN MARTN",57,54.72,"C"
"A'Amear Walton","STF AUSTIN",44,54.51,"C"
"Obi Udom","ABILENE CH",60,54.39,"C"
"Jae'Von Reels","SAN DIEGO",38,54.14,"C"
"Justin Dutton","MORGAN ST",38,54.02,"C"
"Khalib Robinson","CHISTA",46,53.28,"C"
"Joshua White","N ALABAMA",20,52.97,"C"
"Maurice Seals","STNY BROOK",30,52.14,"C"
"Tosin Akinsulire","RHODE ISLD",55,52.02,"C"
"Jeremiah Shelby","WOFFORD",33,51.76,"C"
"Landon Williams","STF AUSTIN",18,51.46,"C"
"Hikifo'Ou Maile","IDAHO",43,51.4,"C"
"Shaun Aletor","SAN DIEGO",15,50.63,"C"
