"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Position","Season","Conference","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Batted.Passes","Assistant","Stops","Sacks","NFL.Sacks","Hits","Hurries","Total.Pressures.Generated","Beaten.Defender","Pass.Break.Up","Interception","Forced.Fumble","Fumble.Recovery","Tackle.for.Loss.or.No.Gain","Dropped.Int","Pursuit.Pressure","Unblocked.Pass.Rush","First.Contact","Negative.Plays","Pass.Rush.Plays","Pass.Rush.Win.Percentage","Pass.Rush.Pressure.Percentage","Pass.Rush.Productivity","Run.Defense.Plays","Average.Depth.of.Tackle","Negative.Rush.Defense.Percentage","Positive.Rush.Defense.Percentage","Number.of.Negative.Plays","Coverage.Snaps","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","Yards.per.Reception.Allowed","Touchdowns.Allowed","First.Downs.Allowed","Interceptions","Forced.Incompletions","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Plays.of.15..Yards.Allowed","Successful.Plays.Percentage","Sacks.per.Throwaway","Open.Targets","Drops...Off.Targets.Receptions.Forced","Total.Negative.Plays","Total.Positive.Plays","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Average.Depth.of.Target.per.Coverage","Forced.Incompletion.Percentage","Jersey.Number","Total.Tackles","Missed.Tackle.Percentage","Assist.Tackles","Run.Stop","Run.Tackle.for.Losss.or.No.Gain","Missed.Tackle.Percentage.on.Run.Plays","Tackles.on.Run.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Pass.Stop","Pass.Tackle.for.Loss.or.No.Gain","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","Total.Tackles..Sacks...Assists...Sacks...Missed.","Assist.on.Pass.Plays","Tackles.on.Pass.Plays","Missed.Tackles.on.Pass.Plays","Conference_Level","Row_ID","Lined.up.in.Press.Coverage","Negative.Rush.Grade.Percentage","Positive.Rush.Grade.Percentage","row_id"
"Adam Due","HOLY CROSS",73,100,"A","LB",2026,"Patriot",77.7,89.3,92,51.4,0,3,7,1,0,2,5,8,0,0,0,0,0,3,0,0,4,10,8,9,"33.30%","66.70%",33.3,25,1.71,"12.00%","32.00%",3,39,5,"100%",49,9.8,1,4,0,0,147.1,1.26,1,"43.60%",0,0,0,4,2,"2.60%","0.00%","80.00%","0.00%",9.8,6.6,"0.00%",8,15,"0.00%",3,5,3,"0.00%",7,3,0,2,0,"0.00%",15,15,0,4,0,"FCS",98,NA,NA,NA,98
"Max Samuel","VALPO",63,90.95,"A","LB",2026,"Pioneer",79.1,75.5,79.1,66.1,0,0,5,1,0,2,3,6,0,0,0,0,0,4,0,2,1,5,2,15,"20.00%","33.30%",20,25,-1.5,"8.00%","24.00%",2,23,0,"0.00%",0,0,0,0,0,0,39.6,0,0,"47.80%",0,0,1,0,0,"0.00%","0.00%","0.00%","0.00%",0,7,"0.00%",1,5,"0.00%",0,4,4,"0.00%",4,0,0,1,0,"0.00%",5,5,0,0,0,"FCS",110,NA,NA,NA,110
"Mahamadou Diarra","ALCORN ST",47,90.16,"A","LB",2026,"SWAC",83.2,85,63,72.1,0,1,6,0,0,0,0,0,2,0,0,0,0,4,0,0,0,6,1,12,"16.70%","0.00%",0,22,-1,"4.50%","36.40%",1,13,1,"100%",72,72,1,1,0,0,158.3,5.54,1,"38.50%",0,0,0,0,0,"7.70%","0.00%","100%","0.00%",72,-2,"0.00%",33,8,"11.10%",1,5,4,"14.30%",5,1,1,1,0,"0.00%",9,9,0,2,0,"FCS",119,NA,NA,NA,119
"Brodie Carroll","ELON",64,83.54,"A","LB",2026,"CAA",79.6,72.7,67.5,76.4,1,4,6,1,0,0,2,3,0,1,0,0,0,1,0,2,1,14,5,1,"0","0.00%",0,25,2.43,"8.00%","12.00%",2,38,3,"60.00%",22,7.3,0,1,0,1,70.4,0.58,1,"52.60%",0.5,0,1,3,6,"2.60%","0.00%","20.00%","0.00%",4.4,3.2,"20.00%",33,18,"18.20%",4,3,1,"11.10%",7,1,1,3,0,"23.10%",22,22,3,6,3,"FCS",150,NA,NA,NA,150
"Rafael Fasolino","LIUSHAR",59,83.09,"A","LB",2026,"Northeast",78.4,79.3,67.5,69.3,0,2,6,1,0,0,0,1,0,0,0,1,0,4,0,1,0,10,4,4,"0","0.00%",0,30,4.17,"6.70%","13.30%",2,25,4,"100%",26,6.5,0,3,0,0,93.8,1.04,0,"48.00%",1,0,0,2,3,"0.00%","0.00%","75.00%","0.00%",6.5,1,"0.00%",20,12,"7.70%",2,4,3,"14.30%",5,1,1,2,1,"0.00%",13,13,1,4,0,"FCS",15,NA,NA,NA,15
"Christian Magliacano","COLGATE",55,75.99,"B","LB",2026,"Patriot",88,62.6,71.1,91.7,1,2,6,0,0,0,2,2,0,0,1,0,0,2,0,1,0,9,3,6,"16.70%","16.70%",8.3,17,6,"11.80%","11.80%",2,32,3,"75.00%",16,5.3,0,0,1,0,41.7,0.5,0,"65.60%",0,0,0,1,5,"0.00%","0.00%","0.00%","25.00%",4,2.8,"0.00%",4,11,"8.30%",2,2,1,"0.00%",3,1,0,4,1,"12.50%",11,12,1,6,1,"FCS",197,NA,NA,NA,197
"Harrison Johnson","WM & MARY",69,73.58,"B","LB",2026,"Patriot",69.2,75.3,65.9,54.1,0,4,7,1,0,0,1,2,0,0,0,0,0,1,0,0,1,11,5,4,"25.00%","25.00%",25,43,6.18,"7.00%","9.30%",3,22,1,"50.00%",15,15,0,1,0,0,75,0.68,1,"59.10%",0,0,1,2,0,"4.50%","0.00%","50.00%","0.00%",7.5,6,"0.00%",8,17,"5.60%",4,6,1,"7.10%",11,2,1,1,0,"0.00%",18,18,2,1,0,"FCS",129,NA,NA,NA,129
"Sean Line","HARVARD",63,72.88,"B","LB",2026,"Ivy",71.6,73.9,76,61.3,0,3,6,2,0,0,0,2,0,0,0,1,0,3,0,1,1,9,4,9,"0","11.10%",11.1,23,1.5,"4.30%","8.70%",1,31,5,"83.30%",26,5.2,0,1,0,0,84.7,0.84,1,"67.70%",0.5,0,1,3,4,"3.20%","0.00%","16.70%","0.00%",4.3,4.8,"0.00%",35,10,"9.10%",3,2,1,"0.00%",2,2,0,4,2,"14.30%",11,11,1,3,1,"FCS",3,NA,NA,NA,3
"Tyrek Brown","NC A&T",58,72.19,"B","LB",2026,"CAA",85.8,84.8,67.9,78.2,0,1,5,1,0,0,0,1,0,0,1,0,1,1,0,0,1,10,0,3,"0","33.30%",33.3,27,3.71,"0","11.10%",0,28,1,"50.00%",6,6,0,1,1,1,16.7,0.21,0,"32.10%",0,0,0,0,2,"0.00%","0.00%","50.00%","50.00%",3,2,"50.00%",7,10,"0.00%",1,4,1,"0.00%",7,1,0,1,0,"0.00%",10,10,0,1,0,"FCS",205,NA,NA,NA,205
"Jack Casey","GEORGETOWN",66,71.73,"B","LB",2026,"Patriot",71.8,69.6,60.8,69.6,1,5,4,0,0,1,0,1,0,0,0,0,0,1,0,0,1,5,2,8,"0","12.50%",6.3,19,3,"5.30%","10.50%",1,39,3,"100%",33,11,0,1,0,0,112.5,0.85,1,"56.40%",0,0,0,1,2,"2.60%","0.00%","33.30%","0.00%",11,7.3,"0.00%",51,11,"8.30%",5,2,1,"20.00%",3,1,1,2,0,"0.00%",12,12,4,3,0,"FCS",231,NA,NA,NA,231
"KJ McRae","SE MO ST",45,70.15,"B","LB",2026,"Big South - OVC Football Association",77.1,80.7,69.2,64.2,0,2,3,1,0,1,1,3,0,0,0,0,0,2,0,3,0,4,2,1,"0","0.00%",0,20,1,"10.00%","30.00%",2,24,0,"0.00%",0,0,0,0,0,0,0,0,0,"75.00%",0.33,0,0,0,1,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",41,7,"0.00%",2,2,2,"0.00%",3,2,0,1,0,"0.00%",7,7,0,1,0,"FCS",155,NA,NA,NA,155
"Porter Connors","UC DAVIS",45,69.21,"B","LB",2026,"Big Sky",93.2,84.6,75.6,91.7,0,0,5,0,0,0,1,1,1,0,0,1,0,1,0,0,1,4,0,4,"25.00%","25.00%",12.5,17,2,"0","17.60%",0,24,2,"100%",11,5.5,0,0,0,0,89.6,0.46,0,"62.50%",0,0,0,0,4,"0.00%","0.00%","0.00%","0.00%",5.5,-4,"0.00%",39,6,"0.00%",0,2,1,"0.00%",2,0,0,3,0,"0.00%",6,6,0,4,0,"FCS",14,NA,NA,NA,14
"Tye Niekamp","ILL STATE",37,66.52,"B","LB",2026,"Missouri Valley",82.9,90.4,67.3,64,1,2,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,2,"0","0.00%",0,15,0.33,"13.30%","60.00%",2,20,3,"100%",20,6.7,0,1,0,0,94.4,1,0,"60.00%",0,0,0,1,1,"0.00%","0.00%","33.30%","0.00%",6.7,-1,"0.00%",46,7,"0.00%",2,3,2,"0.00%",3,2,0,2,1,"0.00%",7,7,0,2,0,"FCS",25,NA,NA,NA,25
"Omari Bursey","VILLANOVA",59,65.91,"B","LB",2026,"Patriot",77.3,82.1,57,63.6,0,0,6,0,0,0,2,2,0,0,0,1,0,3,0,1,1,7,4,2,"0","0.00%",0,36,3.89,"8.30%","13.90%",3,21,1,"100%",15,15,0,1,0,0,118.8,0.71,1,"61.90%",0,0,0,1,1,"4.80%","0.00%","100%","0.00%",15,9,"0.00%",8,10,"9.10%",0,5,2,"10.00%",9,0,1,1,1,"0.00%",11,11,0,1,0,"FCS",144,NA,NA,NA,144
"Nick Hoying","BUCKNELL",77,65.67,"B","LB",2026,"Patriot",78.8,78.2,58.1,73.2,0,2,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,1,3,"0","0.00%",0,42,4.5,"2.40%","11.90%",1,32,2,"66.70%",4,2,0,0,0,0,70.1,0.13,0,"59.40%",0,0,1,0,1,"0.00%","0.00%","0.00%","0.00%",1.3,0.7,"0.00%",23,13,"7.10%",2,2,2,"12.50%",5,2,1,3,0,"0.00%",13,14,0,6,0,"FCS",63,NA,NA,NA,63
"Ryan Russo","MONMOUTH",60,64.92,"B","LB",2026,"CAA",65.6,57.5,67.3,68.7,0,5,4,0,0,1,2,3,0,0,1,0,0,1,0,2,1,4,5,2,"0","100%",50,35,1,"11.40%","8.60%",4,23,0,"0.00%",0,0,0,0,1,0,0,0,0,"60.90%",0,0,2,1,2,"0.00%","0.00%","0.00%","33.30%",0,10.3,"0.00%",1,9,"18.20%",5,3,1,"20.00%",3,5,2,1,0,"0.00%",11,11,0,1,0,"FCS",36,NA,NA,NA,36
"Nikko Speer","IDAHO",47,64.75,"B","LB",2026,"Big Sky",71.5,76.4,59.5,58.8,0,3,4,0,0,0,0,0,0,0,0,1,0,3,0,0,0,8,3,1,"0","0.00%",0,33,0.8,"6.10%","12.10%",2,13,1,"100%",3,3,0,1,0,0,79.2,0.23,0,"30.80%",0,0,0,1,0,"0.00%","0.00%","100%","0.00%",3,3,"0.00%",43,9,"0.00%",3,4,3,"0.00%",5,2,0,0,0,"0.00%",9,9,1,1,0,"FCS",252,NA,NA,NA,252
"Dorsey Benefield","HARVARD",61,64.58,"B","LB",2026,"Ivy",68.7,62.2,59.8,70.2,0,4,5,0,0,0,2,2,0,1,0,0,0,1,0,2,0,4,3,7,"0","0.00%",0,23,1.25,"8.70%","8.70%",2,31,2,"66.70%",17,8.5,0,0,0,1,81.3,0.55,0,"61.30%",0,0,0,1,2,"0.00%","0.00%","0.00%","0.00%",5.7,4.3,"33.30%",34,10,"9.10%",4,3,1,"16.70%",4,1,1,2,0,"0.00%",10,11,3,2,0,"FCS",174,NA,NA,NA,174
"Tommy Diamond","BUTLER",43,64.53,"B","LB",2026,"Pioneer",82.6,80.7,60,74.2,0,2,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0,7,1,1,"0","0.00%",0,20,-0.33,"0","15.00%",0,22,1,"50.00%",3,3,0,0,0,1,56.3,0.14,0,"45.50%",0,0,0,1,2,"0.00%","0.00%","0.00%","0.00%",1.5,8,"50.00%",41,7,"12.50%",2,3,2,"20.00%",3,1,1,1,0,"0.00%",8,8,1,2,0,"FCS",175,NA,NA,NA,175
"Jaiden Letua","N ARIZONA",45,64.12,"B","LB",2026,"Big Sky",90.8,74.3,69,90.4,0,3,1,0,0,1,1,2,0,0,0,1,0,0,0,0,1,3,0,6,"16.70%","33.30%",16.7,20,4,"0","5.00%",0,19,2,"100%",23,11.5,0,1,0,0,114.6,1.21,1,"57.90%",0,0,0,0,1,"5.30%","0.00%","50.00%","0.00%",11.5,4.5,"0.00%",8,7,"0.00%",3,0,0,"0.00%",2,2,0,1,0,"0.00%",7,7,1,2,0,"FCS",21,NA,NA,NA,21
"Chase Christopher","PRINCETON",60,63.16,"B","LB",2026,"Ivy",75,70.4,58,74.1,0,5,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,3,2,"0","0.00%",0,37,5.8,"8.10%","8.10%",3,21,1,"100%",5,5,0,0,0,0,87.5,0.24,0,"47.60%",0,0,0,0,1,"0.00%","0.00%","0.00%","0.00%",5,1,"0.00%",7,13,"0.00%",5,1,1,"0.00%",5,3,0,1,0,"0.00%",13,13,2,3,0,"FCS",75,NA,NA,NA,75
"Micah Green","MERRIMACK",57,63.03,"B","LB",2026,"IND (FCS)",72.8,83.1,61.7,58.6,0,3,3,0,0,1,1,2,0,0,0,0,0,2,0,1,1,1,2,7,"0","28.60%",14.3,25,-1,"4.00%","16.00%",1,25,2,"100%",30,15,0,1,0,0,118.8,1.2,1,"36.00%",0,0,0,1,0,"4.00%","0.00%","50.00%","0.00%",15,6.5,"0.00%",17,6,"0.00%",3,2,2,"0.00%",2,3,0,1,0,"0.00%",6,6,0,1,0,"FCS",12,NA,NA,NA,12
"Nehemiah Scott","SE MO ST",64,62.41,"B","LB",2026,"Big South - OVC Football Association",69.7,63.9,63.5,71.3,0,1,3,0,0,1,0,1,0,1,0,0,0,3,0,1,0,4,3,6,"0","0.00%",0,32,4.5,"6.30%","9.40%",2,26,1,"50.00%",9,9,0,1,0,1,62.5,0.35,0,"69.20%",0,0,0,1,2,"0.00%","0.00%","50.00%","0.00%",4.5,15.5,"50.00%",6,7,"0.00%",1,2,2,"0.00%",4,1,0,1,1,"0.00%",7,7,0,2,0,"FCS",264,NA,NA,NA,264
"Wade Abrams","S DAKOTA",78,62.04,"B","LB",2026,"Missouri Valley",72.3,67,63.8,69.8,0,4,5,0,0,1,0,1,0,1,0,0,0,1,0,0,0,10,7,1,"100%","100%",50,45,7.13,"11.10%","6.70%",5,32,4,"80.00%",26,6.5,0,1,0,1,88.3,0.81,0,"40.60%",0,0,0,2,2,"0.00%","0.00%","20.00%","0.00%",5.2,4,"20.00%",49,16,"11.10%",4,3,0,"8.30%",8,3,1,2,1,"16.70%",18,18,1,4,1,"FCS",44,NA,NA,NA,44
"Christian Barney","INCAR WORD",64,61.39,"B","LB",2026,"Southland",75,69.5,77.9,70.2,0,1,7,0,0,0,2,2,0,0,0,0,0,1,0,0,0,8,5,2,"100%","100%",50,28,1.5,"14.30%","21.40%",4,34,3,"75.00%",14,4.7,0,1,0,0,79.2,0.41,0,"58.80%",0,0,1,1,3,"0.00%","0.00%","25.00%","0.00%",3.5,0.3,"0.00%",0,9,"10.00%",1,5,1,"12.50%",6,1,1,2,0,"0.00%",10,10,0,2,0,"FCS",285,NA,NA,NA,285
"Tre Yanez","GARD-WEBB",34,60.81,"B","LB",2026,"Big South - OVC Football Association",79.3,69,77.5,71.4,0,1,3,1,0,0,3,4,0,0,0,0,0,1,0,3,0,3,1,3,"33.30%","66.70%",50,14,0.5,"7.10%","7.10%",1,17,2,"100%",13,6.5,0,1,0,0,93.8,0.76,0,"64.70%",0,0,0,0,1,"0.00%","0.00%","50.00%","0.00%",6.5,-2,"0.00%",1,6,"14.30%",1,1,1,"0.00%",2,1,0,2,0,"25.00%",7,7,0,2,1,"FCS",263,NA,NA,NA,263
"Nycere Jacobs","STETSON",66,60.33,"B","LB",2026,"Pioneer",65.5,72.4,61.7,59.6,0,2,4,1,0,0,3,4,0,0,0,0,0,1,0,1,1,6,5,13,"15.40%","30.80%",19.2,23,2.75,"4.30%","8.70%",1,30,2,"100%",28,14,0,2,0,0,118.8,0.93,1,"43.30%",0,0,0,2,0,"3.30%","0.00%","100%","0.00%",14,2,"0.00%",0,7,"0.00%",2,3,1,"0.00%",4,0,0,1,0,"0.00%",7,7,2,0,0,"FCS",256,NA,NA,NA,256
"Anthony Corona","ILL STATE",29,59.39,"C","LB",2026,"Missouri Valley",82.1,89.9,59.9,65.4,0,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,"0","0.00%",0,13,-0.33,"0","30.80%",0,15,0,"0.00%",0,0,0,0,0,0,0,0,0,"60.00%",0,0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",35,6,"0.00%",2,3,2,"0.00%",3,2,0,0,0,"0.00%",6,6,0,1,0,"FCS",90,NA,NA,NA,90
"Nick Afato","UC DAVIS",58,59,"C","LB",2026,"Big Sky",70.7,79.2,57.2,62.8,0,3,3,0,0,0,1,1,0,0,0,0,0,1,0,0,1,4,3,2,"0","50.00%",25,19,1,"10.50%","31.60%",2,37,0,"0.00%",0,0,0,0,0,0,39.6,0,0,"62.20%",0,0,1,1,0,"0.00%","0.00%","0.00%","0.00%",0,16,"0.00%",44,8,"0.00%",3,3,1,"0.00%",4,2,0,0,0,"0.00%",8,8,1,1,0,"FCS",87,NA,NA,NA,87
"Jamarcus Smith","TENN MARTN",51,58.71,"C","LB",2026,"Big South - OVC Football Association",72.8,85.5,74,59.1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,3,2,4,"50.00%","25.00%",12.5,21,1.67,"0","14.30%",0,26,1,"50.00%",26,26,1,1,0,0,135.4,1,1,"30.80%",0,0,1,2,0,"3.90%","0.00%","50.00%","0.00%",13,12,"0.00%",0,4,"0.00%",1,1,1,"0.00%",3,1,0,0,0,"0.00%",4,4,0,0,0,"FCS",91,NA,NA,NA,91
"Malachi Williams","STF AUSTIN",48,57.87,"C","LB",2026,"Southland",61.3,72.7,56.2,51.1,0,2,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,5,3,"0","0.00%",0,22,2.88,"13.60%","27.30%",3,23,2,"100%",23,11.5,0,1,0,0,114.6,1,1,"69.60%",0,0,0,2,0,"4.30%","0.00%","50.00%","0.00%",11.5,9,"0.00%",0,10,"23.10%",2,6,3,"18.20%",8,1,2,0,0,"50.00%",13,12,1,0,1,"FCS",229,NA,NA,NA,229
"Ashtyn Williams","CENT ARK",63,57.84,"C","LB",2026,"United Athletic",76.5,72.7,NA,73.4,0,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,5,NA,NA,NA,NA,32,2.6,"9.40%","18.80%",3,31,2,"50.00%",36,18,0,1,0,2,81.3,1.16,1,"54.80%",0,0,1,2,3,"3.20%","0.00%","25.00%","0.00%",9,2.8,"50.00%",34,12,"14.30%",5,5,0,"10.00%",5,4,1,0,0,"25.00%",14,14,1,2,1,"FCS",143,NA,NA,NA,143
"Gabriel Hardman","S DAKOTA",34,57.34,"C","LB",2026,"Missouri Valley",80.5,91.8,58.6,55.8,0,1,3,0,0,0,1,1,0,0,0,1,0,2,0,0,0,6,4,2,"50.00%","50.00%",25,19,1.5,"10.50%","15.80%",2,13,0,"0.00%",0,0,0,0,0,0,0,0,0,"38.50%",0,0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,0,"0.00%",3,5,"28.60%",1,3,2,"20.00%",4,0,1,0,0,"50.00%",7,7,1,0,1,"FCS",93,NA,NA,NA,93
"Ronin Dangler","MERCER",56,57.01,"C","LB",2026,"Southern",56.2,70.1,75.3,37.4,0,2,5,1,0,0,1,2,0,0,0,0,0,2,0,0,0,9,8,3,"66.70%","66.70%",50,35,1.25,"11.40%","14.30%",4,18,4,"100%",46,11.5,1,3,0,0,154.2,2.56,1,"38.90%",0,0,0,4,0,"5.60%","0.00%","75.00%","0.00%",11.5,3.3,"0.00%",48,9,"18.20%",2,4,2,"16.70%",4,1,1,1,0,"20.00%",11,11,1,2,1,"FCS",289,NA,NA,NA,289
