"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"Adam Due","HOLY CROSS",73,100,"A"
"Max Samuel","VALPO",63,90.95,"A"
"Mahamadou Diarra","ALCORN ST",47,90.16,"A"
"Brodie Carroll","ELON",64,83.54,"A"
"Rafael Fasolino","LIUSHAR",59,83.09,"A"
"Christian Magliacano","COLGATE",55,75.99,"B"
"Harrison Johnson","WM & MARY",69,73.58,"B"
"Sean Line","HARVARD",63,72.88,"B"
"Tyrek Brown","NC A&T",58,72.19,"B"
"Jack Casey","GEORGETOWN",66,71.73,"B"
"KJ McRae","SE MO ST",45,70.15,"B"
"Porter Connors","UC DAVIS",45,69.21,"B"
"Tye Niekamp","ILL STATE",37,66.52,"B"
"Omari Bursey","VILLANOVA",59,65.91,"B"
"Nick Hoying","BUCKNELL",77,65.67,"B"
"Ryan Russo","MONMOUTH",60,64.92,"B"
"Nikko Speer","IDAHO",47,64.75,"B"
"Dorsey Benefield","HARVARD",61,64.58,"B"
"Tommy Diamond","BUTLER",43,64.53,"B"
"Jaiden Letua","N ARIZONA",45,64.12,"B"
"Chase Christopher","PRINCETON",60,63.16,"B"
"Micah Green","MERRIMACK",57,63.03,"B"
"Nehemiah Scott","SE MO ST",64,62.41,"B"
"Wade Abrams","S DAKOTA",78,62.04,"B"
"Christian Barney","INCAR WORD",64,61.39,"B"
"Tre Yanez","GARD-WEBB",34,60.81,"B"
"Nycere Jacobs","STETSON",66,60.33,"B"
"Anthony Corona","ILL STATE",29,59.39,"C"
"Nick Afato","UC DAVIS",58,59,"C"
"Jamarcus Smith","TENN MARTN",51,58.71,"C"
"Malachi Williams","STF AUSTIN",48,57.87,"C"
"Ashtyn Williams","CENT ARK",63,57.84,"C"
"Gabriel Hardman","S DAKOTA",34,57.34,"C"
"Ronin Dangler","MERCER",56,57.01,"C"
"Blake Houser","RICHMOND",56,56.67,"C"
"Zion Rutledge","CHATTNOOGA",41,56.32,"C"
"Phoenix Grant","YALE",72,56.11,"C"
"Andrew Behm","S ILLINOIS",41,55.7,"C"
"Myles Mayovsky","E WASHGTON",52,55.4,"C"
"Alex Rose","INDIANA ST",29,55.31,"C"
"Max Malo","BROWN",72,54.87,"C"
"Jeremiah Pruitt","ALBANY",41,54.71,"C"
"Cooper Cameron","CORNELL",55,54.7,"C"
"Christian Caballero","VILLANOVA",56,54.39,"C"
"Jackson Thorne","RICHMOND",55,54.35,"C"
"Ma'Hkai Wilson","STHLSK",39,54.02,"C"
"Mike Devereaux","N DAKOTA",65,53.26,"C"
"Zach Darche","PENN",40,52.96,"C"
"Corey Cobb Jr.","MERCYHURST",39,52.16,"C"
"Frederick Borkey","NEWHVN",65,51.91,"C"
"Anthony Ferrelli","STNY BROOK",58,51.87,"C"
"Jyarius Carter","MERCER",51,51.55,"C"
"Kenny Olson","CAL POLY",76,51.51,"C"
"Travell Wright","Argonauts",17,51.51,"C"
"Kevin Martin Jr.","NICHOLLS",34,51.07,"C"
"Charles Chappelle","N ALABAMA",72,50.61,"C"
"Jayven Anderson","HOUCHR",81,50.49,"C"
"Jack Munro","SAN DIEGO",51,50.22,"C"
"Kalen Villanueva","CAMPBELL",34,50.08,"C"
"Walker Murray","VILLANOVA",64,49.48,"C"
"Ricky Encarnacion","NEWHVN",35,49.48,"C"
"Graydon Rollins","YNGTOWN ST",64,49.45,"C"
"Will Miller","HOLY CROSS",25,49.31,"C"
"Trent Zappe","HOUCHR",82,49.14,"C"
"Cole Dutkovich","SE MO ST",22,48.6,"C"
"Jachai Pulley","INCAR WORD",55,48.39,"C"
"Lucas Campizta","DELWARE ST",39,48.32,"C"
"Braxton Sampson","INDIANA ST",39,48.1,"C"
"Sir Hezekiah Ragland","NEWHVN",31,47.79,"C"
"Gabe Brown","ABILENE CH",30,47.78,"C"
"Jamari Young","ALBANY",37,47.62,"C"
"Rohan Davy","RHODE ISLD",61,47.23,"C"
"Luke Hackett","SACR HEART",49,47.16,"C"
"Drake Lusk","BRYANT",58,46.91,"C"
"Jeff Leavell","MERCYHURST",58,46.87,"C"
"Deuce Geter","BUCKNELL",48,46.79,"C"
"Aiden Morris","WOFFORD",25,46.44,"C"
"Matthew Moore","PRVIEW A&M",30,46.43,"C"
"Jackson Barry","LIUSHAR",60,45.59,"C"
"Kaleb Platz","MERCYHURST",39,45.58,"C"
"Andrew Osmun","FORDHAM",59,45.56,"C"
"Stefano Montella","BROWN",73,45.3,"C"
"Elijah Binakonsky","MERCYHURST",32,45.24,"C"
"Boone Morris","ABILENE CH",26,45.02,"C"
"Ian Wall","CORNELL",48,44.99,"C"
"Wyatt Ward","WOFFORD",49,44.96,"C"
"Cole Olsztyn","PENN",40,44.84,"C"
"Chris Robinson","TARLETON",43,44.62,"C"
"Canaan Williams","AUSTINPEAY",40,44.58,"C"
"Grant Edmond","WAGNER",29,44.5,"C"
"Oscar Kirch","BUTLER",39,44.19,"C"
"Steve Simpkins Jr.","DARTMOUTH",56,43.97,"C"
"Matthew Sopp","NEW HAMP",65,43.74,"C"
"Jackson Stratton","BUTLER",59,43.32,"C"
"Derek McCrum","PENN",40,43.28,"C"
"Trace Carter","SE LA",59,42.91,"C"
"Jacob Penney","STF AUSTIN",17,42.89,"C"
"AJ Benton","CAMPBELL",44,42.85,"C"
"Michael Johnson","CHISTA",62,42.82,"C"
"Cole Taylor","MONTANA ST",67,42.53,"C"
"Jordan Daniel","ALCORN ST",58,42.52,"C"
"Dillon Dunathan","ALBANY",41,42.06,"C"
"Ryan McCall","MURRAY ST",48,42.05,"C"
"Darius Moore","ABILENE CH",60,42.04,"C"
"Zach Chambers","DUQUESNE",63,42.02,"C"
"Joshua Maxwell","NC CENT",75,42.01,"C"
"Tyler Georgs","HOLY CROSS",28,42,"C"
"Eli Jones","AUSTINPEAY",45,41.99,"C"
"Sam Oppenheimer","MAINE",57,41.65,"C"
"Shug Bentley","STETSON",54,41.2,"C"
"Trooper Price","COLGATE",59,40.64,"C"
"Markeith Hogan","MERRIMACK",17,40.09,"C"
"AJ Revella","FORDHAM",29,39.76,"D"
"Jes Krcil","S DAK ST",53,39.6,"D"
"Dylan Davis","MORGAN ST",56,39.3,"D"
"Mikey D'Amato","CAL POLY",78,39.17,"D"
"Cahari Haynes","GARD-WEBB",37,39.15,"D"
"Nai Mose","MONTANA",53,38.95,"D"
"Lovell Vereen II","INDIANA ST",30,38.95,"D"
"Christopher Higgins","WM & MARY",65,38.91,"D"
"Kristian Ozane","CHATTNOOGA",34,38.87,"D"
"Demontrae Gaston","Argonauts",53,38.85,"D"
"Roddrick Roberts","TARLETON",27,38.74,"D"
"Micah Markley","VALPO",29,38.7,"D"
"Jaydyn Johnson","TOWSON",37,38.64,"D"
"Arturo Mattocks","MORGAN ST",46,38.64,"D"
"Jaxton Helmstetler","PORTLAND",84,38.6,"D"
"Ethan Carson","HARVARD",46,38.6,"D"
"Kennon Loftin","NICHOLLS",36,38.58,"D"
"Reginald Allen Jr.","TENN MARTN",21,38.37,"D"
"Trevor Barry","NEW HAMP",67,38.22,"D"
"Kyle Vocque","CENT ARK",45,38.19,"D"
"Rajahn Cooper","MERRIMACK",35,37.89,"D"
"Kyle Elphick","STETSON",20,37.78,"D"
"Jesse Schutzman","YALE",59,37.74,"D"
"Shane Hulmes","BUCKNELL",63,37.68,"D"
"Jacob Staton","CENT CT ST",54,37.45,"D"
"EJ Segrest","NICHOLLS",19,37.26,"D"
"Sam McCormick","PRINCETON",23,36.81,"D"
"Roman Kupu","TXAMEA",16,36.74,"D"
"Acear Cornish","WAGNER",40,36.62,"D"
"Donavan Frederick","NC A&T",43,36.47,"D"
"Jameer Dudley","INCAR WORD",27,36.25,"D"
"LJ Minner Jr.","SE MO ST",52,35.92,"D"
"Caden True","NEW HAMP",15,35.78,"D"
"Connor Cronin","PRINCETON",25,35.76,"D"
"Cullen McShane","S DAK ST",50,35.43,"D"
"Sam Ofurie","RHODE ISLD",21,34.51,"D"
"Moe Passi","UTAHTC",38,34.26,"D"
"Chidu Bekee","W GEORGIA",28,34.19,"D"
"Micah McNair","INDIANA ST",16,34.09,"D"
"Alex Broshears","S ILLINOIS",17,33.96,"D"
"William Parton","LEHIGH",58,33.92,"D"
"Eli Ennis","STF AUSTIN",46,33.81,"D"
"Tango McCauley Jr.","N ALABAMA",30,33.46,"D"
"Sonny Vitale","TXAMEA",22,33.46,"D"
"Mike Hastie","MORGAN ST",22,33.39,"D"
"Cain Wallner","S DAKOTA",46,33.14,"D"
"Brylan Jordan","TENN MARTN",60,33,"D"
"Malik Brown","TENN MARTN",28,32.87,"D"
"Vincent Busa","STHLSK",18,32.5,"D"
"Adrian Bowers","CHISTA",53,32.47,"D"
"Seth Hampton","TOWSON",26,32.35,"D"
"Gary Seidenberger","STF AUSTIN",20,32.25,"D"
"Brendan Leal","WAGNER",52,31.99,"D"
"Ryan McKinnis","W CAROLINA",22,31.84,"D"
"DeShaun Malone","CHISTA",45,31.75,"D"
"Charlie Diedrich","NICHOLLS",20,31.58,"D"
"Jace Ward","PRVIEW A&M",39,31.52,"D"
"Derek Hite","ELON",39,31.47,"D"
"Gerard Culotta","TARLETON",41,31.32,"D"
"Cruz Hepburn","IDAHO",56,31.2,"D"
"Owen Johnson","HARVARD",22,31.12,"D"
"Jabrelle Asberry","INCAR WORD",35,30.99,"D"
"Charles Whelpley","S ILLINOIS",31,30.88,"D"
"Lucas Naquin","W GEORGIA",15,30.7,"D"
"Andrew Ruffin","W GEORGIA",25,30.7,"D"
"Terrelle Elmore","SE MO ST",19,30.47,"D"
"Troy Bean","CAL POLY",41,30.29,"D"
"Ja'Wuan Nickson","E ILLINOIS",56,30.21,"D"
"Ryker Jones","PRINCETON",26,30.18,"D"
"Mafileo Tupou","E ILLINOIS",60,30.04,"D"
"Harrison McKinley","PRVIEW A&M",53,30.03,"D"
"Ryder Bordner","IDAHO",17,29.93,"D"
"Curtis Whiting","SACR HEART",21,29.89,"D"
"Geno Calgaro","STNY BROOK",29,29.75,"D"
"Ben Kumpon","TOWSON",38,29.74,"D"
"Jordan Okoye","SE LA",25,29.66,"D"
"Kasai Jones","NICHOLLS",39,29.4,"D"
"Ethan Boll","N DAKOTA",65,29.17,"D"
"Nio Espinoza","ILL STATE",26,28.7,"D"
"Malaki Te'o","N ARIZONA",20,28.25,"D"
"Xavier Ahrens","MONTANA ST",67,28.09,"D"
