"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Passer.Rating.Allowed","Interceptions","Average.Depth.of.Tackle","Yards.per.Reception.Allowed","Average.Depth.of.Target.per.Coverage","Receiving.Yards.Allowed.per.Snap","Assist.on.Pass.Plays","Drops...Off.Targets.Receptions.Forced","Missed.Tackles.on.Run.Plays","Lined.up.in.Press.Coverage","Missed.Tackles.on.Pass.Plays","Pass.Break.Up","Plays.of.15..Yards.Allowed","Pass.Rush.Productivity","Run.Tackle.for.Losss.or.No.Gain","Open.Targets","Pass.Tackle.for.Loss.or.No.Gain","Touchdowns.Allowed","Hurries","Dropped.Int","Forced.Fumble","Beaten.Defender","Hits","Pursuit.Pressure","Fumble.Recovery","Sacks","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Unblocked.Pass.Rush","Batted.Passes.at.the.Line","Interception"
"Braylon Beckwith","MERCYHURST",80,100,"A",86.2,76.5,86,90.5,9,2,3,34.7,1,8.5,6,1.3,0.21,0,1,0,NA,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,"0.00%",1,0,3,2,0,0,5,2,"66.70%",12,0,0,2,"0.00%","0.00%","0.00%","33.30%",4,"0.00%","0.00%","0.00%",1,NA,1
"Jaeden Jones","MONMOUTH",68,99.71,"A",90.2,89.4,81.4,60,8,0,3,0,1,3.57,0,0,0,0,0,0,NA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"0.00%",3,2,0,0,0,0,1,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,1
"Chase Jarrett","COLGATE",51,98.64,"A",86.2,85.5,75.8,62.5,5,1,3,25,1,4.33,1.3,0.6,0.12,0,0,0,NA,0,1,0,12.5,1,0,1,0,0,1,0,0,1,0,0,0,"0.00%",2,2,1,1,0,0,4,3,"60.00%",4,0,1,0,"0.00%","0.00%","0.00%","20.00%",0.8,"20.00%","0.00%","0.00%",1,NA,1
"Tommy MacPherson","CORNELL",72,97.66,"A",80.3,76.9,71.4,87.4,12,1,5,30.6,1,5,1,1.7,0.07,0,0,0,NA,0,0,0,100,1,0,1,0,0,0,1,0,0,0,0,1,"0.00%",3,2,1,1,1,0,2,2,"66.70%",2,0,0,0,"0.00%","0.00%","0.00%","33.30%",0.7,"0.00%","0.00%","0.00%",1,NA,1
"Cyler Christmas","SE MO ST",52,90.03,"A",76.1,75.4,72.9,NA,11,1,6,0,1,6.25,0,0,0,0,0,2,NA,0,0,0,NA,2,0,0,0,0,0,0,0,0,0,0,0,"15.40%",4,2,0,1,2,0,2,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","18.20%","0.00%",0,NA,1
"Jackson Stone","NEW HAMP",70,86.65,"A",73.4,77.8,62.8,NA,5,2,1,0,1,8.33,0,24.7,0,0,1,1,NA,1,1,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,"28.60%",1,1,0,2,3,1,2,0,"0.00%",0,0,1,0,"0.00%","0.00%","0.00%","33.30%",0,"33.30%","16.70%","100%",0,NA,1
"Osize Daniyan","YALE",55,83.82,"A",86.7,83.9,81.9,NA,8,2,2,39.6,0,7,0,6,0,1,0,0,NA,1,1,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,"11.10%",1,0,0,2,2,2,3,0,"0.00%",0,0,1,0,"0.00%","0.00%","0.00%","0.00%",0,"100%","0.00%","25.00%",0,NA,0
"Kyler Ronquillo","PRINCETON",46,81.08,"A",73.7,76.1,64.6,NA,1,1,0,0,1,0,0,19,0,1,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,0,0,1,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","100%",0,"0.00%","0.00%","0.00%",0,NA,1
"Jayonn Saunders","MERCYHURST",68,81.02,"A",71.9,63.8,79.1,86.2,8,1,5,36.8,1,4.5,6.8,1.5,0.57,0,2,0,NA,3,1,0,25,0,0,0,0,0,0,0,0,2,0,0,0,"27.30%",1,0,2,1,4,4,4,4,"66.70%",27,2,1,0,"0.00%","0.00%","33.30%","16.70%",4.5,"16.70%","0.00%","37.50%",0,NA,1
"Joshua Truesdale","NC CENT",53,80.39,"A",79.7,77.4,76.3,NA,13,4,2,56.3,0,11,6,9.5,0.41,2,1,0,NA,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",2,0,0,4,1,0,1,2,"50.00%",12,0,1,0,"0.00%","0.00%","0.00%","0.00%",3,"25.00%","0.00%","0.00%",0,NA,0
"Brodie Williams","NEWHVN",27,79.68,"B",77.2,76,69.2,NA,2,2,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,2,0,0,1,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,1
"Jaden Nelson","CHATTNOOGA",39,79.24,"B",83.4,86.4,61.7,NA,NA,0,0,0,1,0,0,0,0,NA,0,NA,NA,NA,0,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,1,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%",NA,NA,0,NA,1
"Jayden Earley","CHISTA",62,78.79,"B",79.3,78.1,70.3,74.9,9,2,4,47.9,0,3,5,0.4,0.4,1,2,1,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,"10.00%",2,1,1,2,2,1,4,2,"40.00%",10,0,1,1,"0.00%","0.00%","0.00%","0.00%",2,"20.00%","16.70%","0.00%",0,NA,0
"Bryce Smith","E WASHGTON",50,78.49,"B",68.2,69.4,60.6,60,13,3,4,0,0,4,0,0,0,2,0,0,NA,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,"0.00%",1,2,1,3,3,1,2,0,"0.00%",0,0,0,0,"0.00%","0.00%","0.00%","0.00%",0,"0.00%","0.00%","0.00%",0,NA,0
"Tony Hart III","ELON",64,77.52,"B",74.4,68.1,76.1,77.6,12,5,2,89.2,0,5.33,6.8,6.4,0.71,3,1,0,NA,0,0,0,100,1,0,0,0,0,0,0,0,0,0,0,1,"0.00%",1,1,1,5,1,1,0,4,"80.00%",27,0,0,0,"0.00%","0.00%","0.00%","0.00%",5.4,"0.00%","0.00%","0.00%",1,NA,0
