"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"Braylon Beckwith","MERCYHURST",80,100,"A"
"Jaeden Jones","MONMOUTH",68,99.71,"A"
"Chase Jarrett","COLGATE",51,98.64,"A"
"Tommy MacPherson","CORNELL",72,97.66,"A"
"Cyler Christmas","SE MO ST",52,90.03,"A"
"Jackson Stone","NEW HAMP",70,86.65,"A"
"Osize Daniyan","YALE",55,83.82,"A"
"Kyler Ronquillo","PRINCETON",46,81.08,"A"
"Jayonn Saunders","MERCYHURST",68,81.02,"A"
"Joshua Truesdale","NC CENT",53,80.39,"A"
"Brodie Williams","NEWHVN",27,79.68,"B"
"Jaden Nelson","CHATTNOOGA",39,79.24,"B"
"Jayden Earley","CHISTA",62,78.79,"B"
"Bryce Smith","E WASHGTON",50,78.49,"B"
"Tony Hart III","ELON",64,77.52,"B"
"Luca Moore","IDAHO",45,77.27,"B"
"Elijah Hughes","TXAMEA",51,76.54,"B"
"Jamel Acosta-Lewis","STF AUSTIN",35,75.65,"B"
"Buddha Garrett","INCAR WORD",32,74.72,"B"
"Ruben Lopez","SAN DIEGO",52,74.04,"B"
"Harrison Keith","DARTMOUTH",59,73.59,"B"
"Jamie Tyson","VILLANOVA",62,73.5,"B"
"Cam Smith","YNGTOWN ST",57,73.18,"B"
"Myles Johnson","TOWSON",39,73.09,"B"
"Cohen Cook","NEW HAMP",69,73.07,"B"
"Kamrin Canterbury","PRVIEW A&M",59,72.55,"B"
"Pig Cage","INCAR WORD",41,72.48,"B"
"Mason Strader","BUTLER",17,72.2,"B"
"DeAngelo Ponder","ABILENE CH",57,71.94,"B"
"Jordan Coleman","ILL STATE",40,71.44,"B"
"Brenden Bradshaw","HOUCHR",69,70.83,"B"
"Nassor Ashenafi","W CAROLINA",27,70.58,"B"
"Brayden Rosa","UC DAVIS",65,69.98,"B"
"Ryan Barrett","STNY BROOK",50,69.76,"B"
"Eric Miles","STHLSK",31,69.19,"B"
"Debo Hall","PRESBYTERN",59,69.16,"B"
"Andre DePina-Gray","RHODE ISLD",53,68.88,"B"
"Noah Thompson","S DAK ST",28,68.86,"B"
"Zach Wusstig","IDAHO",62,68.8,"B"
"Ezra Carter","BRYANT",63,68.46,"B"
"Stephan French","W GEORGIA",34,68.41,"B"
"Tyree Myrick","WOFFORD",37,68.13,"B"
"Lucas Theriaque","NEWHVN",73,68.13,"B"
"Myles Hansford","NEWHVN",57,67.6,"B"
"Arison Walker","INDIANA ST",28,67.57,"B"
"Xaden Benson","HARVARD",49,67.56,"B"
"Dallas Harper","DUQUESNE",60,66.98,"B"
"JP Schmidt","YALE",17,66.68,"B"
"Mekhi Hicks","HARVARD",37,66.68,"B"
"Ant Fisher","TENN MARTN",19,66.3,"B"
"Shahid Wilson","N ARIZONA",45,66.3,"B"
"Bryant Meredith","MONTANA ST",39,65.88,"B"
"Jamarion Ravenell","GARD-WEBB",39,65.77,"B"
"Kam Baah-Slay","CHATTNOOGA",43,65.39,"B"
"Dillon Williams","ABILENE CH",71,65.37,"B"
"Trevor Hardy","AUSTINPEAY",52,65.24,"B"
"Phillip Harris","NEW HAMP",60,65.22,"B"
"Jayden Joselin","W CAROLINA",16,64.96,"B"
"Tyson Grimm","RHODE ISLD",36,64.78,"B"
"DaMario Crawford","STNY BROOK",58,64.54,"B"
