"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"Trey Lubin","RHODE ISLD",205,68.3333333333333,3,98.41,"A+"
"Eric Zachery","PRVIEW A&M",163,54.3333333333333,3,98.15,"A+"
"Cadence Turner","N COLORADO",98,49,2,95.13,"A+"
"Tymir Wynn","COLGATE",194,64.6666666666667,3,94.72,"A+"
"Jaiden Allos","MERCYHURST",99,49.5,2,94.3,"A+"
"D.J. Adams","CHATTNOOGA",176,58.6666666666667,3,93.75,"A+"
"Dray Duncan","NC A&T",106,53,2,93.72,"A+"
"Jalen Guillard","GRAMBLING",110,55,2,93.68,"A+"
"Jack Oliver","ILL STATE",145,48.3333333333333,3,92.92,"A"
"Jackson Daniels","IDAHO ST",162,81,2,92.86,"A"
"Nic Lendino","VALPO",135,67.5,2,92.55,"A"
"Chris Johnson II","MONTANA",77,38.5,2,92,"A"
"Ty Lee","SOUTHERN U",90,45,2,92,"A"
"Jamaree Gibson","MAINE",113,56.5,2,91.75,"A"
"Spencer Davila","STHLSK",46,23,2,91.4,"A"
"Takhari Carr","MONTANA ST",167,55.6666666666667,3,91.06,"A"
"Bryson Adamoh","CENT ARK",94,47,2,89.64,"A"
"Daylan Pringle","MERCYHURST",119,59.5,2,89.38,"A"
"Lono Solomon","PORTLAND",173,57.6666666666667,3,89.28,"A"
"Caleb Easterling","FURMAN",97,48.5,2,88.88,"A"
"Mason Edwards","MCNEESE",90,45,2,88.8,"A"
"CJ Fraser","SE LA",222,74,3,87.99,"A"
"Jaylen Boehm-Peterson","S DAKOTA",177,59,3,87.93,"A"
"Grant Noland","N DAKOTA",124,62,2,87.92,"A"
"Jhamal Shelby Jr.","NICHOLLS",158,52.6666666666667,3,87.8,"A"
"Charron Dorsey","SCAR STATE",51,25.5,2,87.72,"A"
"Kemari Nix","DELWARE ST",155,51.6666666666667,3,87.7,"A"
"Jivon Oggs","E TENN ST",44,22,2,87.03,"A"
"Trenton Bell","GARD-WEBB",72,24,3,86.89,"A"
"Julian Sampson","STETSON",61,30.5,2,86.68,"A"
"Justin Wilson","W GEORGIA",45,22.5,2,86.29,"A-"
"Olatunde Mkparu","BRYANT",144,48,3,85.99,"A-"
"Kasai Jones","NICHOLLS",117,58.5,2,85.94,"A-"
"Caleb Holmes","LAMAR",98,49,2,85.75,"A-"
"Josh Wiggins","HOUCHR",142,71,2,85.64,"A-"
"J'vion Luster","WOFFORD",107,53.5,2,85.62,"A-"
"Cole Walker","WOFFORD",168,56,3,85.5,"A-"
"Tahseen Howard","ROB MORRIS",132,66,2,85.42,"A-"
"Cameron Goggins","MERCER",129,43,3,84.93,"A-"
"Makai Frisby","STF AUSTIN",111,37,3,84.63,"A-"
"Omari Russell","ALABAMA ST",101,50.5,2,84.57,"A-"
"Deliyon Freeman","N ARIZONA",95,47.5,2,84.53,"A-"
"Sean Ferguson","W GEORGIA",88,29.3333333333333,3,84.13,"A-"
"Jonnie Wiltshire","N DAKOTA",122,61,2,84.08,"A-"
"Anez Jordan","MERCYHURST",105,52.5,2,83.94,"A-"
"Jocelyn Malaska","ABILENE CH",125,41.6666666666667,3,83.64,"A-"
"Amari McGill","MURRAY ST",112,37.3333333333333,3,83.48,"A-"
"Alonzo Riddick","FORDHAM",60,30,2,83.32,"A-"
"Romero Lavalais Jr.","ALBANY",47,23.5,2,83.3,"A-"
"mir Haskett","MONMOUTH",83,27.6666666666667,3,83.28,"A-"
"Javario Tinch","WOFFORD",70,35,2,83.17,"A-"
"Xavier Porter","ELON",54,27,2,83.04,"A-"
"Trevon Cannon","WM & MARY",211,70.3333333333333,3,82.87,"A-"
"Bertin Placide","MERRIMACK",124,41.3333333333333,3,82.52,"A-"
"Justin Ferguson","MERCER",96,32,3,82.15,"A-"
"Keith Moko","CENT CT ST",104,52,2,82.01,"A-"
"Keyshawn Jackson","CHATTNOOGA",167,55.6666666666667,3,82,"A-"
"Tywan Royal","AUSTINPEAY",96,32,3,81.96,"A-"
"Eric Jones","ELON",142,47.3333333333333,3,81.91,"A-"
"Tramar Gilbert","TXAMEA",163,54.3333333333333,3,81.85,"A-"
"Sabin McLaughlin","GARD-WEBB",90,30,3,81.8,"A-"
"Noah Taylor","PRESBYTERN",124,62,2,81.75,"A-"
"Nigel Gay","MERCER",128,42.6666666666667,3,81.54,"A-"
"Adonis Marshall","MERCYHURST",108,36,3,81.46,"A-"
"Langston Blair","BUCKNELL",58,29,2,81.4,"A-"
"CJ Gilmore","E TENN ST",84,42,2,81.27,"A-"
"Zion Crawford","ALABAMA ST",89,44.5,2,81.2,"A-"
"Jeremiah Postell","TARLETON",112,56,2,81.12,"A-"
"Mekhi Toms","N IOWA",169,56.3333333333333,3,81.01,"A-"
"Samuel McCall","BETH COOK",98,49,2,80.97,"A-"
"Kemani Wilson","TXAMEA",155,51.6666666666667,3,80.89,"A-"
"Alex Herrera Jr.","MOREHEAD",41,20.5,2,80.83,"A-"
"Carmaro Mayo","TXAMEA",63,31.5,2,80.63,"A-"
"Chase Van Tol","S DAK ST",83,41.5,2,80.59,"A-"
"Braylon Vincent","LIUSHAR",144,48,3,80.56,"A-"
"Tayden Gray","MONTANA ST",48,24,2,80.54,"A-"
"Jaiydyn Johnson","STF AUSTIN",132,44,3,80.36,"A-"
"Brendan Robinson","WM & MARY",69,34.5,2,80.23,"A-"
"Fredd Adams","TARLETON",211,70.3333333333333,3,80.18,"A-"
"Caden Rice","HAMPTON",95,47.5,2,80.15,"A-"
"Landon Carter","SOUTHERN U",88,44,2,79.94,"B+"
"Newton Essiem","VILLANOVA",176,58.6666666666667,3,79.82,"B+"
"Chaas McCoy","RHODE ISLD",210,70,3,79.77,"B+"
"Richard McKneely","SE LA",209,69.6666666666667,3,79.73,"B+"
"Jevean Brown","ELON",113,56.5,2,79.58,"B+"
"Justyn Toler","COLGATE",190,63.3333333333333,3,79.53,"B+"
"Brennen Bailey","LAMAR",87,43.5,2,79.5,"B+"
"Sebastian Vargas","S ILLINOIS",74,24.6666666666667,3,79.49,"B+"
"Ignatious Williams","LEHIGH",104,52,2,79.46,"B+"
"Zach Coleman","INDIANA ST",49,24.5,2,75.79,"B+"
"Antonio Hall","NWSTATE",59,29.5,2,75.71,"B+"
"Caleb McKenzie","FL A&M",55,27.5,2,75.69,"B+"
"Amari Gardner","HOLY CROSS",75,37.5,2,75.67,"B+"
"Jeremiah Brown","UC DAVIS",81,40.5,2,75.62,"B+"
"Kanijal Thomas","N ALABAMA",205,68.3333333333333,3,75.51,"B+"
"X'Avion Brice","TXAMEA",90,30,3,75.49,"B+"
"Terrell Poyser","W CAROLINA",34,17,2,75.41,"B+"
"Juice Ricks","MERRIMACK",102,34,3,75.4,"B+"
"Key Crowell","ILL STATE",67,22.3333333333333,3,75.35,"B+"
"Drew Faulkner","UC DAVIS",61,30.5,2,75.3,"B+"
"Marcus Samuels","SCAR STATE",55,27.5,2,75.18,"B+"
"Mekhi Kilburn","ROB MORRIS",83,41.5,2,75.17,"B+"
"Gavin Hagan","INDIANA ST",49,24.5,2,74.93,"B+"
"TreShawn Shorty","IDAHO ST",141,70.5,2,74.9,"B+"
"Dre Kirton","NEWHVN",136,45.3333333333333,3,74.89,"B+"
"Jadyn Marshall","CAL POLY",200,66.6666666666667,3,74.89,"B+"
"Boston Wilson","CAL POLY",120,40,3,74.78,"B+"
"Tristan Johnson","BUTLER",117,58.5,2,74.75,"B+"
"Jackson Dowd","LEHIGH",115,38.3333333333333,3,74.68,"B+"
"Zech Pratt","LNDNWD",56,28,2,74.6,"B+"
"Paul Kim","S DAK ST",30,15,2,74.48,"B+"
"Sean Mays","SO UTAH",77,38.5,2,74.35,"B+"
"Jackson Waid","TXRG",90,45,2,74.28,"B+"
"Kemaury Tye","FORDHAM",125,41.6666666666667,3,74.16,"B+"
"James Monds III","DUQUESNE",125,41.6666666666667,3,74.03,"B+"
"Ryan Tyler Williams","BRYANT",61,30.5,2,73.93,"B+"
"David Williams","GARD-WEBB",99,33,3,73.82,"B+"
"Rett Hemphill","MURRAY ST",136,45.3333333333333,3,73.58,"B+"
"Drew Cofield","UC DAVIS",148,49.3333333333333,3,73.57,"B+"
"Thio Georges","HOUCHR",131,65.5,2,73.57,"B+"
"Ty Richardson","UC DAVIS",148,49.3333333333333,3,73.56,"B+"
"Nyair Domnie","NEW HAMP",40,20,2,73.43,"B+"
"Brian Harris","MONTANA ST",104,34.6666666666667,3,73.35,"B+"
"Amyrion Mingo","MCNEESE",57,28.5,2,73.31,"B"
"Dorian Blackwell","TXRG",86,43,2,73.25,"B"
"Jacoby Davis","ABILENE CH",100,33.3333333333333,3,73.14,"B"
"Davonta Morgan Collins","STF AUSTIN",95,31.6666666666667,3,72.98,"B"
"Josh Grant","S DAKOTA",52,26,2,72.82,"B"
"Naz Hill","S ILLINOIS",75,25,3,72.8,"B"
"Josiah Young","N IOWA",53,26.5,2,72.56,"B"
"Remington Moss","ELON",120,60,2,72.48,"B"
"Donny Jones","ALBANY",185,61.6666666666667,3,72.46,"B"
"Michael Bonsu","GEORGETOWN",86,43,2,72.43,"B"
"Dallas Johnson","N ALABAMA",179,59.6666666666667,3,72.36,"B"
"Drew Minich","FORDHAM",113,56.5,2,72.34,"B"
"DaMari Smith","CENT ARK",52,26,2,72.19,"B"
"Isaac Nyenabo","W GEORGIA",69,23,3,72.08,"B"
"Quan Peterson","AUSTINPEAY",62,31,2,72.05,"B"
"Zach Williams","ALABAMA ST",64,32,2,71.89,"B"
"David Jones","SE MO ST",155,51.6666666666667,3,71.78,"B"
"SJ Gentle","CAL POLY",61,30.5,2,71.74,"B"
"Evin McDowell","MERCER",120,40,3,71.6,"B"
"Deandre Creary","AUSTINPEAY",86,28.6666666666667,3,71.55,"B"
"Kareem Hector","STNY BROOK",131,43.6666666666667,3,71.48,"B"
"Omaris McMiller Jr.","BRYANT",92,46,2,71.42,"B"
"DonPaul Keith","W ILLINOIS",72,36,2,71.41,"B"
"Darvens Tunis","YNGTOWN ST",77,38.5,2,71.37,"B"
"Hasson Manning Jr.","MONMOUTH",72,24,3,71.36,"B"
"Justin Wimpye","AUSTINPEAY",97,32.3333333333333,3,71.25,"B"
"Doreon Dubose","ILL STATE",123,41,3,71.15,"B"
"Xavier Tates","SCAR STATE",38,19,2,71.15,"B"
"Elisha Luckett III","GARD-WEBB",56,28,2,71.01,"B"
"Taylor Smallwood","GARD-WEBB",129,43,3,70.99,"B"
"Adrian Patterson","SE MO ST",138,46,3,70.93,"B"
"Avery Scott","N DAKOTA",41,20.5,2,70.69,"B"
"Branson Leduc-Mattox","WM & MARY",132,66,2,70.65,"B"
"Sean Webb","NEW HAMP",187,62.3333333333333,3,70.57,"B"
"Jerry Allen III","IDAHO",60,30,2,70.52,"B"
"Sage Salopek","MONTANA",102,51,2,70.45,"B"
"Jahaad Fort","N ARIZONA",91,45.5,2,70.38,"B"
"Chris Hudson","NEWHVN",154,51.3333333333333,3,70.33,"B"
"Nikkem Reynolds","NEWHVN",69,23,3,70.32,"B"
"Jeremiah Jimoh","UTAHTC",157,52.3333333333333,3,70.3,"B"
"Dominic Julius","YNGTOWN ST",44,22,2,70.28,"B"
"Zakaa Brown","TOWSON",180,60,3,70.22,"B"
"Steven Davis II","NC A&T",126,63,2,70.02,"B"
"Brandon Ross","NWSTATE",93,46.5,2,69.97,"B"
"Ryan Tillman","UTAHTC",153,51,3,69.94,"B"
"Isaiah Watts","MOREHEAD",38,19,2,69.85,"B"
"Dev Holman","YNGTOWN ST",108,54,2,69.84,"B"
"Tycorien Gist","NC A&T",73,36.5,2,69.77,"B"
"Keon Powell","ALBANY",137,45.6666666666667,3,69.46,"B"
"Hysan Dalton","IDAHO",142,47.3333333333333,3,69.45,"B"
"AK Burrell","FURMAN",121,60.5,2,69.43,"B"
"Trevon Baxter","STHLSK",102,51,2,69.2,"B"
"O.C. Nurse","VALPO",124,62,2,69.01,"B"
"Chase Jarrett","COLGATE",76,38,2,69,"B"
"Sir Christian Johnson","CENT ARK",91,45.5,2,68.9,"B"
"Anthony Hightower III","HAMPTON",111,55.5,2,68.74,"B"
"Omar Ibrahim","MONMOUTH",118,39.3333333333333,3,65.48,"B-"
"Zayd Rogan","WOFFORD",57,28.5,2,65.33,"B-"
"Antonio Martin","ROB MORRIS",47,23.5,2,65.23,"B-"
"Ethan Washington","FURMAN",80,40,2,65.18,"B-"
"Mark Arthur","WOFFORD",51,25.5,2,65.11,"B-"
"DJ Brown","LEHIGH",158,52.6666666666667,3,65.02,"B-"
"Gavin Shepard","S ILLINOIS",131,43.6666666666667,3,64.97,"B-"
"Geovanny Fabian","DELWARE ST",128,42.6666666666667,3,64.91,"B-"
"Xavier Maple","MERRIMACK",47,23.5,2,64.75,"B-"
"Wendell Smith","TENN MARTN",120,40,3,64.57,"B-"
"RJ Pooler","PRESBYTERN",65,32.5,2,64.44,"B-"
"Takai Whitmore","BUCKNELL",62,31,2,64.43,"B-"
"Christen Williams","GRAMBLING",70,35,2,64.42,"B-"
"Tareq Council","CHISTA",172,57.3333333333333,3,64.4,"B-"
"Tamajh Mitchell","E TENN ST",49,24.5,2,64.14,"B-"
"Aaron Evans","NORFOLK",32,16,2,64.06,"B-"
"Brayden Hapner","W ILLINOIS",72,36,2,63.89,"B-"
"Noah St-Juste","S DAK ST",94,31.3333333333333,3,63.89,"B-"
"Da'Sean Anderson","MERCYHURST",31,15.5,2,63.82,"B-"
"Dominic Girard","MURRAY ST",52,26,2,63.75,"B-"
"D.J. Galva","E KENTUCKY",89,44.5,2,63.74,"B-"
"Dillon Conway","E ILLINOIS",47,23.5,2,63.64,"B-"
"Kaleb Quammie","N COLORADO",106,53,2,63.32,"B-"
