"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"Ka Von Chisolm","SCAR STATE",77,38.5,2,98.86,"A+"
"Asher Wilson","ROB MORRIS",108,54,2,83.13,"A-"
"Kylyn Macklin","N DAKOTA",66,33,2,79.66,"B+"
"Khalib Robinson","CHISTA",84,42,2,79.09,"B+"
"Gio Divers","CHISTA",70,35,2,79.02,"B+"
"Mason Knipp","INDIANA ST",52,26,2,76.35,"B+"
"Quoy Rainey","DELWARE ST",107,35.6666666666667,3,75.04,"B+"
"Joshua Barker","SCAR STATE",69,34.5,2,74.29,"B+"
"Trevion Traylor","CENT ARK",95,47.5,2,73.95,"B+"
"Hudson Page","ABILENE CH",154,51.3333333333333,3,72.85,"B"
"Jaydon Eason","STF AUSTIN",94,31.3333333333333,3,72.41,"B"
"Jyheam Ingram","N ALABAMA",130,43.3333333333333,3,72.29,"B"
"IyiolaOluwa Solomi","LAMAR",83,41.5,2,71.51,"B"
"Jadin Nelson","LEHIGH",117,39,3,70.03,"B"
"Chris Wilson","TENN MARTN",136,45.3333333333333,3,69.48,"B"
"Alexandre Dedieu","LAMAR",35,17.5,2,67.96,"B"
"John Starman","S DAKOTA",137,45.6666666666667,3,67.82,"B"
"Julian Fernandez","UC DAVIS",81,27,3,67.5,"B"
"Ean Johnson-Kelley","MERCER",49,24.5,2,67.36,"B"
"Lowote Jurkin","STF AUSTIN",73,36.5,2,67.28,"B"
"Jakub Mwangelwa","FORDHAM",73,36.5,2,67.26,"B"
"Kehinde Akintunde","MERCER",96,32,3,67.11,"B"
"Ugo Nwotite","VILLANOVA",111,37,3,66.84,"B"
"Chris Campanelli","NEW HAMP",110,36.6666666666667,3,66.81,"B"
"Amiree Alexander","SE LA",163,54.3333333333333,3,66.53,"B-"
"Nathan Huerta","TXRG",84,42,2,66.43,"B-"
"Zacchaeus Dixon","MERCYHURST",143,47.6666666666667,3,66.32,"B-"
"Colby Spencer","FORDHAM",123,41,3,66.17,"B-"
"TJ Baldwin","RICHMOND",119,39.6666666666667,3,66.08,"B-"
"Antony Morris","VALPO",115,57.5,2,66.06,"B-"
"Seven Cloud","TARLETON",138,46,3,65.88,"B-"
"Gensley Auguste","DELWARE ST",76,25.3333333333333,3,65.85,"B-"
"Case Mankins","RHODE ISLD",161,53.6666666666667,3,65.54,"B-"
"Alex Yearwood","STETSON",91,45.5,2,65.41,"B-"
