"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"Max Samuel","VALPO",138,69,2,100,"A+"
"Christian Magliacano","COLGATE",162,54,3,98.11,"A+"
"Jacob Perez","IDAHO ST",103,51.5,2,97.04,"A+"
"Teni Worthen","WEBER ST",127,63.5,2,95.29,"A+"
"Brodie Carroll","ELON",190,63.3333333333333,3,91.65,"A"
"Nathan Reynolds","IDAHO ST",127,63.5,2,91.02,"A"
"Adam Due","HOLY CROSS",175,58.3333333333333,3,88.19,"A"
"Ben Fiegel","S ILLINOIS",166,55.3333333333333,3,84.99,"A-"
"Wade Abrams","S DAKOTA",176,58.6666666666667,3,84.99,"A-"
"Spencer Rich","TXRG",129,64.5,2,83.46,"A-"
"Andrew Behm","S ILLINOIS",176,58.6666666666667,3,83.25,"A-"
"Mahamadou Diarra","ALCORN ST",82,41,2,82.95,"A-"
"Omari Bursey","VILLANOVA",193,64.3333333333333,3,80.79,"A-"
"KJ McRae","SE MO ST",130,43.3333333333333,3,80.6,"A-"
"Nai Mose","MONTANA",81,40.5,2,80.54,"A-"
"Kenny Olson","CAL POLY",211,70.3333333333333,3,79.82,"B+"
"Dre Delinois","E TENN ST",90,45,2,79.68,"B+"
"Andrew Osmun","FORDHAM",192,64,3,79.32,"B+"
"Jyarius Carter","MERCER",161,53.6666666666667,3,79.15,"B+"
"Jaiden Letua","N ARIZONA",85,42.5,2,78.12,"B+"
"Tyrek Brown","NC A&T",104,52,2,77.9,"B+"
"Chris Robinson","TARLETON",133,44.3333333333333,3,77.67,"B+"
"Porter Connors","UC DAVIS",135,45,3,77.64,"B+"
"Trevor Barry","NEW HAMP",228,76,3,77.39,"B+"
"Trooper Price","COLGATE",188,62.6666666666667,3,77.2,"B+"
"Tye Niekamp","ILL STATE",143,47.6666666666667,3,76.87,"B+"
"Ashtyn Williams","CENT ARK",109,54.5,2,76.59,"B+"
"Rafael Fasolino","LIUSHAR",183,61,3,76.25,"B+"
"Ryan Russo","MONMOUTH",163,54.3333333333333,3,75.25,"B+"
"Jack Casey","GEORGETOWN",120,60,2,75.03,"B+"
"Mike Devereaux","N DAKOTA",128,64,2,74.77,"B+"
"Harrison Johnson","WM & MARY",216,72,3,74.12,"B+"
"Zion Rutledge","CHATTNOOGA",164,54.6666666666667,3,74.09,"B+"
"Kennon Loftin","NICHOLLS",141,47,3,74.03,"B+"
"Tre Yanez","GARD-WEBB",141,47,3,74.03,"B+"
"Aaron Kizzee","TEXAS STHN",60,30,2,73.77,"B+"
"Wyatt Ward","WOFFORD",183,61,3,73.56,"B+"
"Cole Taylor","MONTANA ST",168,56,3,72.9,"B"
"Cam Jessee","E KENTUCKY",86,43,2,72.4,"B"
"Gabe Brown","ABILENE CH",168,56,3,72.18,"B"
"Elijah Thomas","LNDNWD",39,19.5,2,71.9,"B"
"Marcellius Johnson","GRAMBLING",81,40.5,2,71.86,"B"
"Malachi Williams","STF AUSTIN",127,42.3333333333333,3,71.83,"B"
"Mitchell Robinson Jr.","ALABAMA ST",100,50,2,71.76,"B"
"Skylar James","DRAKE",107,53.5,2,71.67,"B"
"Jeremiah Pruitt","ALBANY",163,54.3333333333333,3,71.19,"B"
"Nick Afato","UC DAVIS",147,49,3,70.77,"B"
"Caleb Jacobmeier","LNDNWD",79,39.5,2,70.46,"B"
"Tay James","SOUTHERN U",84,42,2,69.98,"B"
"Chidu Bekee","W GEORGIA",72,36,2,69.89,"B"
"Geno Calgaro","STNY BROOK",135,45,3,69.67,"B"
"Mason Kaplan","ILL STATE",120,40,3,69.66,"B"
"Nick Hoying","BUCKNELL",125,62.5,2,69.4,"B"
"Tommy Diamond","BUTLER",100,50,2,69.37,"B"
"Jackson Barry","LIUSHAR",154,51.3333333333333,3,69.33,"B"
"Lonnie Burt","E ILLINOIS",52,26,2,69.22,"B"
"Frederick Borkey","NEWHVN",175,58.3333333333333,3,69.1,"B"
"Anthony Corona","ILL STATE",91,30.3333333333333,3,69.05,"B"
"Jaxton Helmstetler","PORTLAND",205,68.3333333333333,3,69.03,"B"
"Jamari Young","ALBANY",84,42,2,68.82,"B"
"Rashad Watson","ALABAMA ST",45,22.5,2,68.75,"B"
"Lincoln Tuioti-Mariner","SO UTAH",73,36.5,2,68.74,"B"
"Amanuel Dickson","ROB MORRIS",114,57,2,68.52,"B"
"Rohan Davy","RHODE ISLD",171,57,3,68.29,"B"
"Peyton Wing","MONTANA",79,39.5,2,68.26,"B"
"Nikko Speer","IDAHO",146,48.6666666666667,3,68.21,"B"
"Malik Stinnett","BETH COOK",89,44.5,2,68.08,"B"
"Zach Smith","WEBER ST",86,43,2,67.96,"B"
"Donovan Jones","TEXAS STHN",102,51,2,67.87,"B"
"Etelridge McKinney","LAMAR",73,36.5,2,67.7,"B"
"Kalen Villanueva","CAMPBELL",71,35.5,2,67.69,"B"
"Trace Carter","SE LA",174,58,3,67.66,"B"
"Ethan Boll","N DAKOTA",127,63.5,2,67.65,"B"
"Jake Lopinto","ROB MORRIS",81,40.5,2,67.64,"B"
"J.R. Flood","DRAKE",107,53.5,2,67.52,"B"
"Brendan Thompson","NORFOLK",89,44.5,2,67.51,"B"
"Logan Lisherness","PORTLAND",192,64,3,67.44,"B"
"Ryan McCall","MURRAY ST",122,40.6666666666667,3,67.4,"B"
"Dillon Dunathan","ALBANY",158,52.6666666666667,3,67.26,"B"
"Mason Wuenschel","LAMAR",74,37,2,67.08,"B"
"Nycere Jacobs","STETSON",114,57,2,67.01,"B"
"Blake Houser","RICHMOND",165,55,3,66.79,"B"
"Nehemiah Scott","SE MO ST",117,39,3,66.78,"B"
"Mason Stromstad","SO UTAH",115,57.5,2,66.55,"B-"
"Christopher Higgins","WM & MARY",159,53,3,63.4,"B-"
"Hudson Voggesser","N COLORADO",117,58.5,2,63.17,"B-"
"Mikey D'Amato","CAL POLY",236,78.6666666666667,3,62.55,"B-"
"DeShaun Malone","CHISTA",115,38.3333333333333,3,62.54,"B-"
"Jacob Staton","CENT CT ST",107,53.5,2,62.42,"B-"
"Wesley York Jr.","TXAMEA",108,36,3,62.41,"B-"
"Cole Hughes","LEHIGH",115,38.3333333333333,3,62.25,"B-"
"TJ Nelson","LAMAR",77,38.5,2,62.04,"B-"
"Kristian Ozane","CHATTNOOGA",136,45.3333333333333,3,61.92,"B-"
"Roderick Kelly Jr.","SCAR STATE",40,20,2,61.9,"B-"
"Jackson Thorne","RICHMOND",178,59.3333333333333,3,61.86,"B-"
"Jackson Stratton","BUTLER",112,56,2,61.78,"B-"
"Isaiah Jones","NEW HAMP",108,54,2,61.72,"B-"
"Caden Henritzy","STHLSK",143,47.6666666666667,3,61.69,"B-"
"Elijah Binakonsky","MERCYHURST",89,29.6666666666667,3,61.56,"B-"
"Ryan Earl","FURMAN",89,44.5,2,61.34,"B-"
"Kaden Smith","E KENTUCKY",99,49.5,2,61.31,"B-"
"Klayton Ingram","MURRAY ST",150,50,3,60.85,"B-"
"Cedric Thornton Jr.","PRVIEW A&M",55,27.5,2,60.68,"B-"
"Ricky Encarnacion","NEWHVN",96,48,2,60.5,"B-"
"Corey Lucius","ALABAMA ST",70,35,2,60.47,"B-"
"Chase Martin","CAL POLY",110,36.6666666666667,3,60.4,"B-"
"Rontravious Perry","NORFOLK",88,44,2,60.38,"B-"
"Xavier Ahrens","MONTANA ST",156,52,3,60.33,"B-"
"Cahari Haynes","GARD-WEBB",142,47.3333333333333,3,60.19,"B-"
"Sir Hezekiah Ragland","NEWHVN",59,29.5,2,60.16,"B-"
"Denzel Johnson","FL A&M",92,46,2,60.08,"B-"
"Jaiden Haygood","TXRG",124,62,2,60.05,"B-"
"Trent Zappe","HOUCHR",154,77,2,59.67,"C+"
"Logan McCloud","WOFFORD",136,45.3333333333333,3,59.66,"C+"
"Matthew Moore","PRVIEW A&M",61,30.5,2,59.62,"C+"
"Raleigh Herbert","FURMAN",96,48,2,59.59,"C+"
"Carter Wyatt","ELON",36,18,2,59.36,"C+"
"Jeff Leavell","MERCYHURST",151,50.3333333333333,3,59.36,"C+"
"Markeith Hogan","MERRIMACK",62,20.6666666666667,3,59.21,"C+"
"Sam Oppenheimer","MAINE",162,54,3,59.03,"C+"
"Will Cornelson","WEBER ST",90,45,2,59.03,"C+"
"Micah McNair","INDIANA ST",35,17.5,2,58.93,"C+"
"John Powers","N IOWA",151,50.3333333333333,3,58.85,"C+"
"Luke Miller","DUQUESNE",175,58.3333333333333,3,58.79,"C+"
"Micah Green","MERRIMACK",164,54.6666666666667,3,58.74,"C+"
"Canaan Williams","AUSTINPEAY",124,41.3333333333333,3,58.51,"C+"
"Ron Burton","HOLY CROSS",50,25,2,58.49,"C+"
"Joseph Evans","BETH COOK",78,39,2,58.43,"C+"
"RJ Jones II","UTAHTC",83,41.5,2,58.33,"C+"
"Marco Patierno","W CAROLINA",46,23,2,58.32,"C+"
"Drake Lusk","BRYANT",159,53,3,58.05,"C+"
"Anthony Ferrelli","STNY BROOK",189,63,3,58.03,"C+"
"Jamarcus Smith","TENN MARTN",123,41,3,58.02,"C+"
"William Parton","LEHIGH",104,52,2,57.86,"C+"
"CJ Favors","MERCER",95,47.5,2,57.69,"C+"
"Jaheim Lowe","TXAMEA",39,19.5,2,57.51,"C+"
"Rajahn Cooper","MERRIMACK",108,36,3,57.4,"C+"
"Jes Krcil","S DAK ST",116,38.6666666666667,3,57.29,"C+"
"Jordan Okoye","SE LA",126,42,3,57.16,"C+"
"Cullen McShane","S DAK ST",110,36.6666666666667,3,56.87,"C+"
"Lucas Naquin","W GEORGIA",79,26.3333333333333,3,56.85,"C+"
"Dawson Washington","LAMAR",84,42,2,56.75,"C+"
"Montravius Lloyd","BETH COOK",53,26.5,2,56.73,"C+"
"Andrew Ruffin","W GEORGIA",109,36.3333333333333,3,56.7,"C+"
"Zach Chambers","DUQUESNE",155,51.6666666666667,3,56.69,"C+"
"LJ Roberts","E WASHGTON",78,39,2,56.55,"C+"
"Jackson Marshall","E KENTUCKY",37,18.5,2,56.46,"C+"
"Charles Chappelle","N ALABAMA",124,41.3333333333333,3,56.33,"C+"
"Myles Mayovsky","E WASHGTON",101,50.5,2,56.31,"C+"
"Malachi Williams","PRVIEW A&M",93,46.5,2,56.26,"C+"
"Gerard Culotta","TARLETON",120,40,3,56.16,"C+"
"Josh Lenart","LEHIGH",75,37.5,2,56.15,"C+"
"Brendan Leal","WAGNER",120,40,3,56.06,"C+"
"AJ Benton","CAMPBELL",153,51,3,55.96,"C+"
"Cole Dutkovich","SE MO ST",48,24,2,55.95,"C+"
"Carston Marshall","YNGTOWN ST",112,37.3333333333333,3,55.93,"C+"
"Derek Hite","ELON",114,38,3,55.93,"C+"
"Shane Hulmes","BUCKNELL",87,43.5,2,55.93,"C+"
"Moses Meus","RHODE ISLD",151,50.3333333333333,3,55.91,"C+"
"Marquis Lane-Owens","SCAR STATE",44,22,2,55.88,"C+"
"Rodney Roane","HOWARD",95,47.5,2,55.69,"C+"
"Ryder Holt","IDAHO ST",40,20,2,55.68,"C+"
"C.J. Miller","LAMAR",64,32,2,55.62,"C+"
"LJ Minner Jr.","SE MO ST",144,48,3,55.46,"C+"
"Gary Seidenberger","STF AUSTIN",56,18.6666666666667,3,55.4,"C+"
"Joshua Collins","W CAROLINA",103,34.3333333333333,3,55.34,"C+"
"Will Miller","HOLY CROSS",103,34.3333333333333,3,54.99,"C+"
"Jeb Koetting","COLGATE",37,18.5,2,54.97,"C+"
"Jake Miller","MERCYHURST",75,37.5,2,52.35,"C"
"Nolan O'Hara","LNDNWD",43,21.5,2,52.29,"C"
"Cruz Hepburn","IDAHO",159,53,3,52.22,"C"
"Aiden Morris","WOFFORD",43,21.5,2,52.19,"C"
"Ronin Dangler","MERCER",79,39.5,2,52.07,"C"
"Luke Hackett","SACR HEART",71,35.5,2,52.03,"C"
"Lucas Campizta","DELWARE ST",72,36,2,51.83,"C"
"Will Claude","MERRIMACK",126,42,3,51.73,"C"
"Christian Caballero","VILLANOVA",115,57.5,2,51.72,"C"
"Braxton Sampson","INDIANA ST",77,38.5,2,51.66,"C"
"Jefferson Bretanys Desca","AUSTINPEAY",61,30.5,2,51.66,"C"
"Logalima Lesa","SO UTAH",80,40,2,51.64,"C"
"Shug Bentley","STETSON",97,48.5,2,51.61,"C"
"Kevin Martin Jr.","NICHOLLS",127,42.3333333333333,3,51.39,"C"
"Dominic Jones","ALBANY",34,17,2,51.36,"C"
"Herman Brister III","SOUTHERN U",72,36,2,51.35,"C"
"Eli Ennis","STF AUSTIN",113,37.6666666666667,3,51.31,"C"
"Darius Moore","ABILENE CH",177,59,3,51.27,"C"
"Sonny Vitale","TXAMEA",66,22,3,51.19,"C"
"Ryan Johnson","FL A&M",71,35.5,2,51.18,"C"
"Gabriel Hardman","S DAKOTA",137,45.6666666666667,3,51.17,"C"
"Roman Kupu","TXAMEA",56,18.6666666666667,3,50.99,"C"
"Kyle Elphick","STETSON",42,21,2,50.98,"C"
"Michael Johnson","CHISTA",95,47.5,2,50.88,"C"
"Seth Hampton","TOWSON",64,21.3333333333333,3,50.79,"C"
"Braden McShane","N IOWA",137,45.6666666666667,3,50.7,"C"
"Trenton Radloff","DRAKE",43,21.5,2,50.61,"C"
"Walker Murray","VILLANOVA",116,58,2,50.61,"C"
"Danny Sears","NWSTATE",74,37,2,50.59,"C"
"Sam Ofurie","RHODE ISLD",45,22.5,2,50.57,"C"
"Emauri Sibley","MCNEESE",70,35,2,50.55,"C"
"Eli Jones","AUSTINPEAY",110,36.6666666666667,3,50.52,"C"
"Nolan Forsha","N ALABAMA",104,52,2,50.48,"C"
"Keegan Krupp","MOREHEAD",61,30.5,2,50.45,"C"
"Jordan Daniel","ALCORN ST",91,45.5,2,50.4,"C"
"Chris Johnson","MOREHEAD",58,29,2,50.26,"C"
"Jesse Garza","SO UTAH",35,17.5,2,50.21,"C"
"Jamal Jordan","GRAMBLING",80,40,2,50.2,"C"
"Jaydyn Johnson","TOWSON",112,37.3333333333333,3,49.96,"C"
"AJ Revella","FORDHAM",88,29.3333333333333,3,49.93,"C"
"Qua Birdsong","E TENN ST",41,20.5,2,49.79,"C"
"Reginald Allen Jr.","TENN MARTN",99,33,3,49.72,"C"
"Thomas McCormick","UC DAVIS",49,24.5,2,49.72,"C"
"Ronan Poynton","DRAKE",44,22,2,49.65,"C"
"Jordan Banks","DELWARE ST",129,43,3,49.62,"C"
"Landon Barrett","MCNEESE",102,51,2,49.6,"C"
"Jerrium Berry Jr.","MERRIMACK",59,29.5,2,49.56,"C"
"Alex Rose","INDIANA ST",67,33.5,2,49.52,"C"
"Acear Cornish","WAGNER",110,36.6666666666667,3,49.27,"C"
"Matthew Sopp","NEW HAMP",115,57.5,2,49.22,"C"
"Garrett Rogan","VILLANOVA",115,38.3333333333333,3,48.89,"C"
"Andrew Baumgart","LNDNWD",56,28,2,48.86,"C"
"Tim Hays","SAN DIEGO",124,41.3333333333333,3,48.8,"C"
