"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"Jayden Earley","CHISTA",157,52.3333333333333,3,96.08,"A+"
"Bryce Smith","E WASHGTON",111,55.5,2,88.96,"A"
"Braylon Beckwith","MERCYHURST",199,66.3333333333333,3,88.16,"A"
"Cyler Christmas","SE MO ST",140,46.6666666666667,3,88.06,"A"
"Brenden Bradshaw","HOUCHR",100,50,2,86.6,"A-"
"Dillon Williams","ABILENE CH",213,71,3,86.6,"A-"
"Zachary Corna","BUCKNELL",116,58,2,86.33,"A-"
"Jaden Davis","BETH COOK",98,49,2,85.66,"A-"
"Ta'Shaun Sims","ALABAMA ST",102,51,2,85.22,"A-"
"Kamrin Canterbury","PRVIEW A&M",160,53.3333333333333,3,84.95,"A-"
"Joseph Garcia","STNY BROOK",184,61.3333333333333,3,84.19,"A-"
"Jackson Stone","NEW HAMP",212,70.6666666666667,3,84.16,"A-"
"Kaleb Gallop","HOWARD",85,42.5,2,83.89,"A-"
"Kam Baah-Slay","CHATTNOOGA",104,52,2,83.73,"A-"
"TJ Hill","LEHIGH",42,21,2,83.67,"A-"
"Noel Roach","ROB MORRIS",116,58,2,83.56,"A-"
"Jaeden Jones","MONMOUTH",181,60.3333333333333,3,83.18,"A-"
"DeAngelo Ponder","ABILENE CH",202,67.3333333333333,3,82.92,"A-"
"Jaden Nelson","CHATTNOOGA",160,53.3333333333333,3,82.89,"A-"
"Felix Matos","LIUSHAR",192,64,3,82.86,"A-"
"Jeremiah McGill","MAINE",149,49.6666666666667,3,82.35,"A-"
"Caleb Geronomi","RICHMOND",96,48,2,82.09,"A-"
"Noah Thompson","S DAK ST",43,21.5,2,82.05,"A-"
"Cohen Charles","MCNEESE",82,41,2,82.03,"A-"
"Sidney Webb","MOREHEAD",54,27,2,81.95,"A-"
"Tony Hart III","ELON",190,63.3333333333333,3,81.62,"A-"
"Colter Petre","MONTANA ST",175,58.3333333333333,3,81.45,"A-"
"Mikhail Benner","N COLORADO",64,32,2,81.37,"A-"
"Chris Edwards","MOREHEAD",47,23.5,2,81.36,"A-"
"Casey Midcap","DRAKE",45,22.5,2,81.31,"A-"
"Taye Proctor","DRAKE",57,28.5,2,81.29,"A-"
"Joe Natali","NWSTATE",97,48.5,2,81.21,"A-"
"Phillip Harris","NEW HAMP",138,69,2,81.17,"A-"
"Jouvenson Romulus","W ILLINOIS",67,33.5,2,81.08,"A-"
"Jamarion Ravenell","GARD-WEBB",135,45,3,80.93,"A-"
"Trevor Hardy","AUSTINPEAY",171,57,3,80.9,"A-"
"Cody Williams","TOWSON",44,22,2,80.83,"A-"
"Tim White","S DAKOTA",200,66.6666666666667,3,80.69,"A-"
"Tre Meadows","LEHIGH",32,16,2,80.56,"A-"
"Bryce McDonald","LAMAR",80,40,2,80.51,"A-"
"Mar Mar Evans","LAMAR",114,57,2,80.46,"A-"
"Ken Moore Jr.","W CAROLINA",127,42.3333333333333,3,80.45,"A-"
"Ryan Barrett","STNY BROOK",176,58.6666666666667,3,80.27,"A-"
"Calvin Jaworski","N IOWA",123,41,3,79.86,"B+"
"Amare Townsend","BRYANT",58,29,2,79.48,"B+"
"Isaiah Cook","IDAHO ST",54,27,2,79.47,"B+"
"Parker Vance","SO UTAH",128,64,2,79.41,"B+"
"Nick Peltekian","LEHIGH",131,43.6666666666667,3,79.21,"B+"
"Stephen Woods Jr.","TARLETON",152,50.6666666666667,3,79.12,"B+"
"Mark Hawkins Jr.","MERCYHURST",90,45,2,78.91,"B+"
"Jeff Banks","DUQUESNE",49,24.5,2,78.74,"B+"
"Danny Simms","MERRIMACK",167,55.6666666666667,3,78.34,"B+"
"Nigel Lucas","GARD-WEBB",145,48.3333333333333,3,78.28,"B+"
"Isaac Redford","PORTLAND",175,58.3333333333333,3,77.97,"B+"
"Troy Wilkey","IDAHO ST",105,52.5,2,77.91,"B+"
"Tommy Williams","DRAKE",106,53,2,77.78,"B+"
"Elijah Hughes","TXAMEA",137,45.6666666666667,3,77.74,"B+"
"Jordan Coleman","ILL STATE",155,51.6666666666667,3,77.71,"B+"
"Jabin Ford","SCAR STATE",65,32.5,2,77.49,"B+"
"Myles Johnson","TOWSON",141,47,3,77.43,"B+"
"Derek Taylor","E KENTUCKY",112,56,2,77.17,"B+"
"RL Miller","CAL POLY",204,68,3,76.94,"B+"
"Donovan Fey","MONMOUTH",146,48.6666666666667,3,76.82,"B+"
"Mark Johnson","VALPO",133,66.5,2,76.82,"B+"
"Jeremiah Lewis","SACR HEART",44,22,2,76.71,"B+"
"Sharmari Reed","SCAR STATE",64,32,2,76.61,"B+"
"Jordan Irvine","STHLSK",115,57.5,2,76.42,"B+"
"Javon Bejarano","HOUCHR",111,55.5,2,76.31,"B+"
"Zach Wusstig","IDAHO",100,50,2,76.06,"B+"
"Jamel Acosta-Lewis","STF AUSTIN",101,33.6666666666667,3,76.04,"B+"
"Dana Johnson Jr.","ALBANY",172,57.3333333333333,3,75.94,"B+"
"Dion Villiers","FL A&M",54,27,2,75.88,"B+"
"Rylan Crawford","ILL STATE",41,20.5,2,75.85,"B+"
"Josiah Davis","NORFOLK",67,33.5,2,75.82,"B+"
"Spencer Halvorson","DRAKE",38,19,2,75.82,"B+"
"Tanner Huff","MONTANA",76,38,2,75.77,"B+"
"Mike Polke","MERCER",144,48,3,75.73,"B+"
"Jarrett Mitchel","LAMAR",62,31,2,75.54,"B+"
"Luke Denny","LEHIGH",144,48,3,75.42,"B+"
"Myles Hansford","NEWHVN",143,47.6666666666667,3,74.91,"B+"
"Reece Allan","COLGATE",183,61,3,74.79,"B+"
"Jordan McClom","N IOWA",154,51.3333333333333,3,71.4,"B"
"Sekou Roland","ALBANY",38,19,2,71.24,"B"
"Stephan French","W GEORGIA",122,40.6666666666667,3,71.08,"B"
"Jermaine Hargraves","MCNEESE",40,20,2,70.79,"B"
"Michael Farr III","S DAK ST",107,35.6666666666667,3,70.76,"B"
"Brayden Rosa","UC DAVIS",170,56.6666666666667,3,70.66,"B"
"Jadan Aubert","TARLETON",148,49.3333333333333,3,70.58,"B"
"Dontay Johnson","S DAK ST",122,40.6666666666667,3,70.49,"B"
"Brian Allen","GEORGETOWN",137,68.5,2,70.39,"B"
"Victor Holt","ALBANY",161,53.6666666666667,3,70.26,"B"
"DaMario Crawford","STNY BROOK",130,43.3333333333333,3,70.14,"B"
"TJ Sands","TOWSON",178,59.3333333333333,3,70.08,"B"
"Sidoine Djimbou","ALBANY",54,27,2,70.07,"B"
"Kade Boyd","MONTANA",100,50,2,69.75,"B"
"Steven Stephany","BUTLER",61,30.5,2,69.63,"B"
"Jake Kruger","W ILLINOIS",77,38.5,2,69.6,"B"
"Kedrick Green","HOWARD",82,41,2,69.4,"B"
"Ryan Maxwell","LIUSHAR",169,56.3333333333333,3,69.39,"B"
"Timothy Jasper","ALCORN ST",144,72,2,69.19,"B"
"Kameron Brown","ALCORN ST",56,28,2,69.13,"B"
"Kwantre' Harry","SCAR STATE",55,27.5,2,69.02,"B"
"Nahamani Harris","PRVIEW A&M",109,54.5,2,68.97,"B"
"Nassor Ashenafi","W CAROLINA",108,36,3,68.8,"B"
"Jacob Sekiyoba","CENT ARK",109,54.5,2,68.62,"B"
"Braylon Peebles","FURMAN",122,61,2,68.61,"B"
"Tyson Grimm","RHODE ISLD",102,34,3,68.6,"B"
"Corey Williams","WOFFORD",40,20,2,68.57,"B"
"Brody Shuss","DRAKE",104,52,2,68.54,"B"
"Cody Morris","SOUTHERN U",58,29,2,68.5,"B"
"Lucas Theriaque","NEWHVN",164,54.6666666666667,3,68.49,"B"
"Cade Ellis","WM & MARY",166,55.3333333333333,3,68.43,"B"
"Hayden John","UC DAVIS",78,39,2,68.37,"B"
"Stephon Hall","NORFOLK",52,26,2,68.35,"B"
"Kenneth Ford","SE LA",126,63,2,68.3,"B"
"Markell Redding","AUSTINPEAY",80,40,2,68.24,"B"
"Trey Cotton","TENN MARTN",182,60.6666666666667,3,67.7,"B"
"Joshua Tarver","FURMAN",110,55,2,67.62,"B"
"Ashton Paine","MONTANA",43,21.5,2,67.46,"B"
"Jeffrey Kinley","E KENTUCKY",93,46.5,2,67.34,"B"
"Shoes Brinkley","N ARIZONA",102,51,2,67.29,"B"
"DJ Delmore","SE MO ST",151,50.3333333333333,3,67.11,"B"
"Kam Robinson","TARLETON",67,33.5,2,67.1,"B"
"Taki Uluilakepa","MONTANA ST",122,40.6666666666667,3,67.1,"B"
"Tazion McQueen","MOREHEAD",56,28,2,66.94,"B"
"Mike Jenkins","E TENN ST",75,37.5,2,66.75,"B"
"Donald Johnson Jr.","SOUTHERN U",91,45.5,2,66.67,"B"
"Aaron Woodard","PRVIEW A&M",85,28.3333333333333,3,66.63,"B-"
"JJ Dolan","MONTANA ST",45,22.5,2,66.62,"B-"
"Sentario Willis","MCNEESE",49,24.5,2,66.58,"B-"
"Eric Miles","STHLSK",133,44.3333333333333,3,66.55,"B-"
"Dedric Walker","BRYANT",147,49,3,66.53,"B-"
"Amari Mack","MAINE",33,16.5,2,66.3,"B-"
"Jussiah Williams-West","YNGTOWN ST",75,37.5,2,66.3,"B-"
"Andre DePina-Gray","RHODE ISLD",139,46.3333333333333,3,66.25,"B-"
"Tae Martin","N ALABAMA",214,71.3333333333333,3,66.22,"B-"
"Ben Chandler IV","HOWARD",71,35.5,2,66.13,"B-"
"Braylon Jones","W CAROLINA",96,32,3,66.07,"B-"
"Jordan Ford","TXRG",81,40.5,2,65.79,"B-"
"Nick Vecchiarelli","E ILLINOIS",71,35.5,2,65.76,"B-"
"Vinny Pierre Jr.","S ILLINOIS",191,63.6666666666667,3,65.75,"B-"
"Jayden Mayberry","WEBER ST",95,47.5,2,65.66,"B-"
"Brayden Breedlove","CAL POLY",96,32,3,65.65,"B-"
"Leo Glover","N ALABAMA",182,60.6666666666667,3,65.65,"B-"
"Denzel Williams","SOUTHERN U",45,22.5,2,65.61,"B-"
"Alant'e Reese","W CAROLINA",55,27.5,2,65.44,"B-"
"Shahid Wilson","N ARIZONA",89,44.5,2,65.1,"B-"
"Julian Quintero","W CAROLINA",68,22.6666666666667,3,65.07,"B-"
"Nick Coates","CHATTNOOGA",104,34.6666666666667,3,64.97,"B-"
"Qwae Willis","HAMPTON",121,60.5,2,64.94,"B-"
"Brandon Worsley","E ILLINOIS",60,30,2,64.93,"B-"
"Jeremy Richardson","MERCER",156,52,3,64.88,"B-"
"Cam Sturdifen","HAMPTON",119,59.5,2,64.86,"B-"
"Justin Bostic","FL A&M",81,40.5,2,64.86,"B-"
"Matai Tomas","HOUCHR",109,54.5,2,64.76,"B-"
"Cohen Cook","NEW HAMP",222,74,3,64.69,"B-"
"Caleb Merritt","AUSTINPEAY",48,24,2,64.62,"B-"
"Ezra Carter","BRYANT",157,52.3333333333333,3,64.54,"B-"
"Jahlani Clarke","STETSON",116,58,2,64.5,"B-"
"Jayonn Saunders","MERCYHURST",171,57,3,64.4,"B-"
"Xavier McIntyre","INDIANA ST",44,22,2,64.18,"B-"
"Jaden Ratliff","WM & MARY",134,44.6666666666667,3,64.1,"B-"
"Martez Cooksey Jr.","CHATTNOOGA",106,53,2,64.02,"B-"
"Damani Maxson","PRVIEW A&M",110,36.6666666666667,3,60.97,"B-"
"Jaquavus Hallman","TEXAS STHN",75,37.5,2,60.97,"B-"
"Marcus Nixon","E WASHGTON",42,21,2,60.47,"B-"
"Bryant Meredith","MONTANA ST",117,39,3,60.44,"B-"
"Brady Sorenson","UTAHTC",72,24,3,60.43,"B-"
"Kaiser Wilhelm","VALPO",44,22,2,60.43,"B-"
"Ta'Ron Haile","AUSTINPEAY",175,58.3333333333333,3,60.39,"B-"
"Shawn Smith","DRAKE",73,36.5,2,60.34,"B-"
"Cam Smith","YNGTOWN ST",98,32.6666666666667,3,60.3,"B-"
"Franky Morales","N COLORADO",119,59.5,2,60.28,"B-"
"Jason Salman","VALPO",101,50.5,2,60.12,"B-"
"Khaled Rawls","IDAHO",90,30,3,60.1,"B-"
"Javon Davis","MCNEESE",87,43.5,2,60.05,"B-"
"Ja'Torian Mack","W CAROLINA",72,24,3,59.96,"C+"
"Eli Campbell","WOFFORD",208,69.3333333333333,3,59.73,"C+"
"Joel Castleberry","TENN MARTN",189,63,3,59.68,"C+"
"Carter Hanberry","SE LA",236,78.6666666666667,3,59.66,"C+"
"David Roulley","WM & MARY",115,38.3333333333333,3,59.52,"C+"
"Deandre Goodson","STHLSK",73,36.5,2,59.52,"C+"
"Brenden Toppin","VILLANOVA",154,51.3333333333333,3,59.48,"C+"
"Marcus Heard Jr.","TXRG",71,35.5,2,59.46,"C+"
"Jamie Tyson","VILLANOVA",167,55.6666666666667,3,59.39,"C+"
"Louis Foster","GRAMBLING",92,46,2,59.34,"C+"
"Quincy Lejay","UTAHTC",92,46,2,59.25,"C+"
"Ryan Moore","SACR HEART",36,18,2,59.1,"C+"
"Kenny Langston","COLGATE",180,60,3,59.08,"C+"
"Eric Jackson","CENT CT ST",101,50.5,2,59.06,"C+"
"Elijah Davis","ROB MORRIS",119,59.5,2,58.97,"C+"
"Titan Saxton","IDAHO ST",96,48,2,58.9,"C+"
"Torrion White","DELWARE ST",37,18.5,2,58.86,"C+"
"Josh Brown","E ILLINOIS",81,40.5,2,58.27,"C+"
"Ryan Palmieri","SACR HEART",105,35,3,58.26,"C+"
"Matthew McClelland","S ILLINOIS",56,28,2,58.15,"C+"
"Navon Mitchell","CENT CT ST",36,18,2,58.08,"C+"
"Marcus Washington","CENT ARK",61,30.5,2,57.89,"C+"
"Tyler Jones","SCAR STATE",55,27.5,2,57.89,"C+"
"Tariq Hollinger","W GEORGIA",113,37.6666666666667,3,57.83,"C+"
"Evan Sierra","ILL STATE",45,22.5,2,57.75,"C+"
"Quincy Hamilton","TENN MARTN",93,46.5,2,57.58,"C+"
"Jake East","CAL POLY",73,36.5,2,57.44,"C+"
"Kyran Moore","STF AUSTIN",80,40,2,57.4,"C+"
"Montel Campbell","ALABAMA ST",71,35.5,2,57.2,"C+"
"Naim Lassiter","BETH COOK",81,40.5,2,57.15,"C+"
"Chance Sautter","STF AUSTIN",78,26,3,57.01,"C+"
"Abdoul Bah","NEWHVN",52,26,2,56.77,"C+"
"Ian Harrison","SAN DIEGO",126,42,3,56.7,"C+"
"Masiah Thorne","HOWARD",46,23,2,56.7,"C+"
"Tremel States-Jones","RHODE ISLD",73,24.3333333333333,3,56.66,"C+"
"Josiah Blake","MORGAN ST",69,34.5,2,56.45,"C+"
"Wyatt Mueller","ILL STATE",72,24,3,56.42,"C+"
"Darius Bean","HOUCHR",79,39.5,2,56.28,"C+"
"Carter Byrd","SE LA",220,73.3333333333333,3,56.23,"C+"
"Kymari Latney","SACR HEART",123,41,3,56.15,"C+"
"Gavin Duplechin","NICHOLLS",123,41,3,56.07,"C+"
"Ruben Lopez","SAN DIEGO",121,40.3333333333333,3,56.06,"C+"
"Charlie Neos","DELWARE ST",134,44.6666666666667,3,56,"C+"
"Luca Moore","IDAHO",138,46,3,55.88,"C+"
"Kael Kolarik","S DAKOTA",201,67,3,55.84,"C+"
"Boogie Owens","FORDHAM",171,57,3,55.67,"C+"
"Saco Alofipo","STF AUSTIN",51,25.5,2,55.62,"C+"
"Gabe White","HOUCHR",70,35,2,55.56,"C+"
"Te'Nerrean Jackson","S ILLINOIS",153,51,3,55.46,"C+"
"La'Shavion Brown","ILL STATE",118,39.3333333333333,3,55.12,"C+"
"Tay Cline","MURRAY ST",121,40.3333333333333,3,55.12,"C+"
"Darien Harden","W GEORGIA",58,29,2,55,"C+"
"Chisom Onwuzurigbo","HOLY CROSS",126,42,3,54.94,"C+"
"Jacobi Hatter","WOFFORD",132,66,2,54.79,"C+"
"Krystian Pothel","FORDHAM",101,50.5,2,54.79,"C+"
"Orion Kupu","TXAMEA",105,35,3,54.77,"C+"
"Brayon Crawford","LNDNWD",79,39.5,2,54.54,"C+"
"Devin Johnson","INDIANA ST",90,45,2,54.3,"C+"
