"Name","Team","SNAPS","Composite_Score","Player_Grade"
"Colby Reph","LEHIGH",70,100,"A"
"Daylon Harris","ARKAPB",42,92.26,"A"
"Layton Vining","IDAHO",59,92.01,"A"
"Daniel Casillas Jr.","MORGAN ST",35,90.8,"A"
"Jason Smith","RICHMOND",69,87.07,"A"
"Ryan Bernard","NICHOLLS",55,86.74,"A"
"Gabe Navarro","ELON",59,86.12,"A"
"Dylan Haines","FORDHAM",48,78.67,"B"
"Maicah Talavou","SAN DIEGO",61,77.55,"B"
"Zaire Collier","UC DAVIS",62,77.42,"B"
"Anthony Massa","NEWHVN",60,76.46,"B"
"Arthur Avila","MCNEESE",39,76.43,"B"
"Brayden Jellison","ILL STATE",71,76.16,"B"
"Eugene Avei","MERCYHURST",57,75.39,"B"
"Joshua Troiano","STHLSK",63,73.65,"B"
"Tre Alexander","RHODE ISLD",62,73.01,"B"
"Rahfeeq Katumbusi","E ILLINOIS",35,72.94,"B"
"Guan Price II","HOWARD",65,72.09,"B"
"Garrett Smith","TENN MARTN",72,71.07,"B"
"James Reddick II","SCAR STATE",64,70.49,"B"
"Lucas Feldkamp","S DAKOTA",58,69.5,"B"
"Brandon Stuckey","LAMAR",62,68.57,"B"
"Tyler Murray","MERCER",32,67.41,"B"
"Kevin Shriner","MONMOUTH",66,67.22,"B"
"Bryce Burnett","VA MILT IN",58,67.14,"B"
"John Golden","STNY BROOK",67,66.75,"B"
"Krush Sowers","SO UTAH",71,66.73,"B"
"Jake Hohenshelt","LAFAYETTE",57,66.07,"B"
"Matthew Keeley","YNGTOWN ST",63,65.73,"B"
"Alexander Vigil","GRAMBLING",47,65.61,"B"
"Scotty Parker","HOUCHR",59,65.44,"B"
"Will French III","N ALABAMA",46,65.33,"B"
"Corey Johnson","N ARIZONA",43,65.25,"B"
"Ryan Karby","IDAHO ST",65,64.96,"B"
"Shane Willenbring","S DAK ST",92,64.91,"B"
"Jackson Pickett","ALCORN ST",60,64.74,"B"
"Jacob Edmonds","WEBER ST",77,64.73,"B"
"Avery Ferris","E KENTUCKY",63,64.68,"B"
"Michael Moore Jr.","ALABAMA ST",53,64.23,"B"
"Andrew Dorsey","NC A&T",54,63.55,"B"
"Timothy Artis Jr.","SOUTHERN U",66,63.16,"B"
"Chris Luna","FURMAN",55,62.97,"B"
"Christian Blackwell","SACR HEART",76,62.59,"B"
"Matthew Perdue","COLGATE",51,62.52,"B"
"Charles Stewart","WM & MARY",55,62.46,"B"
"Quin Whalen","VILLANOVA",53,62.35,"B"
"Cam Nolan","HOLY CROSS",68,61.46,"B"
"Tony Failla","LNDNWD",74,60.95,"B"
"Erik Gray","STF AUSTIN",51,60.81,"B"
"Riley Whitten","SE LA",38,60.4,"B"
"Walker Thompson","MS VLY ST",42,60.39,"B"
"Carter Taylor","MOREHEAD",53,59.84,"C"
"Trevor Winters","WAGNER",77,59.79,"C"
"Jack Boutaugh","MAINE",60,59.68,"C"
"Joden Nelson","TOWSON",39,59.52,"C"
"Stratton Smith","AUSTINPEAY",44,59.37,"C"
"Jayden Colvin","CAMPBELL",83,58.9,"C"
"Trent Savage","TXAMEA",32,58.77,"C"
"Mike Lengi","CITADEL",66,58.25,"C"
"Hayden Jones","CAL POLY",60,58.14,"C"
"Caleb Billiot","NWSTATE",60,57.82,"C"
"Jack D'Ambra","MONTANA",69,57.79,"C"
"Maddox Radcliffe","E TENN ST",38,57.05,"C"
"Zach Watson","W CAROLINA",64,56.97,"C"
"Tyler Leinberger","NORFOLK",61,56.9,"C"
"Mich'le Joseph","TENN TECH",58,56.75,"C"
"Dylan Scott","E WASHGTON",77,56.68,"C"
"Brennan Kurtz","BRYANT",53,56.4,"C"
"Clayton Hixon","WOFFORD",55,56.19,"C"
"Jake Kiernan","BUCKNELL",72,56.03,"C"
"Ryan McCombs","W ILLINOIS",64,55.07,"C"
"Michael Forney","W ILLINOIS",65,54.98,"C"
"Devin Lively","CHATTNOOGA",57,54.85,"C"
"Noah Watts","SAMFORD",37,53.64,"C"
"Justin Joe","CHARLES SO",41,53.44,"C"
"Ethan Goodin","S ILLINOIS",73,52.97,"C"
"Matt Brooks","DUQUESNE",34,52.76,"C"
"Cade Draper","UTAHTC",43,51.32,"C"
"Luke Swaine","NEW HAMP",61,51.1,"C"
"Braxton Goff","TARLETON",60,50.73,"C"
"Logan Wylie","MERRIMACK",59,49.8,"C"
"Aiden Kaplan","MONTANA ST",51,49.36,"C"
"Abram Nicklas","TXRG",71,48.77,"C"
"Zachary Marshall","TEXAS STHN",78,48.12,"C"
"Drew Page","INDIANA ST",50,47.05,"C"
"Caleb Flores","TARLETON",60,46.59,"C"
"Jabari Edwards","GARD-WEBB",85,46.11,"C"
"Colton Patterson","N COLORADO",76,45.79,"C"
"Nik Belski","BUTLER",49,45.5,"C"
"Wil Turner IV","SAMFORD",31,45.1,"C"
"Christian Loving","BETH COOK",62,42.87,"C"
"Colter Lynch","ABILENE CH",63,40.23,"C"
"Mike Brennan","PRESBYTERN",76,37.96,"D"
"Semisi Latu","PORTLAND",84,37.76,"D"
"Blake Rhodes-Brown","DELWARE ST",37,37.46,"D"
"Parker Nichols","DAVIDSON",64,36.15,"D"
"Tyler Barrett","GEORGETOWN",57,34.89,"D"
"Hudson Brewer","SE MO ST",69,30.27,"D"
"Emery D'Urso","HAMPTON",51,26.61,"D"
"Ian Markham-Miller","TOWSON",42,21.68,"D"
"Kennedy Jackson","TENN STATE",60,19.26,"F"
"Jackson Nixon","ALBANY",74,19.21,"F"
"Jonah Bossette","CHISTA",61,15.01,"F"
"Jorge Rodriguez","LIUSHAR",54,0,"F"
