"Name","Team","SNAPS","Composite_Score","Player_Grade","Runblock.Grade","Percentage.of.Positive.Grade","Passblock.Grade","Defeated.Runblock.Percentage","Knockdown.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Hurries.Allowed","Beaten.by.Defender","Hits.Allowed","Sacks.Allowed"
"Miada Jones","DELWARE ST",62,100,"A",73.6,0.097,84.5,0.2,0,0,0,0,0,0,0
"Blake Rhodes-Brown","DELWARE ST",62,95,"A",76.2,0.129,75.5,0.167,0.031,0,0.063,1,0,1,0
"Jack Smoot","NORFOLK",67,87.15,"A",59.8,0.03,87.3,0.172,0,100,0,0,0,0,0
"Zach Watson","W CAROLINA",51,83.21,"A",61.3,0.059,83.5,0.25,0,0,0,0,0,0,0
"Avery Ferris","E KENTUCKY",71,81.22,"A",70.1,0.07,82.9,0.026,0,0,0,0,0,0,0
"Senon Chapple","CENT ARK",57,80.89,"A",67.1,0.07,80.5,0.083,0,0,0,0,0,0,0
"Jason Smith","RICHMOND",50,80.15,"A",63.7,0.04,79,0.118,0,98.5,0.03,1,0,0,0
"Cade Draper","UTAHTC",73,79.37,"B",66.9,0.055,84.1,0.097,0,0,0,0,0,0,0
"Trent Savage","TXAMEA",43,76.76,"B",71.8,0.093,55.8,0.091,0,0,0,0,2,0,0
"Brayden Jellison","ILL STATE",66,76.37,"B",70.1,0.076,74.5,0.088,0.031,0,0.063,1,0,0,1
"Lucas Feldkamp","S DAKOTA",64,74.46,"B",59.4,0.063,82.8,0.111,0,0,0,0,0,0,0
"Ryan Karby","IDAHO ST",51,71.55,"B",65,0.039,83.4,0.05,0,0,0,0,0,0,0
"Shane Willenbring","S DAK ST",49,69.88,"B",66.3,0.041,81.4,0,0,0,0,0,0,0,0
"Joshua Troiano","STHLSK",82,69.45,"B",69,0.037,79.2,0.077,0,0,0.018,1,0,0,0
"Matthew Perdue","COLGATE",64,68.59,"B",62.9,0.047,74.1,0.111,0,0,0,0,1,0,0
"Colby Reph","LEHIGH",57,68.46,"B",55.1,0.053,80.8,0.122,0,0,0,0,0,0,0
"Tyler Leinberger","NORFOLK",58,68.28,"B",59.4,0.017,73.3,0.087,0,98.6,0.029,1,0,0,0
"Parker Thomas","N IOWA",68,67.89,"B",66.4,0.044,68.7,0.053,0.033,0,0.033,0,0,1,0
"Brennan Kurtz","BRYANT",63,67.55,"B",59.9,0.032,82,0.097,0,0,0,0,0,0,0
"James Reddick II","SCAR STATE",63,67.28,"B",63.4,0.032,82.7,0.029,0,0,0,0,0,0,0
"Caleb Billiot","NWSTATE",59,66.99,"B",67.1,0.034,73.9,0.045,0.027,0,0.027,0,0,1,0
"Hudson Brewer","SE MO ST",37,66.53,"B",75.7,0.081,55.9,0,0.037,0,0.074,1,1,1,0
"Jorge Rodriguez","LIUSHAR",62,66.42,"B",59,0.048,50.8,0.176,0.036,0,0.036,0,0,0,1
"Dylan Haines","FORDHAM",54,65.71,"B",61.7,0.074,71.8,0.222,0,0,0.074,2,0,0,0
"Ryan Bernard","NICHOLLS",76,64.94,"B",60.9,0.026,72.1,0.105,0,0,0,0,0,0,0
"Ben Buxa","N DAKOTA",59,64.93,"B",60.2,0.034,72,0.087,0,0,0,0,0,0,0
"Kevin Shriner","MONMOUTH",92,64.4,"B",61.5,0.011,86.2,0.07,0,0,0,0,0,0,0
"Jack D'Ambra","MONTANA",61,63.78,"B",61,0.049,74.8,0.1,0,0,0.024,1,0,0,0
