"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"Zak Bowden","AUSTINPEAY",37,100,"A"
"Leroy Woolridge III","CENT ARK",41,97.51,"A"
"Anthony Johns","E KENTUCKY",68,96.97,"A"
"Ben Wallace","ILL STATE",66,94.28,"A"
"Andrew Monsivais","N IOWA",56,94.09,"A"
"Bo Fowler","RICHMOND",50,89.66,"A"
"George Dragovich","TXAMEA",55,85.65,"A"
"Isaac Perkins","YNGTOWN ST",49,84.04,"A"
"Bobby Galindo","COLGATE",64,83.39,"A"
"Kyler Gibson","AUSTINPEAY",32,81.82,"A"
"Jaheer Foucault","MURRAY ST",26,80.65,"A"
"Chris McCullers","VILLANOVA",58,80.45,"A"
"Kiande Marsh","SCAR STATE",63,80.12,"A"
"Dorian Arguelles","W ILLINOIS",59,78.71,"B"
"Landon Woodard","ILL STATE",66,77.34,"B"
"Rex Lahr","YNGTOWN ST",26,77.11,"B"
"Luke Rogers","NEW HAMP",55,74.75,"B"
"Tre Webster","W ILLINOIS",32,73.5,"B"
"Falesalafai Gatoloai","SAN DIEGO",57,72.52,"B"
"Kelsey Hundley","RICHMOND",39,71.05,"B"
"Endrei Sauls","LAMAR",56,70.89,"B"
"Jadon Blake","BETH COOK",59,70.27,"B"
"Jack Funke","BRYANT",60,69.2,"B"
"Kanyon Ives","STF AUSTIN",66,68.8,"B"
"Keon Daceus","CHISTA",59,68.39,"B"
"Marc Koumoundouros","ROB MORRIS",51,68.13,"B"
"Ty Brown","PRVIEW A&M",40,68.04,"B"
"John Hester","LAMAR",56,67.08,"B"
"Andon Riley","W GEORGIA",31,67.05,"B"
"Eliseo Polanco","NEWHVN",41,66.74,"B"
"Dyllan Drummond","MONTANA",61,66.55,"B"
"Kaikoa Kanakaole","MONTANA",26,66.36,"B"
"Reggie Houston","WOFFORD",57,66.02,"B"
"Jaden Brinkley","WOFFORD",57,66.02,"B"
"Chaylin Peine","CENT ARK",44,65.9,"B"
"Cole Fuller","CAL POLY",25,65.53,"B"
"Tyrone McDuffie III","NWSTATE",59,65.18,"B"
"Tevon Bush","MOREHEAD",34,64.65,"B"
"Jackson Kerstin","S DAK ST",50,64.03,"B"
"Everett Carr","MONTANA ST",39,63.63,"B"
"Joseph Cryer","NWSTATE",59,63.49,"B"
"Burke Mastel","MONTANA ST",68,63.45,"B"
"Jeff Burton","AUSTINPEAY",27,63.27,"B"
"Karl Khuns","CENT CT ST",54,62.74,"B"
"Jason Crowder","STF AUSTIN",66,62.64,"B"
"Dylan Rollins","MONTANA ST",29,62.57,"B"
"Isaac Cariveau","N DAKOTA",59,62.46,"B"
"Benjamin Hicks","AUSTINPEAY",35,62.2,"B"
"Luke Surrett","RICHMOND",50,62.04,"B"
"Jacob Darby","MURRAY ST",67,61.22,"B"
"Terrance Saunders II","TARLETON",73,61.2,"B"
"Nate Compere","LNDNWD",55,60.82,"B"
"Liam Becher","N DAKOTA",59,60.6,"B"
"Daz Galloway","MURRAY ST",52,60.47,"B"
"Collin Goetter","MONMOUTH",63,60.38,"B"
"Sam Liu","MCNEESE",77,60.23,"B"
"Derek Joiner","TARLETON",73,59.96,"C"
"Jaylon Thurman","CHISTA",32,59.62,"C"
"Terry Thomas Jr.","NORFOLK",58,59.34,"C"
"Jacob Messina","LEHIGH",57,59.33,"C"
"Micah Sumpter","E TENN ST",56,59.18,"C"
"Jalen Nettles","SE MO ST",43,59.17,"C"
"Jalen Wiltz","CHISTA",43,58.01,"C"
"Jeron Lewis","SOUTHERN U",36,57.96,"C"
"Tyler James","WAGNER",42,57.87,"C"
"Reed Collins","MONMOUTH",37,57.24,"C"
"Korede Folorunso","TXAMEA",65,57.08,"C"
"Sean Haney","COLGATE",64,56.99,"C"
"Will Tellers","ELON",66,56.83,"C"
"Matt Hagemann","TENN MARTN",44,56.72,"C"
"Pesi Fonua","UTAHTC",73,56.54,"C"
"Dylan Leiggi","W ILLINOIS",37,56.32,"C"
"Caden Ellingson","S DAKOTA",64,56.32,"C"
"Parker Matiyow","DRAKE",46,56.21,"C"
"Kevin Loughlin","RHODE ISLD",47,56.13,"C"
"Tyler Kohler","NEWHVN",56,55.76,"C"
"Omari Allen","HAMPTON",69,55.74,"C"
"Damon McMillian Jr.","RHODE ISLD",25,55.58,"C"
"Alofaletauia Maluia","FURMAN",57,55.3,"C"
"Tommy Broderick","VILLANOVA",58,55.17,"C"
"Collin Wright","N ALABAMA",74,54.55,"C"
"Kevin Garcia","STNY BROOK",68,54.55,"C"
"Verron Clarke","BETH COOK",59,54.53,"C"
"Malachi Godfrey","TEXAS STHN",40,53.94,"C"
"Shamar Crawford","W GEORGIA",43,53.73,"C"
"Damaurius Stewart","HAMPTON",45,53.71,"C"
"Peter Fiumara","STHLSK",82,53.6,"C"
"Eli Freeman","LNDNWD",32,53.53,"C"
"Aden Smith","BRYANT",47,53.36,"C"
"Jamarius Wilson","SCAR STATE",60,53.12,"C"
"Andrias Guillory","N COLORADO",64,52.65,"C"
"Dayen Marouf-Araibi","RHODE ISLD",72,52.19,"C"
"Anthony Crawford","CHISTA",26,51.97,"C"
"Caleb Smith","NICHOLLS",69,51.61,"C"
"Nick Paul","CHATTNOOGA",60,51.58,"C"
"Steven Hamby","W CAROLINA",51,51.18,"C"
"Charles Thorpe III","STETSON",31,50.96,"C"
"Jack Beardall","SO UTAH",53,50.87,"C"
"Lincoln Oltmann","DRAKE",33,50.79,"C"
"Kaden Carr","ABILENE CH",64,50.58,"C"
"Marc O'bannon","ALABAMA ST",27,50.54,"C"
"Noah Stanley","MAINE",65,50.53,"C"
"Levi Johnson","N COLORADO",64,50.14,"C"
"Hunter Gulley","E KENTUCKY",35,49.66,"C"
"Ben Mercado","SACR HEART",54,49.53,"C"
