"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Passblock.Grade","Percentage.of.Positive.Grade","Pass.Block.Efficiency","Knockdown.Percentage","Defeated.Runblock.Percentage","Pressure.allowed.Percentage","Beaten.by.Defender","Hurries.Allowed","Hits.Allowed","Sacks.Allowed"
"Bennett Ringleb","CENT ARK",39,100,"A",84.2,79,0.179,0,0,0.24,0,0,0,0,0
"Joshua Sales Jr.","AUSTINPEAY",27,97.01,"A",91.2,84.3,0.148,0,0,0.091,0,0,0,0,0
"CJ Abell","DELWARE ST",62,88.95,"A",78.8,87.1,0.129,0,0,0.067,0,0,0,0,0
"Sammy Ayache","LEHIGH",57,87.58,"A",79.2,82.4,0.14,0,0,0.024,0,0,0,0,0
"Takai Wallace","DELWARE ST",62,83,"A",78.2,85.8,0.081,0,0,0.067,0,0,0,0,0
"Phillip McLean","ALABAMA ST",29,82.58,"A",69.4,84.2,0.069,0,0,0.25,0,0,0,0,0
"Andrew Smithberger","TENN MARTN",30,80.95,"A",73.1,87.3,0.1,0,0,0,0,0,0,0,0
"Jerry Alcindor","BETH COOK",29,78.14,"B",67.5,82.5,0.069,0,0,0.154,0,0,0,0,0
"Solomon Ortiz","AUSTINPEAY",30,78.11,"B",65.4,81.1,0.1,0,0,0.091,0,0,0,0,0
"Montrey Strickland","N COLORADO",64,75.62,"B",85.3,54.4,0.125,0,0.032,0.152,0.032,4,0,1,0
"Braden Zimmer","MONTANA ST",68,74.5,"B",67.2,82.1,0.059,0,0,0.135,0,1,0,0,0
"Nick Nielsen","YNGTOWN ST",56,73.87,"B",71.8,82.7,0.054,0,0,0,0,0,0,0,0
"Quinten Christensen","S DAK ST",49,73.03,"B",79,56.7,0.122,0,0,0.036,0,3,0,0,0
"Jourden Hale-Frater","CHISTA",37,72.96,"B",68.6,71.5,0.108,0,0,0.191,0.063,0,1,0,0
"Aaron Session","MCNEESE",77,72.83,"B",76.6,75.3,0.078,0,0,0.065,0.022,1,1,0,0
"Ben Kuehnast","N IOWA",68,72.72,"B",65.2,85.1,0.059,0,0,0.026,0,0,0,0,0
"LaJuan Owens","CENT ARK",53,72.19,"B",74.9,65.7,0.113,0,0,0.063,0.048,0,1,0,0
"Kynjrick ""KD"" Boyd","MURRAY ST",39,71.43,"B",68,45.8,0.128,0,0,0.136,0,1,0,0,0
"Maleek McNeil","BETH COOK",46,70.89,"B",58.7,84.7,0.043,0,0,0.13,0,0,0,0,0
"Robby Medici","E KENTUCKY",60,70.21,"B",64.4,87.1,0.033,0,0,0.03,0,0,0,0,0
"Kyle Kelly","N IOWA",68,69.48,"B",61.8,82.6,0.044,0,0,0.053,0,0,0,0,0
"Anthony Patt","CAL POLY",71,69.18,"B",69.1,84.9,0.042,0,0,0.042,0.021,0,1,0,0
"Kyan Rauk","S DAK ST",25,69.04,"B",57.7,81,0.04,0,0,0.133,0,0,0,0,0
"Saidou Ba","AUSTINPEAY",35,68.86,"B",63.6,87.1,0.057,0,0.05,0,0.05,0,0,0,1
"Beau Riley","NEW HAMP",55,68.56,"B",72.5,70.6,0.091,0,0,0.036,0.037,1,1,0,0
"Daniel Olalekan","DELWARE ST",62,67.43,"B",61.7,84.4,0.032,0,0,0.067,0,1,0,0,0
