"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"Bennett Ringleb","CENT ARK",39,100,"A"
"Joshua Sales Jr.","AUSTINPEAY",27,97.01,"A"
"CJ Abell","DELWARE ST",62,88.95,"A"
"Sammy Ayache","LEHIGH",57,87.58,"A"
"Takai Wallace","DELWARE ST",62,83,"A"
"Phillip McLean","ALABAMA ST",29,82.58,"A"
"Andrew Smithberger","TENN MARTN",30,80.95,"A"
"Jerry Alcindor","BETH COOK",29,78.14,"B"
"Solomon Ortiz","AUSTINPEAY",30,78.11,"B"
"Montrey Strickland","N COLORADO",64,75.62,"B"
"Braden Zimmer","MONTANA ST",68,74.5,"B"
"Nick Nielsen","YNGTOWN ST",56,73.87,"B"
"Quinten Christensen","S DAK ST",49,73.03,"B"
"Jourden Hale-Frater","CHISTA",37,72.96,"B"
"Aaron Session","MCNEESE",77,72.83,"B"
"Ben Kuehnast","N IOWA",68,72.72,"B"
"LaJuan Owens","CENT ARK",53,72.19,"B"
"Kynjrick ""KD"" Boyd","MURRAY ST",39,71.43,"B"
"Maleek McNeil","BETH COOK",46,70.89,"B"
"Robby Medici","E KENTUCKY",60,70.21,"B"
"Kyle Kelly","N IOWA",68,69.48,"B"
"Anthony Patt","CAL POLY",71,69.18,"B"
"Kyan Rauk","S DAK ST",25,69.04,"B"
"Saidou Ba","AUSTINPEAY",35,68.86,"B"
"Beau Riley","NEW HAMP",55,68.56,"B"
"Daniel Olalekan","DELWARE ST",62,67.43,"B"
"John Pica","S DAK ST",27,67.08,"B"
"Gavin Bennett","HAMPTON",40,66.75,"B"
"Jaylen Eberhardt","CHISTA",37,66.12,"B"
"Ty Miles","NEW HAMP",55,66.04,"B"
"Isaiah Hayes","SE LA",66,65.94,"B"
"Pule Leatigaga","PORTLAND",72,65.77,"B"
"Blaine Halley","S ILLINOIS",51,65.67,"B"
"Alton Williams","N DAKOTA",59,65.63,"B"
"Sean Broderick","LIUSHAR",62,65.52,"B"
"Austin Buehler","MONTANA",61,65.24,"B"
"Kendal Septs","TXAMEA",69,65.19,"B"
"Daniel Cole","MURRAY ST",56,65.01,"B"
"Jake Waltman","BRYANT",51,64.56,"B"
"Brendon Crispe","S DAKOTA",64,64.26,"B"
"Jayvier Frazier","SCAR STATE",48,64.23,"B"
"Linden Clemmons","WM & MARY",74,63.67,"B"
"Logan Brasfield","ILL STATE",66,63.41,"B"
"Jake Utley","S DAKOTA",64,63.38,"B"
"Spencer McClintock","STHLSK",82,63.33,"B"
"Jacob Ziegler","CHATTNOOGA",29,63.16,"B"
"Ray Marshall","DRAKE",26,63.12,"B"
"Coleon Smith","S ILLINOIS",61,63.07,"B"
"Ryan Cregan","VILLANOVA",58,62.9,"B"
"Watts Alexander","CHATTNOOGA",60,62.75,"B"
"Connor Cook","LNDNWD",51,62.55,"B"
"Kamron Frye","WM & MARY",28,62.47,"B"
"Trace Thaden","N DAKOTA",59,62.05,"B"
"Oswaldo Jimenez","CHISTA",32,61.79,"B"
"Freddie Pelling","W GEORGIA",60,61.78,"B"
"Christian Menard","NWSTATE",41,61.41,"B"
"Matthew Snarr","UTAHTC",73,61.24,"B"
"Xavier Parker","TARLETON",73,61.12,"B"
"Bleek Turner","MONMOUTH",29,61.1,"B"
"Jaydon Harris","DUQUESNE",40,61.01,"B"
"Ra'Qui Martin","MERRIMACK",57,60.8,"B"
"Logan Brady","NWSTATE",59,60.52,"B"
"Ryan Steinbrink","COLGATE",64,60.24,"B"
"Eric Aschenbeck","MCNEESE",77,60.05,"B"
"Lukas Donahue","MERRIMACK",36,60.03,"B"
"Sean Pozniak","NEWHVN",56,60.02,"B"
"Jacorey Wright","MERCER",75,60.02,"B"
"Zion Sauvao","N COLORADO",64,59.91,"C"
"Drew Heiss","DRAKE",75,59.75,"C"
"Travis Gray","TENN MARTN",48,59.72,"C"
"Ryan Murphy","COLGATE",64,59.7,"C"
"Marcus Jean Baptiste","WAGNER",28,59.38,"C"
"James Wright","SOUTHERN U",25,59.27,"C"
"Johnny Holly","STF AUSTIN",66,59.2,"C"
"Unknown LIU 67","LIUSHAR",62,59.03,"C"
"Jacob Hood","NICHOLLS",35,59.01,"C"
"Andrew Swingle","LNDNWD",55,58.95,"C"
"Tyrone Julot","SCAR STATE",25,58.73,"C"
"Esom Nnajiofor","WOFFORD",57,58.68,"C"
"Mason Knoch","VALPO",62,58.59,"C"
"Cameron Vann","ABILENE CH",64,58.56,"C"
"Micah Martin","MURRAY ST",58,58.48,"C"
"Cooper LaFond","FORDHAM",25,58.45,"C"
"Success Chikezie","NEWHVN",44,58.41,"C"
"Andrew Threatt","W CAROLINA",51,58.27,"C"
"Wes Thompson","TXRG",82,58.15,"C"
"Kyle Fay","VILLANOVA",58,58,"C"
"Anfernee Crease","LAMAR",56,57.84,"C"
"Parker Peterson","FURMAN",55,57.24,"C"
"Marvin Lee Jr.","ALABAMA ST",44,57.24,"C"
"Messiah Johnson","IDAHO ST",51,57.14,"C"
"Joshua Schuetzmann","RHODE ISLD",72,56.95,"C"
"Torin Jeske","MONTANA",61,56.61,"C"
"Andrew Kocan","MAINE",65,56.39,"C"
"Luke Roaten","ABILENE CH",64,56.31,"C"
"Bennett Nunnally","HOLY CROSS",45,56.17,"C"
"Ramier Lewis","TEXAS STHN",63,55.96,"C"
"Connor Johnstone","SAN DIEGO",57,55.96,"C"
"Jarvis Williams","ROB MORRIS",51,55.44,"C"
"Bradford Blattner","HOLY CROSS",40,55.12,"C"
"Zane Feltz","SAN DIEGO",57,54.83,"C"
"Devan Taylor","ALBANY",64,54.36,"C"
"Chris Leonardo","MERRIMACK",31,53.9,"C"
"Tim Suk","SACR HEART",49,53.73,"C"
"Kyron Barnes","NICHOLLS",69,53,"C"
"Mason Ludwig","YNGTOWN ST",63,52.74,"C"
"Emmitt Harris","ALBANY",64,52.54,"C"
"Austin Lambert","VALPO",62,52.5,"C"
"Gavin Allen","E WASHGTON",70,52.21,"C"
"Trevanti Davis","STF AUSTIN",66,52,"C"
"Mikale Perry","W GEORGIA",60,51.64,"C"
"Ben Hollowell","BETH COOK",30,51.59,"C"
"Charles Soska","LEHIGH",57,51.52,"C"
"Gabe Snyder","STETSON",48,51.13,"C"
"Justin Kaye","STNY BROOK",68,50.41,"C"
"Gabriel Rzany","E WASHGTON",56,50.37,"C"
"Jackson Reasoner","DRAKE",57,50.21,"C"
"Wyatt Whalen","BRYANT",60,49.98,"C"
"Brody Balliew","MERCER",75,49.85,"C"
"Dontay Bishop","RHODE ISLD",72,49.84,"C"
"Henry Fanua","UC DAVIS",25,49.8,"C"
"Jaden Wedderburn","ILL STATE",66,49.67,"C"
"Eli Brasher","FURMAN",46,49.37,"C"
"Rashad Turner","SE MO ST",79,49.15,"C"
"Michael Muldrow Jr.","ELON",66,48.95,"C"
"Secrea Algie","W CAROLINA",51,48.83,"C"
"Jelani Lomotey","STHLSK",82,48.53,"C"
"Charlie Vliem","IDAHO",80,47.73,"C"
"Samuel Eskridge","E KENTUCKY",53,47.69,"C"
"Ronald Anderson","RICHMOND",36,47.25,"C"
"Justin Frost","IDAHO ST",51,46.66,"C"
"Calvin McMillian","PRVIEW A&M",48,46.59,"C"
"Calvin Balentine","TEXAS STHN",63,46.5,"C"
"Jaidyn Jones","TXAMEA",25,46.43,"C"
"KJ Brooks","TOWSON",50,46.31,"C"
"Matt Fries","MONMOUTH",65,46.16,"C"
"Kiegan Henson","IDAHO",80,45.85,"C"
"Zy'Terrio Lee","CAMPBELL",51,45.69,"C"
"Cameron Pascal","PRVIEW A&M",48,45.67,"C"
"Abdallah Daud","DUQUESNE",43,45.65,"C"
"Grant Murin","ROB MORRIS",51,45.59,"C"
"Sam Young III","HAMPTON",29,45.54,"C"
"Leif Magnuson","CAL POLY",71,45.5,"C"
"Jayden Simmons","N ALABAMA",65,45.43,"C"
"Caleb Smith","FL A&M",32,45.38,"C"
"Zachary Curtis","LAMAR",56,45.37,"C"
"Anthony Iliano","MAINE",65,43.72,"C"
"Josh Duran","MONMOUTH",65,43.71,"C"
"Sean Tanner","ELON",66,43.6,"C"
"AJ Hasson","UC DAVIS",37,43.48,"C"
"Wilbert Phillips","SE MO ST",64,43.44,"C"
"Trevor Newkirk","PORTLAND",72,43.03,"C"
"Elijah Baker","ALABAMA ST",51,42.43,"C"
"Jalen Cole","CHISTA",32,42.21,"C"
"Jacob Katauskas","S ILLINOIS",28,41.78,"C"
"Daniel McClees","CENT CT ST",26,41.28,"C"
"Moses Umoren","SCAR STATE",37,41.12,"C"
"Connor Van Tassell","STNY BROOK",45,40.81,"C"
"Christian Wingfield","FL A&M",41,40.19,"C"
"Titan Fleischmann","MONTANA ST",68,39.03,"D"
"Brenden Jones","TXRG",82,38.16,"D"
"Tyler Sulsberger","W ILLINOIS",62,38.01,"D"
"David Porotesano","UC DAVIS",52,37.56,"D"
"Collen Jackson","HAMPTON",69,37.35,"D"
"Jay Wade","WEBER ST",73,37.23,"D"
"Drew Dickerson","MOREHEAD",26,36.97,"D"
"Nesta Crowell","SO UTAH",54,36.83,"D"
"Sam Browder","E TENN ST",67,36.24,"D"
"Samuel Petros","MERCYHURST",56,34.81,"D"
"Luke Sampson","WEBER ST",73,34.72,"D"
"Will Fitzpatrick","GARD-WEBB",76,34.01,"D"
"Ty Williams","E TENN ST",53,33.43,"D"
"La-Quann Gaddy","CENT CT ST",55,33.09,"D"
"Isaac Rue","N ALABAMA",31,32.88,"D"
"Trinidad Wilson","SOUTHERN U",40,32.1,"D"
"James Durand","W ILLINOIS",64,31.88,"D"
"Daved Richardson","LIUSHAR",62,31.08,"D"
"T'Khi Alexander","TOWSON",49,30.86,"D"
"Leavy Johnson","N ALABAMA",51,30.8,"D"
"Zach Corrigan","SE LA",66,30.46,"D"
"Sirri Kandiyeli","SO UTAH",54,29.12,"D"
