"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"Jack O'Connell","STHLSK",82,100,"A"
"Beau Brungard","YNGTOWN ST",49,92.06,"A"
"Jaxon Dailey","N IOWA",66,89.2,"A"
"DJ Williams","S ILLINOIS",70,88.05,"A"
"Kyle Lowe","SE LA",64,86.11,"A"
"Chase Mason","S DAK ST",49,85.94,"A"
"Destin Wade","N ALABAMA",66,82.23,"A"
"Aidan Jakobsohn","TXRG",36,77.11,"B"
"Jerry Kaminski","N DAKOTA",57,72.82,"B"
"Chris Parson","AUSTINPEAY",27,72.24,"B"
"Jordan Cooke","IDAHO ST",47,70.99,"B"
"Joshua Wood","IDAHO",78,69.56,"B"
"Ashton Pannell","CHISTA",49,69.24,"B"
"Brooks Bentley","NEW HAMP",55,68.93,"B"
"Austyn Modrzewski","S DAKOTA",59,67.24,"B"
"Kenny Lueth","N COLORADO",60,65.83,"B"
"Braylen Ragland","SE MO ST",78,65.46,"B"
"Rowan Keefe","VALPO",62,63.9,"B"
"Pat McQuaide","VILLANOVA",52,63.59,"B"
"Kai Colon","ALBANY",46,63.22,"B"
"Kaden Anderson","TARLETON",73,60.71,"B"
"Gabe Downing","PORTLAND",71,59.29,"C"
"Thomas Von Grote","STETSON",58,58.61,"C"
"Nate Bell","E WASHGTON",70,58.44,"C"
"Nate Dahle","WEBER ST",73,58.38,"C"
"Jacob Tiberi","CHISTA",20,57.63,"C"
"Gavin Rutherford","STF AUSTIN",66,55.29,"C"
"Devin Lippold","MCNEESE",77,54.85,"C"
"Ean Rodrigue","NICHOLLS",76,54.54,"C"
"Cameron Edge","MORGAN ST",NA,53.92,"C"
"Keali'i Ah Yat","MONTANA",61,53.01,"C"
"Donovyn Omolo","CENT ARK",41,52.55,"C"
"Keely Watson","SCAR STATE",46,51.41,"C"
"Cole LaCrue","E ILLINOIS",5,49.61,"C"
"Bronson Barben","UTAHTC",73,47.69,"C"
"Joshua Brown","MS VLY ST",NA,47.43,"C"
"Elijah Owens","INDIANA ST",NA,47.27,"C"
"Cutter Stewart","HOUCHR",NA,47.1,"C"
"Gage Roy","ILL STATE",63,46.45,"C"
"Kennedy McGill","W ILLINOIS",60,45.81,"C"
"Cornelious Brown IV","ALAB A&M",NA,45.8,"C"
"Ui Ale","DELWARE ST",39,44.37,"C"
"Anthony Grigsby Jr.","CAL POLY",71,43.79,"C"
"Kevin White","NC A&T",NA,43.11,"C"
"Tyler Budge","RHODE ISLD",71,43.09,"C"
"Garrison Davis","ARKAPB",NA,42.12,"C"
"Andrew Body","ALABAMA ST",51,41.84,"C"
"Andrew Indorf","TOWSON",50,41.49,"C"
"Nick Peipert","STTHOM",NA,41.15,"C"
"Jax Leatherwood","TENN TECH",NA,39.37,"D"
"Riley Warzynski","DRAKE",66,39.19,"D"
"Aiden McCown","LAMAR",54,39.15,"D"
"David Parsons","MOREHEAD",39,38.67,"D"
"Brennan Myer","BRYANT",63,38.6,"D"
"Carson Haggard","ROB MORRIS",48,38.28,"D"
"Mason Mims","E TENN ST",66,38.18,"D"
"Gabe Passini","BUTLER",NA,37.51,"D"
"Tyler Jefferson","BETH COOK",45,36.98,"D"
"Poochie Snyder","SACR HEART",40,35.24,"D"
"Colton Fitzgerald","W GEORGIA",39,35.12,"D"
"Jaylon Tolbert","ALCORN ST",NA,35.1,"D"
"Collin Shannon","MURRAY ST",46,34.78,"D"
"Luca Stanzani","LIUSHAR",56,34.28,"D"
"Emmett Brown","INCAR WORD",NA,33.95,"D"
"Jaylen King","MERCER",73,33.72,"D"
"Ethan Drumm","WOFFORD",38,33.62,"D"
"Reginald Johnson","GRAMBLING",34,33.57,"D"
"TJ Crews IV","ELON",61,33.08,"D"
"Pops Battle","LNDNWD",55,32.98,"D"
"Jack Jacobs","TXAMEA",65,32.9,"D"
"Jake Garcia","FURMAN",68,32.14,"D"
"Sonny Mannino","MARIST",NA,31.89,"D"
"Jim Ogle","MURRAY ST",26,31.51,"D"
"Will Burns","SO UTAH",54,31.25,"D"
"Lex Thomas","W CAROLINA",51,31.06,"D"
"Winston Watkins","WM & MARY",51,30.86,"D"
"Carson Camp","DUQUESNE",43,30.29,"D"
"Christopher Dietrich","BUCKNELL",NA,30,"D"
"Quentin Hayes","CITADEL",NA,29.63,"D"
"Tre'Von Taylor","HAMPTON",40,28.88,"D"
"Garret Rangel","TXRG",46,28.47,"D"
"David Lynch","HOLY CROSS",41,28.21,"D"
"Casey Bullock","DAVIDSON",NA,28.01,"D"
"Ty Pennington","N ARIZONA",NA,27.23,"D"
"Gunnar Smith","FORDHAM",45,26.46,"D"
"Tyler Travers","E KENTUCKY",71,26.34,"D"
"Cole Pennington","GARD-WEBB",76,25.67,"D"
"Bryce Schondelmyer","DAYTON",NA,25.64,"D"
"Frankie Weaver","MONMOUTH",92,25.54,"D"
"Kamden Sixkiller","CAMPBELL",45,25.02,"D"
"Nelson Layne","NC CENT",NA,24.87,"D"
"AJ Hairston Jr.","MERRIMACK",52,23.81,"D"
"Gabarri Johnson","SAMFORD",NA,22.12,"D"
"Deljay Bailey","NORFOLK",41,21.95,"D"
"Dom Nankil","SAN DIEGO",57,21.79,"D"
"Connor Kenyon","CENT CT ST",27,21.36,"D"
"Justin Lamson","MONTANA ST",68,20.75,"D"
"Zach Wilcke","NWSTATE",41,20.68,"D"
"John David Black","ABILENE CH",64,20.38,"D"
"Daniel Lipovski","LAFAYETTE",NA,20.26,"D"
"Lek Powell","CHARLES SO",NA,19.63,"F"
"Ian Reynolds","VA MILT IN",NA,19.56,"F"
"Daylin Lee","TENN STATE",NA,19.12,"F"
"Jake Stearney","COLGATE",64,18.63,"F"
"Tate Surber","TENN MARTN",55,18.6,"F"
"Benjamin Newman","WAGNER",41,18.36,"F"
"Dustin Fletcher","FL A&M",29,17.11,"F"
"Noah Brannock","DELWARE ST",23,17,"F"
"Battle Alberson","CHATTNOOGA",60,16.2,"F"
"Anthony Wolter","MERCYHURST",44,14.1,"F"
"Tevin Carter","PRVIEW A&M",48,13.99,"F"
"Treynor Cleeland","UC DAVIS",43,13.81,"F"
"Christian Johnson","SOUTHERN U",21,10.92,"F"
"Eddie Buehler","MAINE",62,9.99,"F"
"Carter Carroll","WM & MARY",23,9.31,"F"
"Ashten Snelsire","RICHMOND",31,9.14,"F"
"Ja'Shawn Scroggins","HOWARD",28,7.64,"F"
"AJ Duffy","NEWHVN",44,7.35,"F"
"Brett Griffis","CENT CT ST",31,6.08,"F"
