"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number.x","Position","Season","Conference.x","Rush.Grade","Key.Plays.x","Attempts","Rush.Yards","Yards.per.Attempt","Rush.Touchdowns","First.Down.Runs","Fumbles.x","Fumbles.Lost.x","Missed.Tackles.on.Runs","Yards.before.Contact","Yards.before.Contact.per.Attempt","Yards.after.Contact","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Team.Name","Jersey.Number.y","Conference.y","Receiving.Grade","Key.Plays.y","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles.y","Fumbles.Lost.y","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference","Conference_Level"
"Floyd Chalk","SO UTAH",42,100,"A",3,"HB",2026,"Big Sky",82.5,10,17,144,8.5,2,5,0,0,10,96,5.7,48,2.8,0,0.294,0.59,3,0.176,"SO UTAH",3,"Big Sky",62.9,1,15,1,1,1,8,8,0,1,0,0,0,1,0,0,8,8,6,0,0.53,0,0,3,"100%","0.00%","0.00%",100,0,0.067,0,"100%","Big Sky","FCS"
"Charles Pierre Jr.","S DAKOTA",32,86.44,"A",3,"HB",2026,"Missouri Valley",79.9,9,15,138,9.2,2,5,0,0,12,27,1.8,111,7.4,0,0.333,0.8,4,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Missouri Valley","FCS"
"Luke Yoder","LEHIGH",37,84.64,"A",6,"HB",2026,"Patriot",81.7,16,23,169,7.3,3,9,0,0,3,60,2.6,109,4.7,0,0.391,0.13,5,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Patriot","FCS"
"Eli Gillman","MONTANA",54,83.86,"A",10,"HB",2026,"Big Sky",74,8,17,147,8.7,3,7,0,0,5,94,5.5,53,3.1,0,0.412,0.29,4,0,"MONTANA",10,"Big Sky",39.6,1,28,0,3,1,7,7,0,0,1,0,0,2,0,0,12,12,4,0,0.25,-1.7,0,0,"50.00%","50.00%","0.00%",42.4,0.036,0.107,0,"33.30%","Big Sky","FCS"
"Jalen Washington","CENT ARK",21,82.99,"A",9,"HB",2026,"United Athletic",88.5,4,12,202,16.8,1,5,0,0,3,148,12.3,54,4.5,0,0.417,0.25,3,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"United Athletic","FCS"
"Tylan Hines","TARLETON",68,81.77,"A",1,"HB",2026,"United Athletic",77.4,10,18,142,7.9,2,7,0,0,4,61,3.4,81,4.5,0,0.389,0.22,5,0.056,"TARLETON",1,"United Athletic",46.4,4,23,0,4,2,6,3,0,1,2,0,0,4,0,0,3,1.5,1,0,0.26,1.3,0,0,"50.00%","50.00%","0.00%",56.3,0.13,0.174,0,"50.00%","United Athletic","FCS"
"Plez Lawrence","NC CENT",NA,78.64,"B",8,"HB",2026,"MEAC",0,0,22,210,9.6,3,9,0,0,0,119,5.4,91,4.1,0,0.409,0,6,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"MEAC","FCS"
"Joquez Smith","NEW HAMP",21,78.37,"B",24,"HB",2026,"CAA",80.2,7,13,122,9.4,3,4,0,0,6,29,2.2,93,7.2,0,0.308,0.46,3,0.231,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"CAA","FCS"
"Tyrell Campbell","MURRAY ST",25,70.42,"B",5,"HB",2026,"Missouri Valley",88.4,8,14,117,8.4,0,5,0,0,8,15,1.1,102,7.3,0,0.357,0.57,4,0.143,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,"Missouri Valley","FCS"
"Kevin Lalin","CHATTNOOGA",37,69.42,"B",9,"HB",2026,"Southern",65.8,6,17,98,5.8,1,5,0,0,6,19,1.1,79,4.7,0,0.294,0.35,3,0,"CHATTNOOGA",9,"Southern",65.5,0,17,0,6,4,9,2.3,0,0,0,0,0,4,0,0,8,2,3,0,0.53,-0.2,0,0,"100%","0.00%","0.00%",70.1,0,0.353,0,"66.70%","Southern","FCS"
