"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade"
"Floyd Chalk","SO UTAH",42,100,"A"
"Charles Pierre Jr.","S DAKOTA",32,86.44,"A"
"Luke Yoder","LEHIGH",37,84.64,"A"
"Eli Gillman","MONTANA",54,83.86,"A"
"Jalen Washington","CENT ARK",21,82.99,"A"
"Tylan Hines","TARLETON",68,81.77,"A"
"Plez Lawrence","NC CENT",NA,78.64,"B"
"Joquez Smith","NEW HAMP",21,78.37,"B"
"Tyrell Campbell","MURRAY ST",25,70.42,"B"
"Kevin Lalin","CHATTNOOGA",37,69.42,"B"
"Adam Jones","MONTANA ST",62,65.84,"B"
"Kamerin McDowell-Moore","ELON",40,64.38,"B"
"Rashon Brown","BETH COOK",37,63.67,"B"
"Danny Shaban","COLGATE",60,63.17,"B"
"Brayden Latham","E KENTUCKY",50,60.98,"B"
"James Basinger","S DAK ST",12,60.8,"B"
"Jeremiah Coney","STNY BROOK",33,59.62,"C"
"Omiri Wiggins","MCNEESE",54,59.45,"C"
"Misa Paiau","CAL POLY",29,58.54,"C"
"Brady Hensley","E KENTUCKY",21,58.01,"C"
"Jaylen Jenkins","STF AUSTIN",41,57.47,"C"
"Matt Lawson","N DAKOTA",45,57.37,"C"
"CJ Hester","STNY BROOK",35,57.24,"C"
"Ace Chatman","UTAHTC",49,56.84,"C"
"Jojo Uga","LAMAR",34,56.68,"C"
"Chandler Chapman","S ILLINOIS",48,56.51,"C"
"Deonte Dean","ABILENE CH",44,54.89,"C"
"Chris Franklin","TENN MARTN",35,54.84,"C"
"Jah'Kei Chavis","WM & MARY",20,53.82,"C"
"Shaun Boykins Jr.","DELWARE ST",28,53.47,"C"
"Mason Pickett-Hicks","SCAR STATE",25,52.67,"C"
"Kenny Smith Jr.","MONMOUTH",48,50.25,"C"
"Gerald Modest Jr.","WOFFORD",41,50.09,"C"
"Delon Thompson","PORTLAND",49,49.95,"C"
"Troy Flowers","STETSON",43,49.69,"C"
"Justin Guin","N COLORADO",50,49.49,"C"
"Shane Eason","STHLSK",41,48.96,"C"
"Shane Lee","NICHOLLS",51,48.92,"C"
"Elijah Jennings","MONMOUTH",37,48.67,"C"
"Zay Davis","NWSTATE",31,48.27,"C"
"Jaden Green","CAL POLY",43,48.03,"C"
"Tytan Mason","IDAHO ST",16,47.82,"C"
"Adam Criter","SAN DIEGO",35,47.47,"C"
"Charles Kellom","E ILLINOIS",2,47.05,"C"
"Jamarie Hostzclaw","ALABAMA ST",31,46.87,"C"
"Ben Croasdale","FURMAN",37,44.99,"C"
"EJ Oakmon","TXAMEA",31,44.86,"C"
"Hayden Drinkard","HOUCHR",NA,44.86,"C"
"Charles Langama","N DAKOTA",18,44.65,"C"
"Jordon Hamilton","TXAMEA",12,44.6,"C"
"Ness Davis","DUQUESNE",20,44.48,"C"
"Athean Renfro Jr.","TEXAS STHN",38,44.21,"C"
"BJ Barrow","RHODE ISLD",39,43.96,"C"
"Joey Koch","ALBANY",29,42.79,"C"
"Major McBride","TXAMEA",9,42.43,"C"
"Jayden Jenkins","DELWARE ST",26,42.41,"C"
"Trey Tremba","LEHIGH",12,42.16,"C"
"Warrick Stephenson","RICHMOND",33,40.42,"C"
"Julian Milligan","SCAR STATE",14,39.77,"D"
"Preston Alford","STF AUSTIN",25,39.32,"D"
"Myles Thomason","NEW HAMP",34,39.07,"D"
"Gavin Garcia","CITADEL",NA,38.7,"D"
"Khyair Spain","SE MO ST",30,38.7,"D"
"Zahmari Palode-Gary","MERCER",25,38.47,"D"
"Quran Gossett","N ARIZONA",NA,38.37,"D"
"Ferrari Miller","IDAHO",39,37.5,"D"
