"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level"
"Tanner Beaman","PORTLAND",67,100,"A",10,"TE",2026,"Big Sky",75.8,7,42,1,11,10,61,6.1,1,2,0,0,0,10,2,1,17,1.7,9,"50.00%",1.45,6.7,0,2,"100%","0.00%","18.20%",120.1,"7.10%","26.20%","9.10%","90.90%","FCS"
"Sean Sallis","TXAMEA",62,59.09,"C",83,"TE",2026,"Southland",70.4,7,20,0,9,5,31,6.2,0,2,0,0,0,5,1,0,16,3.2,8,"0.00%",1.55,7.6,1,0,"100%","0.00%","11.10%",62.7,"20.00%","45.00%","11.10%","55.60%","FCS"
"Jake Young","W CAROLINA",36,51.3,"C",87,"TE",2026,"Southern",71,5,25,0,6,5,49,9.8,0,3,0,0,0,5,0,0,20,4,11,"0.00%",1.96,5.2,1,1,"100%","0.00%","0.00%",100.7,"12.00%","24.00%","0.00%","83.30%","FCS"
"Jake Scobey","DRAKE",68,45.92,"C",86,"TE",2026,"Pioneer",40.7,5,43,1,5,5,23,4.6,0,1,0,1,0,5,0,0,11,2.2,5,"0.00%",0.53,2.4,0,2,"100%","0.00%","0.00%",85.8,"2.30%","11.60%","0.00%","100%","FCS"
"Marcus Middleton","MONMOUTH",61,41.56,"C",88,"TE",2026,"CAA",56,3,33,1,5,4,22,5.5,0,1,0,0,0,4,1,0,18,4.5,11,"0.00%",0.67,2.2,0,0,"100%","0.00%","20.00%",85,"0.00%","15.20%","0.00%","80.00%","FCS"
"Garrett Harstad","N COLORADO",33,41.56,"C",47,"TE",2026,"Big Sky",67.2,3,16,0,5,4,38,9.5,0,2,0,0,0,4,0,0,24,6,18,"0.00%",2.38,4.6,1,0,"100%","0.00%","0.00%",98.3,"31.30%","31.30%","0.00%","80.00%","FCS"
"Joseph Moreland","NWSTATE",52,41.56,"C",13,"TE",2026,"Southland",57.1,2,33,0,5,4,24,6,0,0,0,0,0,4,0,0,10,2.5,7,"0.00%",0.73,6.2,0,1,"100%","0.00%","0.00%",47.1,"9.10%","15.20%","0.00%","80.00%","FCS"
"Micah Mackay","VALPO",27,41.56,"C",27,"TE",2026,"Pioneer",77.8,3,20,3,5,4,42,10.5,0,2,0,0,0,4,1,0,20,5,22,"0.00%",2.1,6.2,1,0,"100%","0.00%","20.00%",101.7,"5.00%","25.00%","20.00%","80.00%","FCS"
"Max Ziebarth","ILL STATE",61,38.96,"D",11,"TE",2026,"Missouri Valley",51.3,3,29,0,4,4,3,0.8,0,0,0,0,0,4,0,0,5,1.3,2,"0.00%",0.1,-0.5,0,0,"100%","0.00%","0.00%",79.2,"3.50%","13.80%","0.00%","100%","FCS"
"Rocky Lencioni","MONTANA ST",50,37.01,"D",89,"TE",2026,"Big Sky",77.8,3,19,1,6,3,35,11.7,0,2,0,0,0,4,1,1,25,8.3,18,"100%",1.84,9.8,0,2,"75.00%","0.00%","16.70%",68.1,"5.30%","31.60%","16.70%","50.00%","FCS"
