"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade","Jersey.Number","Position","Season","Conference","Receiving.Grade","Key.Plays","Receiving.Snaps","Snaps.on.Press.Coverage","Targets","Receptions","Receiving.Yards","Yards.per.Reception","Receiving.Touchdowns","Receiving.First.Downs","Dropped.Passes","Fumbles","Fumbles.Lost","Catchable.Targets","Contested.Targets","Contested.Catches","Yards.after.Catch","Yards.After.Catch.per.Reception","Receiving.Yards.after.Contract","Contested.Catches.Percentage","Yards.per.Route.Run","Average.Depth.of.Target","Explosive.Plays","Missed.Tackles.forced.on.Receptions","Percentage.of.Catchable.Passes.Caught","Dropped.Catchable.Passes.Percentage","Contested.Catches.Caught.Percentage","Passer.Rating.when.Targetted","Slot.Target.Percentage","Deep.Target.Percentage","Completion.Percentage.when.Targeted","Percentage.of.Targets.per.Receiving.Snaps","Conference_Level","Catch_Rate","Yards_Per_Tgt","Tgt_Per_Snap"
"Dkhai Joseph","SE LA",42,100,"A",9,"WR",2026,"Southland",81.9,11,25,2,11,7,141,20.1,2,5,1,0,0,8,1,0,113,16.1,68,0,5.64,9.8,2,4,0.875,0.125,"9.10%",146.8,0.44,0.44,0.182,0.636,"FCS",0.636363636363636,12.8181818181818,0.44
"Xavier Johnson","N ALABAMA",50,94.02,"A",0,"WR",2026,"United Athletic",85.9,7,33,7,8,8,175,21.9,1,7,0,0,0,8,2,2,20,2.5,11,1,5.3,19.6,5,1,1,0,"25.00%",158.3,0.03,0.242,0.375,1,"FCS",1,21.875,0.242424242424242
"Kyle Thomas","S ILLINOIS",67,86.82,"A",6,"WR",2026,"Missouri Valley",70.8,4,36,16,8,6,219,36.5,1,5,0,0,0,6,0,0,72,12,5,0,6.08,23.4,4,0,1,0,"0.00%",156.3,0.028,0.222,0.625,0.75,"FCS",0.75,27.375,0.222222222222222
"Brooks Davis","MONTANA",42,84.95,"A",3,"WR",2026,"Big Sky",85.2,11,33,1,14,12,151,12.6,0,5,0,0,0,12,2,2,65,5.4,31,1,4.58,8.8,3,2,1,0,"14.30%",111.6,0,0.424,0.143,0.857,"FCS",0.857142857142857,10.7857142857143,0.424242424242424
"Tennel Bryant","S DAKOTA",26,84.08,"A",9,"WR",2026,"Missouri Valley",86.4,3,16,0,4,3,120,40,2,3,0,0,0,3,0,0,18,6,0,0,7.5,29.3,2,0,1,0,"0.00%",156.3,0.125,0.25,0.5,0.75,"FCS",0.75,30,0.25
"Aaron Enterline","TOWSON",46,77.25,"B",0,"WR",2026,"CAA",87.6,9,34,8,13,10,123,12.3,1,6,0,0,0,10,0,0,43,4.3,17,0,3.62,9.8,4,1,1,0,"0.00%",131.3,0.147,0.382,0.154,0.769,"FCS",0.769230769230769,9.46153846153846,0.382352941176471
"Marquis Willis","TARLETON",65,76.99,"B",7,"WR",2026,"United Athletic",76.8,9,46,5,15,10,166,16.6,0,7,0,0,0,10,2,0,42,4.2,17,0,3.61,11.9,6,2,1,0,"13.30%",103.8,0.022,0.326,0.2,0.667,"FCS",0.666666666666667,11.0666666666667,0.326086956521739
"Lynn Wyche-El","YNGTOWN ST",34,76.2,"B",1,"WR",2026,"Missouri Valley",78.9,4,23,0,6,5,77,15.4,2,4,0,0,0,5,0,0,44,8.8,35,0,3.35,14.2,2,2,1,0,"0.00%",158.3,0.261,0.261,0.167,0.833,"FCS",0.833333333333333,12.8333333333333,0.260869565217391
"Kymari Gray","CHISTA",40,75.73,"B",2,"WR",2026,"IND (FCS)",75.9,5,22,4,7,7,111,15.9,2,5,0,0,0,7,1,1,61,8.7,9,1,5.05,7.1,4,0,1,0,"14.30%",158.3,0.091,0.318,0,1,"FCS",1,15.8571428571429,0.318181818181818
"Korey Tai","N DAKOTA",41,75.53,"B",5,"WR",2026,"Missouri Valley",71.4,4,29,2,6,4,140,35,1,3,0,0,0,4,1,0,87,21.8,15,0,4.83,13.5,3,2,1,0,"16.70%",149.3,0.103,0.207,0.333,0.667,"FCS",0.666666666666667,23.3333333333333,0.206896551724138
"Galen Combs","ROB MORRIS",48,74.58,"B",9,"WR",2026,"Northeast",80.7,7,32,0,12,9,119,13.2,1,5,0,0,0,10,0,0,24,2.7,11,0,3.72,13.8,2,2,0.9,0,"0.00%",133.7,0.125,0.375,0.25,0.75,"FCS",0.75,9.91666666666667,0.375
"Noah Kjar","WEBER ST",73,73.54,"B",8,"WR",2026,"Big Sky",71.8,9,52,9,10,7,121,17.3,2,5,1,0,0,9,2,1,37,5.3,30,0.5,2.33,12.4,1,0,0.778,0.111,"20.00%",150.4,0.192,0.192,0.1,0.7,"FCS",0.7,12.1,0.192307692307692
"Shamar Fowles","BRYANT",44,72.97,"B",6,"WR",2026,"CAA",77.5,5,23,0,6,4,112,28,1,4,1,0,0,5,0,0,93,23.3,25,0,4.87,10.5,4,2,0.8,0.2,"0.00%",149.3,0.261,0.261,0.167,0.667,"FCS",0.666666666666667,18.6666666666667,0.260869565217391
"Micah Simpson","TXAMEA",58,70.9,"B",4,"WR",2026,"Southland",73.6,4,25,0,4,4,88,22,1,2,0,0,0,4,1,1,66,16.5,30,1,3.52,5.5,2,3,1,0,"25.00%",158.3,0.12,0.16,0.25,1,"FCS",1,22,0.16
"Wesley Garrett","E WASHGTON",63,70.71,"B",13,"WR",2026,"Big Sky",76.2,6,40,3,10,7,109,15.6,1,3,0,0,0,7,4,3,10,1.4,4,0.75,2.73,16.4,2,1,1,0,"40.00%",139.2,0.025,0.25,0.3,0.7,"FCS",0.7,10.9,0.25
"Jackson Dufrene","NICHOLLS",51,69.47,"B",13,"WR",2026,"Southland",75.3,6,28,4,8,5,99,19.8,3,5,0,0,0,5,1,0,54,10.8,4,0,3.54,13.1,3,0,1,0,"12.50%",105.7,0.107,0.286,0.375,0.625,"FCS",0.625,12.375,0.285714285714286
"Tra Neal","MONMOUTH",79,68.32,"B",7,"WR",2026,"CAA",68.8,6,45,11,8,7,106,15.1,1,5,0,0,0,7,0,0,62,8.9,47,0,2.36,5.3,2,0,1,0,"0.00%",158.3,0.089,0.178,0,0.875,"FCS",0.875,13.25,0.177777777777778
