"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"Daniel Casillas Jr.","MORGAN ST",35,35,1,100,"A+"
"Daylon Harris","ARKAPB",42,42,1,100,"A+"
"Miada Jones","DELWARE ST",62,62,1,100,"A+"
"Jack Smoot","NORFOLK",67,67,1,98.32,"A+"
"Colby Reph","LEHIGH",127,63.5,2,96,"A+"
"Jason Smith","RICHMOND",119,59.5,2,95.51,"A+"
"Senon Chapple","CENT ARK",57,57,1,93.32,"A"
"Brayden Jellison","ILL STATE",137,68.5,2,89.55,"A"
"Ryan Bernard","NICHOLLS",131,65.5,2,89.2,"A"
"Avery Ferris","E KENTUCKY",134,67,2,86.81,"A"
"Rahfeeq Katumbusi","E ILLINOIS",35,35,1,86.8,"A"
"Dylan Haines","FORDHAM",102,51,2,86.18,"A-"
"Lucas Feldkamp","S DAKOTA",122,61,2,86,"A-"
"Joshua Troiano","STHLSK",145,72.5,2,85.64,"A-"
"Layton Vining","IDAHO",139,69.5,2,84.65,"A-"
"Zach Watson","W CAROLINA",115,57.5,2,84.41,"A-"
"James Reddick II","SCAR STATE",127,63.5,2,83.39,"A-"
"Ryan Karby","IDAHO ST",116,58,2,82.86,"A-"
"Parker Thomas","N IOWA",68,68,1,82.55,"A-"
"Trent Savage","TXAMEA",75,37.5,2,82.44,"A-"
"Shane Willenbring","S DAK ST",141,70.5,2,82.13,"A-"
"Bryce Burnett","VA MILT IN",58,58,1,81.91,"A-"
"Blake Rhodes-Brown","DELWARE ST",99,49.5,2,81.13,"A-"
"Jake Hohenshelt","LAFAYETTE",57,57,1,80.99,"A-"
"Gabe Navarro","ELON",125,62.5,2,80.97,"A-"
"Arthur Avila","MCNEESE",116,58,2,80.94,"A-"
"Kevin Shriner","MONMOUTH",158,79,2,80.77,"A-"
"Matthew Perdue","COLGATE",115,57.5,2,80.55,"A-"
"Scotty Parker","HOUCHR",59,59,1,80.45,"A-"
"Cade Draper","UTAHTC",116,58,2,80.37,"A-"
"Corey Johnson","N ARIZONA",43,43,1,76.74,"B+"
"Ben Buxa","N DAKOTA",59,59,1,76.48,"B+"
"Jackson Pickett","ALCORN ST",60,60,1,76.32,"B+"
"Zaire Collier","UC DAVIS",99,49.5,2,75.74,"B+"
"Brandon Stuckey","LAMAR",118,59,2,75.4,"B+"
"Andrew Dorsey","NC A&T",54,54,1,75.34,"B+"
"Anthony Massa","NEWHVN",116,58,2,74.66,"B+"
"Tyler Leinberger","NORFOLK",119,59.5,2,74.54,"B+"
"Caleb Billiot","NWSTATE",119,59.5,2,74.39,"B+"
"Krush Sowers","SO UTAH",125,62.5,2,74.34,"B+"
"Christian Blackwell","SACR HEART",130,65,2,74.05,"B+"
"Brennan Kurtz","BRYANT",116,58,2,74.03,"B+"
"Tyler Murray","MERCER",107,53.5,2,73.94,"B+"
"John Golden","STNY BROOK",135,67.5,2,73.58,"B+"
"Cam Nolan","HOLY CROSS",113,56.5,2,73.49,"B+"
"Timothy Artis Jr.","SOUTHERN U",106,53,2,73.3,"B"
"Tre Alexander","RHODE ISLD",134,67,2,73.14,"B"
"Jacob Edmonds","WEBER ST",150,75,2,73.08,"B"
"Jack D'Ambra","MONTANA",130,65,2,73.03,"B"
"Malik Ellis","NICHOLLS",35,35,1,72.9,"B"
"Michael Moore Jr.","ALABAMA ST",113,56.5,2,72.76,"B"
"Walker Thompson","MS VLY ST",42,42,1,72.7,"B"
"Quin Whalen","VILLANOVA",111,55.5,2,72.67,"B"
"Thades Crump","CENT CT ST",58,58,1,72.5,"B"
"Carter Taylor","MOREHEAD",53,53,1,72.23,"B"
"Trevor Winters","WAGNER",77,77,1,72.19,"B"
"Joden Nelson","TOWSON",39,39,1,71.96,"B"
"Stratton Smith","AUSTINPEAY",44,44,1,71.83,"B"
