"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"Bennett Ringleb","CENT ARK",39,39,1,100,"A+"
"Jackson Kostmayer","MERCER",30,30,1,100,"A+"
"CJ Abell","DELWARE ST",62,62,1,99.74,"A+"
"Jaylen Robinson","STF AUSTIN",35,35,1,97.36,"A+"
"Jezniah Thurston","UC DAVIS",30,30,1,96.66,"A+"
"Joshua Sales Jr.","AUSTINPEAY",62,31,2,94.85,"A+"
"Phillip McLean","ALABAMA ST",29,29,1,94.68,"A+"
"Aaron Session","MCNEESE",116,58,2,93.43,"A+"
"Matthew Mena","CAL POLY",60,60,1,93.39,"A+"
"Andrew Smithberger","TENN MARTN",30,30,1,93.37,"A+"
"Braden Zimmer","MONTANA ST",117,58.5,2,91.26,"A"
"Jerry Alcindor","BETH COOK",29,29,1,91.09,"A"
"Solomon Ortiz","AUSTINPEAY",30,30,1,91.06,"A"
"Hayes Formby","TENN MARTN",72,72,1,90.98,"A"
"Brandin Carpenter","E ILLINOIS",35,35,1,89.83,"A"
"Nathan Shaw","ARKAPB",32,32,1,88.61,"A"
"Isaiah Hayes","SE LA",104,52,2,86.79,"A"
"Ben Kuehnast","N IOWA",68,68,1,86.62,"A-"
"LaJuan Owens","CENT ARK",53,53,1,86.18,"A-"
"Mikale Perry","W GEORGIA",114,57,2,85.87,"A-"
"Kynjrick ""KD"" Boyd","MURRAY ST",39,39,1,85.54,"A-"
"Andrew Kocan","MAINE",125,62.5,2,84.32,"A-"
"Andrew Nicholson","BUCKNELL",72,72,1,83.92,"A-"
"Kyle Kelly","N IOWA",68,68,1,83.9,"A-"
"Nick Nielsen","YNGTOWN ST",122,61,2,83.66,"A-"
"John Pica","S DAK ST",86,43,2,83.52,"A-"
"Ben Wallace","ILL STATE",71,71,1,83.5,"A-"
"Johnny Holly","STF AUSTIN",132,66,2,83.49,"A-"
"Sawyer Prementine","MERCYHURST",61,61,1,83.4,"A-"
"Andrew Steger","E KENTUCKY",25,25,1,83.2,"A-"
"Justin Frost","IDAHO ST",116,58,2,83.02,"A-"
"Kaleb May","SAMFORD",68,68,1,82.82,"A-"
"Sean Tanner","ELON",125,62.5,2,82.64,"A-"
"Woody Celucien","SCAR STATE",33,33,1,81.88,"A-"
"KT Carter","N ARIZONA",46,46,1,81.81,"A-"
"Anthony Patt","CAL POLY",131,65.5,2,81.76,"A-"
"Dondiago Collins","MS VLY ST",42,42,1,81.69,"A-"
"Justin Kaye","STNY BROOK",135,67.5,2,81.59,"A-"
"Kirk Doskocil","BUTLER",49,49,1,81.52,"A-"
"Christopher Harris","WAGNER",25,25,1,81.47,"A-"
"Quinten Christensen","S DAK ST",141,70.5,2,81.25,"A-"
"Beau Riley","NEW HAMP",116,58,2,81.14,"A-"
"Travis Gray","TENN MARTN",112,56,2,80.92,"A-"
"Daniel Cole","MURRAY ST",108,54,2,80.83,"A-"
"Montrey Strickland","N COLORADO",140,70,2,80.66,"A-"
"Blaine Halley","S ILLINOIS",51,51,1,80.65,"A-"
"Ryan Cregan","VILLANOVA",111,55.5,2,80.65,"A-"
