"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"Floyd Chalk","SO UTAH",91,45.5,2,100,"A+"
"Tylan Hines","TARLETON",125,62.5,2,100,"A+"
"Jalen Washington","CENT ARK",21,21,1,95.01,"A+"
"Luke Yoder","LEHIGH",65,32.5,2,94.14,"A+"
"Matteo Perez","UC DAVIS",29,29,1,94.13,"A+"
"Trey Holly","SOUTHERN U",47,47,1,93.59,"A+"
"Plez Lawrence","NC CENT",0,NA,1,91.5,"A"
"Eli Gillman","MONTANA",103,51.5,2,90.96,"A"
"Isaiah Davis","FURMAN",14,14,1,82.91,"A-"
"Mason Pickett-Hicks","SCAR STATE",51,25.5,2,81.21,"A-"
"Charles Pierre Jr.","S DAKOTA",70,35,2,80.58,"A-"
"Kamerin McDowell-Moore","ELON",72,36,2,80.06,"A-"
"Adam Jones","MONTANA ST",95,47.5,2,79.53,"B+"
"Jamarion Parker","GRAMBLING",10,10,1,79,"B+"
"Aidan Mayfield","LEHIGH",27,27,1,77.92,"B+"
"Gavin Garcia","CITADEL",58,58,2,77.8,"B+"
"Chandler Chapman","S ILLINOIS",96,48,2,77.59,"B+"
"Devon Caldwell","MERCER",15,15,1,77.46,"B+"
"James Basinger","S DAK ST",12,12,1,76.42,"B+"
"Spencer Ferguson","WEBER ST",70,70,1,76.37,"B+"
"Omiri Wiggins","MCNEESE",54,54,1,75.22,"B+"
"Danny Shaban","COLGATE",100,50,2,74.55,"B+"
"Jaylen Jenkins","STF AUSTIN",70,35,2,74.04,"B+"
"Tyrell Campbell","MURRAY ST",46,23,2,72.4,"B"
"CJ Hester","STNY BROOK",83,41.5,2,72.11,"B"
"Deonte Dean","ABILENE CH",44,44,1,71.14,"B"
"Tommy Ansley","TENN MARTN",59,29.5,2,70.65,"B"
"Gerald Modest Jr.","WOFFORD",81,40.5,2,70.64,"B"
"Brady Hensley","E KENTUCKY",34,17,2,70.34,"B"
"Misa Paiau","CAL POLY",60,30,2,70.27,"B"
"Shaun Boykins Jr.","DELWARE ST",28,28,1,69.84,"B"
"Andrew King","WM & MARY",90,45,2,69.33,"B"
"Joquez Smith","NEW HAMP",34,17,2,69.32,"B"
"Chase Bingmon","PRVIEW A&M",47,23.5,2,67.29,"B"
"Kenny Smith Jr.","MONMOUTH",80,40,2,66.46,"B-"
"Kevin Lalin","CHATTNOOGA",69,34.5,2,66.04,"B-"
"Zaon Laney","NEWHVN",70,35,2,65.95,"B-"
"Athean Renfro Jr.","TEXAS STHN",81,40.5,2,65.59,"B-"
"TJ Peyton","E TENN ST",44,22,2,65.34,"B-"
"Jayden Jenkins","DELWARE ST",77,38.5,2,65.25,"B-"
"Jaden Green","CAL POLY",72,36,2,64.61,"B-"
"Tytan Mason","IDAHO ST",16,16,1,64.59,"B-"
"Delon Thompson","PORTLAND",120,60,2,64.57,"B-"
"Shane Eason","STHLSK",70,35,2,64.5,"B-"
"Alex Broome","ABILENE CH",33,33,1,64.37,"B-"
"Chris Franklin","TENN MARTN",68,34,2,64.14,"B-"
"Ace Chatman","UTAHTC",91,45.5,2,64.03,"B-"
"Elijah Jennings","MONMOUTH",70,35,2,63.93,"B-"
"Za'Marion Webber","ARKAPB",10,10,1,63.85,"B-"
"Ben Croasdale","FURMAN",37,37,1,61.89,"B-"
"EJ Oakmon","TXAMEA",31,31,1,61.77,"B-"
"Hayden Drinkard","HOUCHR",0,NA,1,61.77,"B-"
"Champ Dozier","HOUCHR",21,21,1,61.54,"B-"
"Jordon Hamilton","TXAMEA",12,12,1,61.52,"B-"
"Charles Langama","N DAKOTA",18,18,2,61.34,"B-"
"Broderick Taylor","TXRG",10,10,1,61.13,"B-"
"Justin Guin","N COLORADO",82,41,2,60.83,"B-"
"Ri'Jon Hammond","TEXAS STHN",12,12,1,60.15,"B-"
"Preston Alford","STF AUSTIN",37,18.5,2,60.01,"B-"
"Marquez Davis","MCNEESE",15,15,1,59.86,"C+"
"Hutch Swilley","MCNEESE",16,16,1,59.66,"C+"
"Sebastien Boyle","CITADEL",33,33,1,59.62,"C+"
"Major McBride","TXAMEA",9,9,1,59.41,"C+"
"Matt Morad","WAGNER",37,37,1,59.21,"C+"
"Trey Tremba","LEHIGH",12,12,1,59.14,"C+"
"Cortez Stone","E KENTUCKY",21,21,1,59.12,"C+"
"Brayden Latham","E KENTUCKY",68,34,2,58.75,"C+"
"Travis Kerney","HOWARD",33,33,1,58.09,"C+"
"Sekou Kamau","WAGNER",33,33,1,57.81,"C+"
"Jared Rhodes","LNDNWD",71,35.5,2,57.57,"C+"
"Warrick Stephenson","RICHMOND",33,33,1,57.42,"C+"
"Josiah Johnson","S DAK ST",71,35.5,2,57.19,"C+"
"Myles Thomason","NEW HAMP",67,33.5,2,57.09,"C+"
"Julian Milligan","SCAR STATE",14,14,1,54.27,"C+"
"Speedy Jones","STF AUSTIN",23,23,1,54.22,"C+"
"Chuck Webb","SACR HEART",79,39.5,2,54.2,"C+"
"Victor Dawson","ILL STATE",73,36.5,2,54.14,"C+"
"Zahmari Palode-Gary","MERCER",50,25,2,54.1,"C+"
"Jamarie Hostzclaw","ALABAMA ST",49,24.5,2,54.09,"C+"
"Jojo Uga","LAMAR",56,28,2,53.86,"C+"
"Khyair Spain","SE MO ST",72,36,2,53.66,"C+"
"Sage Ingram","NWSTATE",20,20,1,53.49,"C+"
"Jeremiah Coney","STNY BROOK",50,25,2,53.34,"C+"
"Domonique Thomas","SAMFORD",39,39,1,53.1,"C"
"BJ Barrow","RHODE ISLD",73,36.5,2,52.53,"C"
"Ethan Lawrence","CAMPBELL",32,32,1,52.53,"C"
"Isaiah Daniel","BETH COOK",37,18.5,2,52.52,"C"
"Dylan Paine","MONTANA",32,32,1,52.51,"C"
"Ferrari Miller","IDAHO",39,39,1,52.08,"C"
"Quran Gossett","N ARIZONA",45,45,2,51.47,"C"
"Michael Cadden","BUCKNELL",43,43,2,51.05,"C"
"Jordan Fisher","UC DAVIS",54,27,2,51,"C"
"Hayden Kincheloe","IDAHO",13,13,1,50.91,"C"
"Ness Davis","DUQUESNE",41,20.5,2,50.65,"C"
"JJ Cowan","CAMPBELL",50,25,2,50.6,"C"
"Adam Criter","SAN DIEGO",65,32.5,2,50.42,"C"
"Omar Shah","WEBER ST",37,37,1,50.41,"C"
"Nick Laughlin","MAINE",28,28,1,49.72,"C"
"Payton Brown","SE MO ST",50,50,1,49.71,"C"
"James Jointer","CENT ARK",19,19,1,49.54,"C"
"Joey Koch","ALBANY",48,24,2,49.43,"C"
"Zamar Reese","SAN DIEGO",12,12,1,49.19,"C"
"Rahshan La Mons","ALBANY",84,42,2,49.13,"C"
"Rashon Brown","BETH COOK",54,27,2,49.12,"C"
"Matt Lawson","N DAKOTA",45,45,2,48.95,"C"
"Brennan Carroll","TXRG",31,31,1,48.8,"C"
