"Name","Team.Name","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"Dkhai Joseph","SE LA",42,42,1,100,"A+"
"Sam Milligan","BUCKNELL",66,66,1,100,"A+"
"Noah Kjar","WEBER ST",147,73.5,2,90.84,"A"
"Galen Combs","ROB MORRIS",86,43,2,89.6,"A"
"Korey Tai","N DAKOTA",41,41,1,88.95,"A"
"Lynn Wyche-El","YNGTOWN ST",78,39,2,87.74,"A"
"Dean Hangey","SACR HEART",60,60,1,86.45,"A-"
"Aaron Enterline","TOWSON",83,41.5,2,85.1,"A-"
"Xavier Johnson","N ALABAMA",91,45.5,2,84.38,"A-"
"Brooks Davis","MONTANA",91,45.5,2,84.32,"A-"
"Samuel Gbatu Jr.","UC DAVIS",90,45,2,83.9,"A-"
"Jackson Dufrene","NICHOLLS",51,51,1,83.89,"A-"
"Marquis Willis","TARLETON",124,62,2,81.74,"A-"
"Mark Bails","SO UTAH",44,44,1,81.28,"A-"
"Bryce Parker","TARLETON",33,33,1,80.72,"A-"
"Travion Solomon","MERCER",62,62,1,79.95,"B+"
"Matt Fogler","COLGATE",115,57.5,2,79.72,"B+"
"Kymari Gray","CHISTA",92,46,2,79.25,"B+"
"Brice Johnson","PRESBYTERN",38,38,1,79.23,"B+"
"Landon Farco","STETSON",62,62,1,79.11,"B+"
"David Spjut","SO UTAH",29,29,1,78.46,"B+"
"Khylil Johnson","WM & MARY",23,23,1,77.94,"B+"
"Elisha Edwards","MCNEESE",98,49,2,76.63,"B+"
"Grahm Goering","S DAK ST",81,81,1,76.52,"B+"
"Ray Hall","CAL POLY",82,41,2,75.96,"B+"
"Seth Sweitzer","STNY BROOK",113,56.5,2,75.88,"B+"
"Jayden Reed","INDIANA ST",38,38,1,75.77,"B+"
"Anthony Ice","MOREHEAD",67,33.5,2,74.96,"B+"
"Ty Durham","CENT ARK",55,55,1,74.73,"B+"
"Cayden Aukerman","SAMFORD",60,60,1,74.07,"B+"
"Riley Purcell","MOREHEAD",33,33,1,73.94,"B+"
"T.J. Lockley","W GEORGIA",27,27,1,73.61,"B+"
"Curtis Deville","MCNEESE",102,51,2,72.96,"B"
"Marquis Buchanan","RHODE ISLD",123,61.5,2,72.53,"B"
"Micah Simpson","TXAMEA",93,46.5,2,71.82,"B"
"Tennel Bryant","S DAKOTA",50,25,2,71.67,"B"
"Bugs Mortimer","STF AUSTIN",40,40,1,71.53,"B"
"Chris Gundy","VALPO",43,43,1,71.42,"B"
"Taco Dowler","MONTANA ST",79,39.5,2,71.36,"B"
"Sean Wilson Jr.","BRYANT",46,46,1,71.06,"B"
"Tyrell Pollard","CENT ARK",56,56,1,70.17,"B"
"Mitchell January","DRAKE",42,42,1,70.04,"B"
"Ismael Zamor","CITADEL",49,49,1,69.72,"B"
"Terence Loville","PORTLAND",132,66,2,69.48,"B"
"Wesley Garrett","E WASHGTON",127,63.5,2,69.41,"B"
"Darius Bailey","PORTLAND",29,29,1,69.27,"B"
"Tra Neal","MONMOUTH",141,70.5,2,68.66,"B"
"SirCharles Gordon","HOLY CROSS",24,24,1,68.31,"B"
"Cristian Driver","ABILENE CH",97,48.5,2,68.23,"B"
"Jaydon Smith","TXRG",90,45,2,67.9,"B"
"Gavin Nelson","MONMOUTH",149,74.5,2,67.19,"B"
"Jai Boyd","W CAROLINA",80,40,2,66.59,"B-"
"Kyle Thomas","S ILLINOIS",131,65.5,2,66.46,"B-"
"TJ Cadden","BUCKNELL",55,55,1,66.16,"B-"
"Dylan Lord","ILL STATE",120,60,2,65.9,"B-"
"Spencer Jones","CAMPBELL",105,52.5,2,65.88,"B-"
"Kory Jones","GARD-WEBB",161,80.5,2,64.89,"B-"
"Fidel Pitts","CAL POLY",125,62.5,2,64.83,"B-"
"Chedon James","IDAHO ST",95,47.5,2,64.75,"B-"
"Maury Sullivan","TENN TECH",43,43,1,64.61,"B-"
"Jaylin Baker","STHLSK",109,54.5,2,64.24,"B-"
"Christian Anaya","W ILLINOIS",36,36,1,64.13,"B-"
"Robert Young","WEBER ST",103,51.5,2,64.09,"B-"
"Trey Olsen","N COLORADO",112,56,2,63.96,"B-"
"Winston Moore","COLGATE",115,57.5,2,63.65,"B-"
"Chet Yardley","BUTLER",45,45,1,63.41,"B-"
"Braden Reed","VILLANOVA",93,46.5,2,63.17,"B-"
"Jordan Bride","GRAMBLING",63,31.5,2,62.91,"B-"
"John Anthony Jr.","SE MO ST",107,53.5,2,62.72,"B-"
"Dane Steel","MONTANA ST",81,40.5,2,62.58,"B-"
"Develle Barksdale","CHISTA",99,49.5,2,62.55,"B-"
"Shamar Fowles","BRYANT",77,38.5,2,62.2,"B-"
"Eric Rasheed","MERCER",67,67,1,62,"B-"
"Raydrian Baltrip","ABILENE CH",37,37,1,61.94,"B-"
"Makhia Sherrard","TENN MARTN",105,52.5,2,61.7,"B-"
"Luke Vanantwerp","WM & MARY",27,27,1,61.6,"B-"
"Brayden White","S DAKOTA",90,45,2,61.58,"B-"
"Matthew Keener","W CAROLINA",21,21,1,61.41,"B-"
"Cameron Weir","N DAKOTA",20,20,1,61.38,"B-"
"Tanner Schmidt","TARLETON",52,52,1,60.58,"B-"
"Ty Curran","HOLY CROSS",99,49.5,2,60.03,"B-"
"Drew Krobath","LNDNWD",128,64,2,59.99,"C+"
"Jeremiah Sanders","YNGTOWN ST",63,31.5,2,59.78,"C+"
"Jaiden Ellis-Lahey","N IOWA",37,37,1,59.63,"C+"
"Jacob Kania","W ILLINOIS",65,32.5,2,59.25,"C+"
"Kyran Lee","TXRG",124,62,2,59.2,"C+"
