"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Runblock.Grade","Percentage.of.Positive.Grade","Passblock.Grade","Defeated.Runblock.Percentage","Knockdown.Percentage","Pass.Block.Efficiency","Pressure.allowed.Percentage","Hurries.Allowed","Beaten.by.Defender","Hits.Allowed","Sacks.Allowed"
"Falesalafai Gatoloai","SAN DIEGO",78,100,"A",89.4,0.179,85,0.047,0,0,0,0,0,0,0
"Bobby Galindo","COLGATE",78,84.67,"A",75.1,0.115,85,0.125,0,0,0,0,0,0,0
"Justin Selbert","PRINCETON",54,82.64,"A",70.8,0.111,84.8,0.154,0,0,0,0,0,0,0
"Burke Mastel","MONTANA ST",62,79.89,"B",70.3,0.097,87.1,0.133,0,0,0,0,0,0,0
"Landon Woodard","ILL STATE",64,79.05,"B",68.7,0.094,85.7,0.156,0,0,0,0,0,0,0
"Barrett Eddlemon","PRINCETON",57,77.64,"B",70.8,0.123,68.4,0.207,0,0,0,0,1,0,0
"Thomas O'Brien","HARVARD",63,76.74,"B",73.4,0.127,72.7,0.108,0.077,0,0.077,0,0,1,1
"Jack Funke","BRYANT",63,75.4,"B",89.7,0.206,42.8,0.158,0,0,0.08,2,0,0,0
"Aaron McIver","W CAROLINA",75,74.76,"B",72.7,0.093,86.5,0.027,0,0,0,0,0,0,0
"Jacob Messina","LEHIGH",62,73.8,"B",72.5,0.113,80.5,0,0,0,0,0,0,0,0
"Charles Mackley","BUTLER",64,72.1,"B",73.1,0.078,85.1,0.026,0,0,0,0,0,0,0
"Nick Paul","CHATTNOOGA",58,68.98,"B",62.8,0.069,82.5,0.14,0,0,0,0,0,0,0
"Zac Wurm","INDIANA ST",69,68.94,"B",57.5,0.058,86.4,0.207,0,0,0,0,0,0,0
"David Trujillo","E ILLINOIS",40,68.6,"B",58.7,0.05,86,0.211,0,0,0,0,0,0,0
"Andres Barraza","INCAR WORD",81,67.05,"B",63.6,0.049,87.1,0.118,0,0,0,0,0,0,0
"Sean Haney","COLGATE",78,66.89,"B",67.4,0.064,85,0.042,0,0,0,0,0,0,0
"Collin Goetter","MONMOUTH",53,65.63,"B",63.9,0.075,82.1,0.053,0,0,0,0,0,0,0
"Eli Long","N ALABAMA",39,64.58,"B",67,0.051,84.8,0.043,0,0,0,0,0,0,0
"Abiathar Curry","MERCER",64,63.82,"B",55.6,0.063,82.6,0.152,0,0,0,0,0,0,0
"Daz Galloway","MURRAY ST",25,63.69,"B",60.2,0.04,84.5,0.143,0,0,0,0,0,0,0
"Kaden Haeckel","IDAHO",71,63.13,"B",58.1,0.028,87.3,0.172,0,0,0,0,0,0,0
"Damon McMillian Jr.","RHODE ISLD",45,63.03,"B",60.8,0.044,85.6,0.105,0,0,0,0,0,0,0
"Everett Carr","MONTANA ST",57,62.86,"B",61,0.053,86.4,0.069,0,0,0,0,0,0,0
"Demoni Taylor","SE MO ST",66,62.23,"B",52.8,0.045,86.2,0.182,0,0,0,0,0,0,0
"Landon Roaten","ABILENE CH",65,61.09,"B",55.1,0.031,84.5,0.184,0,0,0,0,0,0,0
"Jalen Morris","NC CENT",25,61.02,"B",46.9,0.04,82.5,0.273,0,0,0,0,0,0,0
"Tristan Fui","CAL POLY",52,60.68,"B",62.7,0.058,69,0.154,0.039,0,0.039,0,0,1,0
"Aidan Palmer","LEHIGH",62,60.67,"B",60.9,0.048,80.5,0.087,0,0,0,0,0,0,0
"Bryson Wilson","MERCER",27,60.29,"B",56.3,0.037,80.5,0.167,0,0,0,0,0,0,0
"Korede Folorunso","TXAMEA",59,60.2,"B",64.4,0.034,85,0.042,0,0,0,0,0,0,0
"Kaleb Ferschke","PRESBYTERN",51,60.17,"B",65.4,0.078,68,0.182,0,0,0.035,1,0,0,0
"Marco DeCroce","FORDHAM",69,59.78,"C",59,0.029,84.8,0.116,0,0,0,0,0,0,0
"Karl Khuns","CENT CT ST",67,59.75,"C",71.2,0.075,60.7,0.036,0.026,0,0.026,0,0,0,1
"Steven Hamby","W CAROLINA",75,59.18,"C",75.1,0.08,68.5,0,0,0,0,0,2,0,0
"Kanyon Ives","STF AUSTIN",47,59.16,"C",64.1,0.043,80.5,0.05,0.037,0,0.037,0,0,0,1
"Eric Lane","TENN MARTN",58,58.95,"C",64,0.052,79.3,0.074,0,0,0,0,1,0,0
"Hayden Raley","WM & MARY",66,58.78,"C",69.6,0.061,82.5,0.033,0,0,0.028,1,0,0,0
"Panayiotis Mihalopoulos","E ILLINOIS",50,58.38,"C",41.6,0.04,85,0.273,0,0,0,0,0,0,0
"Dyllan Drummond","MONTANA",67,58.23,"C",65.6,0.045,75.5,0.077,0.024,0,0.024,0,0,1,0
"William Paepke","S DAK ST",69,58.1,"C",67.7,0.058,69,0.049,0.036,0,0.036,0,0,1,0
"Mason LaFond","FORDHAM",69,57.88,"C",70.1,0.087,61.2,0.116,0,0,0.039,1,0,0,0
"Jacob Johnson","NICHOLLS",33,57.83,"C",72.5,0.121,45.6,0,0,0,0,0,1,0,0
"Reed Collins","MONMOUTH",26,57.68,"C",57.3,0.039,79.3,0.111,0,0,0,0,0,0,0
"Carter Wilson","MERCYHURST",26,57.32,"C",57.8,0.039,82.3,0.077,0,0,0,0,0,0,0
"Jefferson Giles","N ARIZONA",64,57.08,"C",51.8,0.016,86.2,0.182,0,0,0,0,0,0,0
"Michael McLaughlin","BUTLER",29,56.86,"C",56.8,0.035,80.5,0.105,0,0,0,0,0,0,0
"Luke Sacchetti","PENN",81,56.44,"C",58.2,0.025,85.8,0.07,0,0,0,0,0,0,0
"Ben Wallace","ILL STATE",64,56.02,"C",61.3,0.047,71.4,0.125,0,0,0,0,1,0,0
"Andy Hertlein","INDIANA ST",69,55.23,"C",64.2,0.043,74.2,0.138,0,0,0.025,1,0,0,0
"Jason Crowder","STF AUSTIN",52,54.81,"C",70.3,0.077,72,0,0,0,0.035,1,0,0,0
"Carter Lavrusky","N ARIZONA",64,54.78,"C",58.3,0.016,86.2,0.061,0,0,0,0,0,0,0
"Carson Wheeler","N ALABAMA",46,54.74,"C",51.3,0.043,67.9,0.261,0,0,0,0,1,0,0
"Jack Mitchell","BUTLER",39,54.67,"C",65.1,0.026,78.9,0,0,0,0,0,0,0,0
"Tristan Lewis","PORTLAND",39,54.25,"C",49,0,45.7,0.2,0.042,95.8,0.042,0,0,0,1
"Mason Merriwether","CAMPBELL",64,54.14,"C",57.7,0.016,84.8,0.067,0,0,0,0,0,0,0
"Joden Nelson","TOWSON",25,53.84,"C",63.2,0.04,64.9,0.125,0.059,0,0.059,0,1,0,1
"Nick Chomko","CENT CT ST",67,53.66,"C",62.5,0.045,82.1,0.071,0,0,0.026,1,0,0,0
"Jackson Kerstin","S DAK ST",69,53.51,"C",60.8,0.058,69,0.073,0,0,0,0,1,0,0
"Michael Wells","BUTLER",41,53.49,"C",58.2,0.024,83,0.04,0,0,0,0,0,0,0
"Aden Smith","BRYANT",63,53.32,"C",66.8,0.063,62.8,0.132,0,0,0.04,1,0,0,0
"Jayden Montanez","UC DAVIS",55,52.84,"C",58,0.018,74.1,0.111,0,0,0,0,0,0,0
"Collin Wright","N ALABAMA",61,52.83,"C",57.8,0.033,70.5,0.156,0,0,0,0,1,0,0
"Michael Gradle","E WASHGTON",75,52.72,"C",55.7,0.04,73.6,0.219,0,0,0.029,1,0,0,0
"Justin Sokol","SACR HEART",64,52.64,"C",60.6,0.047,80.8,0.08,0,0,0.026,1,0,0,0
"Dolapo Egunjobi","TENN MARTN",58,52.4,"C",54.9,0.017,79.2,0.148,0.032,0,0.032,0,0,1,0
"Leroy Woolridge III","CENT ARK",66,51.82,"C",63.3,0.03,70.7,0.061,0.03,0,0.03,0,0,1,0
"Kamron Barnes","NICHOLLS",39,51.59,"C",51.1,0,83.2,0.158,0,0,0,0,0,0,0
"Keon Daceus","CHISTA",60,51.07,"C",53.3,0,87.5,0.091,0,0,0,0,0,0,0
"Tyler Blevins","PENN",31,51.02,"C",51.9,0,80.4,0.158,0,0,0,0,0,0,0
"Brandon Sullivan","HARVARD",63,50.98,"C",73.2,0.095,37.9,0.054,0,0,0,0,2,0,0
"Jaden Brinkley","WOFFORD",56,50.71,"C",69.7,0.089,57,0.154,0,0,0.067,2,0,0,0
"Lucas Freitas","MONTANA",34,50.65,"C",62.2,0.029,76.4,0,0.048,0,0.048,0,0,1,0
"Alec Washington","MORGAN ST",49,50.53,"C",56.2,0,88,0.042,0,0,0,0,0,0,0
"Mattis Karrasch","N ARIZONA",64,48.98,"C",63.3,0.031,77.7,0.061,0,0,0.032,1,0,0,0
"Tommy Broderick","VILLANOVA",60,48.97,"C",53.4,0,85.7,0.065,0,0,0,0,0,0,0
"Will Tellers","ELON",68,48.91,"C",62.1,0.029,72.6,0.029,0,0,0,0,1,0,0
"Cole Canty","DUQUESNE",30,48.66,"C",53.2,0.033,54.8,0.25,0,0,0,0,1,0,0
"Jon Faletra","STETSON",66,48.65,"C",53.6,0,75.1,0.191,0,0,0,0,1,0,0
"James Spainhour","WM & MARY",66,48.11,"C",50.1,0.015,76,0.2,0.028,0,0.028,0,1,0,1
"Luke Surrett","RICHMOND",79,47.8,"C",51.4,0,78,0.182,0,0,0,0,1,0,0
"Dru McClough","PRESBYTERN",60,46.58,"C",55.8,0.017,70.5,0.077,0.029,0,0.029,0,0,0,1
"Navi Arretche","MERCYHURST",29,46.58,"C",57.3,0,82.1,0,0,0,0,0,0,0,0
"Corin Boudreaux","SE LA",55,46.54,"C",54.6,0.036,66.4,0.207,0,0,0.039,1,0,0,0
"Zak Bowden","AUSTINPEAY",40,46.26,"C",56.5,0.025,66.5,0.105,0,0,0,0,1,0,0
"Anton Kravchuk","MAINE",69,46.2,"C",59,0.015,76,0.033,0,0,0,0,1,0,0
"Howard Stedford","IDAHO",71,46.14,"C",54,0.014,75.1,0.172,0,0,0.024,1,0,0,0
"Chase Burns","INCAR WORD",97,46.13,"C",55.2,0.031,77.9,0.191,0,0,0.036,2,0,0,0
"JC Campos","STNY BROOK",40,45.27,"C",50.4,0,84.4,0.045,0,0,0,0,0,0,0
"Kevin Garcia","STNY BROOK",80,45.04,"C",61.7,0.038,78,0,0,0,0.037,1,0,0,0
"Liam Becher","N DAKOTA",52,44.88,"C",59.7,0.019,81.3,0.083,0.036,0,0.071,1,0,1,0
"Kam Newhouse","INCAR WORD",75,44.65,"C",59,0.04,56.6,0.167,0.051,0,0.051,0,1,2,0
"Kyle Lenhart","CORNELL",55,44.54,"C",52.8,0,75.4,0.125,0,0,0,0,1,0,0
"Qae'Shon Sapp","NC A&T",41,44.43,"C",50.5,0,75.8,0.111,0.031,0,0.031,0,0,0,1
"Danny Thompson","BROWN",59,44.34,"C",59,0.017,69.3,0.042,0,0,0,0,1,0,0
"Tracy Jackson","CHATTNOOGA",58,44.32,"C",49.5,0.035,55.3,0.14,0.067,0,0.067,0,0,0,1
"Micah Sumpter","E TENN ST",27,44.27,"C",56.5,0,77.7,0,0,0,0,0,0,0,0
"Dayen Marouf-Araibi","RHODE ISLD",54,44.19,"C",51.4,0,76,0.095,0.03,0,0.03,0,0,0,1
"Terrance Saunders II","TARLETON",59,44,"C",46.4,0,78.2,0.174,0,0,0,0,1,0,0
"Danny Aselton","BUCKNELL",52,43.94,"C",56.2,0,73,0.053,0.03,0,0.03,0,0,0,1
"Wade Victor","LIUSHAR",69,43.85,"C",58.1,0.029,71.4,0.095,0,0,0.037,1,0,0,0
"Taki Dadiotis","SAN DIEGO",78,43.78,"C",67.3,0.064,59.2,0.07,0,0,0.029,1,2,0,0
"Tommy Dickinson","MERRIMACK",70,43.72,"C",53.3,0,73,0.063,0,0,0,0,0,0,0
"Caden Bowers","PRVIEW A&M",65,43.68,"C",59.7,0.015,73.1,0,0,0,0,0,1,0,0
"Damion Clark","LIUSHAR",69,43.61,"C",55.1,0.029,68.7,0.048,0,0,0,0,1,0,0
"Kelan Washington","MERCER",64,43.46,"C",54,0.016,66.7,0.109,0,0,0,0,1,0,0
"Evan Safreed","ELON",68,43.04,"C",57.3,0.015,67.1,0.086,0.061,0,0.061,0,0,2,0
"Levi Gould","Argonauts",65,42.41,"C",51.9,0.015,72.1,0.161,0,0,0.029,1,0,0,0
"Kahini Austin","DUQUESNE",48,41.92,"C",52,0.021,65.9,0.208,0,0,0.042,1,0,0,0
"Brock Woolf","S DAKOTA",37,41.65,"C",64.4,0.027,56.7,0.167,0.04,0,0.08,1,1,0,1
"Austin Lambert","VALPO",46,41.65,"C",59.5,0.022,53.1,0.231,0,0,0.03,1,1,0,0
"Shane Keenan","YNGTOWN ST",45,41.58,"C",56.1,0,71,0.063,0,0,0,0,1,0,0
"Eliseo Polanco","NEWHVN",75,41.14,"C",55.4,0,74.8,0.095,0,0,0,0,2,0,0
"Kellen Francis","S ILLINOIS",62,40.72,"C",51.6,0,79.6,0.167,0,0,0.023,1,1,0,0
"Jezniah Thurston","UC DAVIS",61,40.69,"C",61.3,0.016,71.4,0.053,0.024,0,0.048,1,0,1,0
"Devan Taylor","ALBANY",69,40.35,"C",51.7,0.015,53.9,0.158,0.032,0,0.032,0,0,1,0
"DeQuan Freeland","PORTLAND",35,40.33,"C",38.6,0,38.3,0.455,0,95.8,0.083,2,0,0,0
"Pesi Fonua","UTAHTC",65,40.08,"C",65.9,0.046,66.7,0.035,0,0,0.056,2,0,0,0
"Arvid Sillberg","NEW HAMP",77,40.08,"C",53.4,0,83.7,0.039,0,0,0.02,1,0,0,0
"Sam Fallon","ALBANY",69,39.62,"D",54.6,0.015,76,0.079,0.032,0,0.065,1,0,0,1
"Kaden Carr","ABILENE CH",60,38.97,"D",72.5,0.1,37.3,0.056,0,0,0.083,2,0,0,0
"Nick Herzog","S DAKOTA",31,38.81,"D",58.9,0.032,67.2,0.077,0.056,0,0.111,1,0,1,0
"Derek Joiner","TARLETON",59,36.69,"D",52.8,0,78.2,0.043,0,0,0.028,1,0,0,0
"Will Evans","GEORGETOWN",47,36.13,"D",55.9,0,75.9,0.043,0,0,0.042,1,0,0,0
"Caleb Smith","NICHOLLS",36,35.77,"D",49.3,0,57,0.3,0,0,0.063,1,0,0,0
"Jacob Darby","MURRAY ST",39,35.62,"D",58.7,0.026,39.8,0.188,0,0,0.043,1,0,0,0
"Caden Ellingson","S DAKOTA",53,35.01,"D",58.8,0.019,69.1,0.1,0,0,0.061,2,0,0,0
"Noah Okoye","NC A&T",50,34.97,"D",53.4,0,63.5,0,0.024,0,0.024,0,0,0,1
"Isaac Cariveau","N DAKOTA",52,34.68,"D",51.4,0,74.5,0.083,0.036,0,0.071,1,0,0,1
"Ben Mercado","SACR HEART",35,34.37,"D",57.1,0,76.4,0,0,0,0.045,1,0,0,0
"Ty Brown","PRVIEW A&M",78,33.92,"D",59.9,0.039,44.3,0.189,0.024,0,0.073,2,0,0,1
"Reggie Houston","WOFFORD",56,33.86,"D",58.9,0.018,68.9,0.115,0.033,0,0.1,2,0,0,1
"Jose Gonzalez","GARD-WEBB",79,33.13,"D",58.7,0.025,64,0.056,0,0,0.047,2,0,0,0
"Aidan Johnson","TOWSON",82,32.79,"D",52.5,0.012,73.9,0.174,0,0,0.051,3,0,0,0
"Tyler Kohler","NEWHVN",77,32.73,"D",59.9,0.013,63.9,0.136,0.018,0,0.036,1,3,0,1
"Cole McGovern","E WASHGTON",41,32.11,"D",57.5,0.049,35.3,0.167,0,0,0.043,1,1,0,0
"Kameron Durant","CAMPBELL",58,31.68,"D",45.2,0,69.6,0.115,0,0,0.031,1,0,0,0
"Kelsey Hundley","RICHMOND",80,31.64,"D",53.1,0,75.4,0,0.017,0,0.035,1,0,1,0
"Peter Fiumara","STHLSK",47,30.92,"D",72.7,0.106,19.8,0.095,0.039,0,0.115,2,1,1,0
"Evan Cooke","MORGAN ST",55,30.39,"D",56.6,0.018,40.6,0.154,0.035,0,0.069,1,0,1,0
"Chris McCullers","VILLANOVA",60,30.25,"D",53.2,0.033,55.4,0.161,0,0,0.069,2,0,0,0
"Chaylin Peine","CENT ARK",66,30.23,"D",61.7,0.045,62,0.121,0.03,0,0.121,3,0,0,1
"Mosiah Talanoa","GEORGETOWN",56,30.22,"D",50.6,0,64.4,0.071,0,0,0.036,1,0,0,0
"Kuba Tyszka","HOLY CROSS",72,30.03,"D",55.6,0,63.2,0.035,0,0,0,0,3,0,0
"Alejandro Arellano","E ILLINOIS",25,28.83,"D",53.6,0,30.4,0.111,0.063,0,0.063,0,0,1,0
"Lakeem Steele","MERRIMACK",70,28.03,"D",55.1,0.014,46.1,0.094,0.026,0,0.053,1,0,1,0
"George Dragovich","TXAMEA",72,27.6,"D",55.1,0,47.4,0.107,0.023,0,0.045,1,0,1,0
"Labron Baldwin","Argonauts",65,27.42,"D",51.2,0.015,38.9,0.129,0.118,0,0.118,0,0,2,2
"Dylan Garrity","YALE",73,26.45,"D",55.4,0,63.4,0.16,0,0,0.063,3,0,0,0
"Kaikoa Kanakaole","MONTANA",40,25.98,"D",59.8,0.05,27.5,0.143,0.039,0,0.077,1,2,0,1
"Trey Price","UTAHTC",65,25.91,"D",57.1,0.031,38.8,0.172,0.028,0,0.083,2,0,1,0
"Blake Hoegler","MERCYHURST",55,25.8,"D",55.2,0,51.7,0.039,0.035,0,0.069,1,0,0,1
"Kolbe Breland","NC A&T",64,25.73,"D",51.5,0,67.4,0.182,0.019,0,0.075,3,0,0,1
"Mark Johnson","E WASHGTON",40,25.69,"D",53.5,0,54.9,0.083,0,0,0.063,1,0,0,0
"Caleb Yates","BROWN",33,25.51,"D",54.6,0,65.1,0,0,0,0.04,1,1,0,0
"Luke Rogers","NEW HAMP",77,24.48,"D",58.6,0.013,50.8,0.039,0.078,0,0.098,1,0,1,3
"Jeff Burton","AUSTINPEAY",65,23.82,"D",51,0,50.5,0.105,0.074,0,0.111,1,0,1,1
"Chizara Alegbe","HOUCHR",77,23.78,"D",50,0.013,48.5,0.2,0,0,0.048,2,1,0,0
"Noah Stanley","MAINE",61,23.76,"D",51.7,0.016,51.5,0.192,0.029,0,0.086,2,1,0,1
"Josiah Ware","STNY BROOK",43,23.15,"D",60,0.023,44.6,0.031,0,0,0.091,1,0,0,0
"Bo Fowler","RICHMOND",80,22.44,"D",52.5,0,66.4,0.136,0,0,0.052,3,1,0,0
"Isaac Perkins","YNGTOWN ST",62,21.64,"D",54.1,0,55.1,0.1,0,0,0.048,2,1,0,0
"Andrew Monsivais","N IOWA",51,21.28,"D",50.1,0,40.4,0.235,0.029,0,0.059,1,2,1,0
"Lucas Catoggio","HOLY CROSS",72,20.71,"D",62.4,0.028,58.7,0.069,0,0,0.093,4,0,0,0
"Michael Petito","MONMOUTH",27,20.45,"D",64.7,0.074,30.8,0,0,0,0.143,1,0,0,0
"Ryan Long","WAGNER",46,20.39,"D",48.4,0,59.7,0.143,0.063,0,0.094,1,2,2,0
"Logan Potter","SE LA",55,18.58,"F",55.1,0.018,31.6,0.069,0.039,0,0.077,1,1,0,1
"Jack Hearne","N IOWA",61,18.04,"F",58.5,0.016,52.5,0.087,0.026,0,0.105,3,0,1,0
