"Name","Team","Season","Position","Conference","Conference_Level","Offensive.Snaps","Pass.Grade","Dropbacks","Attempts","Completion","Completion.Percentage","Adjusted.Completion.Percentage","Passing.Yards","Yards.per.Attempt.Pass","Yards.After.Catch.per.Completion.Percentage","Passing.Touchdowns","Interceptions","Sacks","Average.Time.to.Throw","Batted.Passes","Pass.Break.Up","Turnover.Worthy.Plays","Turnover.Worthy.Plays.Percentage","Big.Time.Throws","Big.Time.Throw.Percentage","Dropped.Passes","NFL.Passer.Rating","Average.Depth.of.Targets","Short.of.Sticks.Percentage","Percentage.of.Pass.Attempts.passed.First.Down.Markers","Air.Yards.Percentage","First.Downs","Play.Action.Percentage","Accuracy.Attempts","Accurate.Plus.Percentage","Catchable.Innacurate.Percentage","Uncatchable.Innacurage.Percentage","Other.Percentage","Accurate.Throw.Percentage","Rush.Grade","Rush.Yards","Yards.per.Attempt.Rush","Rush.Touchdowns","First.Down.Runs","Fumbles","Fumbles.Lost","Missed.Tackles.on.Runs","Yards.before.Contact.per.Attempt","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Composite_Score","Player_Grade"
"Dante Reno","YALE",2026,"QB","Ivy","FCS",73,92.5,48,43,30,"69.80%","78.00%",454,10.6,"36.30%",5,0,2,2.23,1,2,0,"0.00%",8,"18.60%",2,143,10.6,"46.50%","48.80%","65.20%",17,"27.10%",0,"0","0","0","0","0",50.4,9,2.3,0,0,0,0,0,-0.3,2.5,3,"0.00%",0,0,"0.00%",100,"A"
"Kaden Anderson","TARLETON",2026,"QB","United Athletic","FCS",58,92.9,34,31,23,"74.20%","82.80%",441,14.2,"54.90%",3,0,1,2.86,0,2,0,"0.00%",3,"9.70%",1,148.3,9.7,"54.80%","38.70%","45.10%",16,"64.70%",0,"0","0","0","0","0",73.8,33,8.3,0,0,0,0,0,1.8,0,2,"0.00%",0,2,"0.00%",79.09,"B"
"Destin Wade","N ALABAMA",2026,"QB","United Athletic","FCS",69,87.9,36,31,15,"48.40%","56.70%",296,9.6,"64.20%",3,0,1,2.64,1,0,0,"0.00%",4,"12.90%",2,114.4,10.6,"45.20%","51.60%","35.80%",17,"44.40%",0,"0","0","0","0","0",65.8,35,3.2,1,2,0,0,4,0.7,1.3,4,"18.20%",0.36,1,"0.00%",72.79,"B"
"Kamden Sixkiller","CAMPBELL",2026,"QB","CAA","FCS",64,89.1,35,31,26,"83.90%","86.70%",387,12.5,"45.50%",4,2,2,2.53,0,0,1,"2.90%",2,"6.50%",0,131.4,8.4,"51.60%","45.20%","55.80%",19,"22.90%",0,"0","0","0","0","0",55.1,15,2.5,0,1,1,0,0,-0.3,1.3,2,"16.70%",0,0,"0.00%",68.4,"B"
"Joshua Wood","IDAHO",2026,"QB","Big Sky","FCS",68,85.9,40,36,23,"63.90%","75.00%",328,9.1,"37.20%",1,0,2,2.82,1,3,1,"2.50%",3,"8.30%",1,102.5,11.1,"44.40%","44.40%","62.80%",18,"27.50%",0,"0","0","0","0","0",75.7,63,5.3,4,8,0,0,0,1.3,2.9,2,"66.70%",0,2,"0.00%",63.16,"B"
"Brett Griffis","CENT CT ST",2026,"QB","Northeast","FCS",67,82.7,39,32,18,"56.30%","66.70%",228,7.1,"38.60%",2,1,4,2.75,1,3,1,"2.60%",4,"12.50%",2,86.5,10.5,"40.60%","53.10%","62.70%",14,"41.00%",0,"0","0","0","0","0",70.8,59,4.9,1,4,0,0,1,1.3,3.7,3,"33.30%",0.08,1,"0.00%",61.28,"B"
"Cole Pennington","GARD-WEBB",2026,"QB","Big South - OVC Football Association","FCS",79,86.1,43,41,24,"58.50%","68.40%",309,7.5,"35.30%",2,0,2,2.35,0,3,0,"0.00%",4,"9.80%",2,98.5,9,"51.20%","41.50%","66.70%",15,"34.90%",0,"0","0","0","0","0",59.1,-3,-3,0,0,0,0,0,-3,0,0,"0.00%",0,0,"0.00%",59.93,"C"
"Poochie Snyder","SACR HEART",2026,"QB","CAA","FCS",64,82.1,39,30,22,"73.30%","88.50%",208,6.9,"38.00%",3,0,3,2.71,2,1,0,"0.00%",2,"6.70%",1,125.4,7.1,"60.00%","26.70%","62.00%",12,"10.30%",0,"0","0","0","0","0",67.7,58,5.8,0,4,0,0,2,1.9,3.1,6,"40.00%",0.2,2,"0.00%",59.63,"C"
"Gage Roy","ILL STATE",2026,"QB","Missouri Valley","FCS",43,89.7,22,20,13,"65.00%","77.80%",172,8.6,"29.10%",2,0,2,2.64,0,0,0,"0.00%",2,"10.00%",1,125.4,11.6,"40.00%","50.00%","80.80%",12,"22.70%",0,"0","0","0","0","0",68.3,40,20,0,1,0,0,0,16.5,3.5,0,"50.00%",0,1,"0.00%",58.88,"C"
"Andrew Indorf","TOWSON",2026,"QB","CAA","FCS",81,73.1,58,48,34,"70.80%","81.40%",391,8.2,"51.90%",3,1,5,3.17,0,1,1,"1.70%",1,"2.10%",1,107.2,7.8,"56.30%","33.30%","51.10%",20,"27.60%",0,"0","0","0","0","0",71.2,32,4.6,0,1,0,0,4,1.7,2.9,4,"14.30%",0.57,0,"0.00%",58.78,"C"
"Ui Ale","DELWARE ST",2026,"QB","MEAC","FCS",40,76.4,26,22,16,"72.70%","77.30%",249,11.3,"63.90%",2,0,1,2.52,0,2,1,"3.90%",1,"4.50%",1,140.2,5.4,"72.70%","27.30%","36.10%",11,"26.90%",0,"0","0","0","0","0",73.9,60,20,0,1,0,0,0,16,4,2,"33.30%",0,1,"0.00%",54.34,"C"
"Dom Nankil","SAN DIEGO",2026,"QB","Pioneer","FCS",78,79.2,35,32,25,"78.10%","86.20%",236,7.4,"37.30%",2,0,0,2.27,0,0,0,"0.00%",1,"3.10%",0,118.2,6.6,"56.30%","34.40%","64.40%",17,"34.30%",0,"0","0","0","0","0",77,39,7.8,1,2,0,0,1,2.8,0.2,3,"40.00%",0.2,2,"0.00%",54.1,"C"
"Justin Lamson","MONTANA ST",2026,"QB","Big Sky","FCS",61,79.4,31,28,23,"82.10%","85.70%",239,8.5,"59.40%",2,1,1,2.68,0,2,0,"0.00%",2,"7.10%",1,111.2,5.4,"75.00%","25.00%","40.60%",11,"22.60%",0,"0","0","0","0","0",70.7,40,5,0,2,0,0,0,0.5,4.5,2,"25.00%",0,1,"0.00%",53.98,"C"
"Treynor Cleeland","UC DAVIS",2026,"QB","Big Sky","FCS",61,63.4,42,37,26,"70.30%","72.20%",332,9,"42.80%",2,0,3,2.95,0,4,2,"4.80%",2,"5.40%",0,116,9.9,"56.80%","40.50%","58.70%",13,"38.10%",0,"0","0","0","0","0",60.9,15,5,0,0,0,0,2,-1.3,1.7,2,"0.00%",0.67,1,"0.00%",53.28,"C"
"Anthony Grigsby Jr.","CAL POLY",2026,"QB","Big Sky","FCS",52,70.7,26,24,15,"62.50%","65.20%",215,9,"40.00%",3,0,1,2.62,0,3,1,"3.90%",2,"8.30%",0,131.1,11.9,"41.70%","54.20%","63.70%",12,"26.90%",0,"0","0","0","0","0",42.8,7,1.4,0,1,1,1,0,0.4,1,1,"20.00%",0,1,"0.00%",52.54,"C"
"Ty Pennington","N ARIZONA",2026,"QB","Big Sky","FCS",64,68.7,31,30,20,"66.70%","77.80%",317,10.6,"44.50%",2,1,0,2.68,1,1,2,"6.50%",2,"6.70%",1,110,9.9,"46.70%","43.30%","57.70%",10,"32.30%",0,"0","0","0","0","0",72.2,23,3.3,1,3,0,0,1,2,1,1,"42.90%",0.14,1,"0.00%",51.58,"C"
"Tucker Parks","ABILENE CH",2026,"QB","United Athletic","FCS",65,73.7,27,21,14,"66.70%","73.70%",148,7,"71.00%",2,0,1,2.81,1,0,0,"0.00%",2,"9.50%",0,118.8,7.3,"52.40%","38.10%","30.40%",9,"22.20%",0,"0","0","0","0","0",66.5,80,6.7,1,4,1,0,2,2.2,4.5,5,"33.30%",0.17,3,"0.00%",50.91,"C"
"Austyn Modrzewski","S DAKOTA",2026,"QB","Missouri Valley","FCS",51,64.1,32,29,12,"41.40%","53.60%",243,8.4,"30.00%",3,2,3,2.99,0,5,2,"6.30%",2,"6.90%",3,77.2,17.9,"34.50%","62.10%","71.60%",9,"46.90%",0,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.72,"C"
"Miles Teodecki","PENN",2026,"QB","Ivy","FCS",81,66,40,35,19,"54.30%","58.80%",208,5.9,"44.20%",2,1,0,2.75,0,2,1,"2.50%",2,"5.70%",1,79.2,8.1,"48.60%","48.60%","58.20%",9,"30.00%",0,"0","0","0","0","0",65.9,83,5.5,1,6,1,0,4,0.6,3.9,5,"40.00%",0.27,2,"0.00%",50,"C"
"Winston Watkins","WM & MARY",2026,"QB","Patriot","FCS",66,77.9,36,27,20,"74.10%","84.60%",280,10.4,"37.50%",2,0,6,2.75,0,0,0,"0.00%",2,"7.40%",2,131.7,9.7,"48.10%","48.10%","65.70%",16,"22.20%",0,"0","0","0","0","0",53.7,25,3.6,0,0,0,0,2,-3,6.6,3,"0.00%",0.29,0,"0.00%",49.96,"C"
"Lex Thomas","W CAROLINA",2026,"QB","Southern","FCS",75,83.9,37,35,25,"71.40%","84.90%",285,8.1,"44.20%",1,0,1,3.11,0,1,1,"2.70%",3,"8.60%",3,105.1,9.2,"54.30%","40.00%","57.50%",14,"27.00%",0,"0","0","0","0","0",54.8,40,5.7,0,2,0,0,0,2.9,2.9,1,"28.60%",0,1,"0.00%",49.72,"C"
"AJ Hairston Jr.","MERRIMACK",2026,"QB","IND (FCS)","FCS",66,76.8,36,34,18,"52.90%","61.30%",219,6.4,"34.70%",3,1,1,2.3,0,1,1,"2.80%",2,"5.90%",1,90.2,12,"41.20%","50.00%","69.40%",14,"25.00%",0,"0","0","0","0","0",34.7,31,4.4,0,3,2,2,1,1.1,3.6,1,"42.90%",0.14,2,"0.00%",49.41,"C"
"Beau Brungard","YNGTOWN ST",2026,"QB","Missouri Valley","FCS",62,79.6,42,39,27,"69.20%","78.40%",292,7.5,"39.70%",2,1,2,2.8,0,1,0,"0.00%",1,"2.60%",2,97.4,10.6,"46.20%","48.70%","63.00%",16,"16.70%",0,"0","0","0","0","0",64.9,39,3.3,0,3,0,0,1,0.8,2.4,1,"25.00%",0.08,1,"0.00%",49.21,"C"
"Chris Parson","AUSTINPEAY",2026,"QB","United Athletic","FCS",65,70.7,27,18,8,"44.40%","66.70%",198,11,"59.10%",1,0,2,3.41,2,0,0,"0.00%",2,"11.10%",2,103.5,14.2,"22.20%","61.10%","40.90%",8,"25.90%",0,"0","0","0","0","0",69.2,90,6,1,6,0,0,7,1.3,4.7,7,"40.00%",0.47,2,"0.00%",49.13,"C"
"Jack Johnson","GEORGETOWN",2026,"QB","Patriot","FCS",56,60.7,28,24,13,"54.20%","56.50%",191,8,"51.30%",3,0,3,2.39,0,3,1,"3.60%",2,"8.30%",0,120,12.7,"45.80%","50.00%","52.90%",10,"39.30%",0,"0","0","0","0","0",60,-1,-1,0,0,0,0,0,-1,0,0,"0.00%",0,0,"0.00%",48.43,"C"
"Gunnar Smith","FORDHAM",2026,"QB","Patriot","FCS",69,69.9,26,21,12,"57.10%","61.90%",141,6.7,"44.70%",3,0,3,2.74,0,2,0,"0.00%",0,"0.00%",1,117.3,10.3,"47.60%","52.40%","58.90%",9,"26.90%",0,"0","0","0","0","0",63,71,8.9,0,1,0,0,1,4.6,4.3,2,"12.50%",0.13,3,"0.00%",48.06,"C"
