"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade"
"Noah West-Baranco","IDAHO",60,100,"A"
"Ryder Kurtz","CORNELL",49,92.74,"A"
"Anthony Benzija","STETSON",57,89.46,"A"
"Sean Clarke","RICHMOND",43,58.55,"C"
"Jeter Purdy","N ARIZONA",51,58.55,"C"
"Danny Joiner","TARLETON",50,55.27,"C"
"Lonnie Shinn","SE LA",44,55.27,"C"
"Noah Canty","DUQUESNE",46,51.29,"C"
"Miles Marshall","S ILLINOIS",51,48.01,"C"
"Ethan Medley","PRESBYTERN",22,48.01,"C"
"Gunner Chenier","STETSON",28,44.73,"C"
"Sebastian Ramery","MAINE",29,44.73,"C"
"Edward Khutsishvili","UC DAVIS",32,44.73,"C"
"Travis Plugge","SAN DIEGO",33,41.45,"C"
"CJ Schaeffer","TOWSON",62,41.45,"C"
"Derek Varley","STHLSK",23,41.45,"C"
"Isaiah Grimes","GEORGETOWN",35,41.45,"C"
"Larry Benton III","ABILENE CH",35,41.45,"C"
"Mason McSweeney","HOLY CROSS",49,41.45,"C"
"Tom Arth","BUCKNELL",22,41.45,"C"
"Tanner Beaman","PORTLAND",39,30.91,"D"
"Levi Linowes","BROWN",57,30.91,"D"
"Micah Mackay","VALPO",30,30.91,"D"
"Avery Giddens","Argonauts",37,30.91,"D"
"Jake Robinette","Argonauts",44,30.91,"D"
"Alex Herrera","ILL STATE",28,30.91,"D"
"Jack Donnelly","PENN",24,30.91,"D"
"Colin Hayes","VALPO",28,30.91,"D"
"Kayden Stuit","E WASHGTON",38,30.91,"D"
"Jadon Garza-Pender","BROWN",46,30.91,"D"
"Braylon Finney","PRVIEW A&M",14,30.91,"D"
"Jaylan Johnson","INDIANA ST",33,30.91,"D"
"Camden Lewis","MERCYHURST",51,30.91,"D"
"Drew Sullivan","BUTLER",27,30.91,"D"
"Andrew Korkosz","MERRIMACK",65,30.91,"D"
"Sean Sallis","TXAMEA",49,30.21,"D"
"Jimmy Casey","SACR HEART",39,27.63,"D"
"Titus Rohrer","MONTANA",33,27.63,"D"
"Winston Williams","UC DAVIS",28,27.63,"D"
"Jake Young","W CAROLINA",52,27.63,"D"
"Alex McDonald","YNGTOWN ST",33,27.63,"D"
"Landon Hochstein","BUTLER",22,27.63,"D"
"Will Dixon","RHODE ISLD",19,27.63,"D"
"Gerard Edimo","STF AUSTIN",15,27.63,"D"
"Logan Reaska","HARVARD",42,27.63,"D"
"Nick Petrillo","ALBANY",38,27.63,"D"
"Karsen Konkel","S ILLINOIS",33,27.63,"D"
"Rocky Lencioni","MONTANA ST",44,27.63,"D"
"Mariano Birdno","MONTANA",37,27.63,"D"
"Kyle Meier","DARTMOUTH",25,27.63,"D"
"Reese Brooks","MONTANA",22,27.63,"D"
"John Morris","FORDHAM",66,27.63,"D"
"Malachi Bryant","MORGAN ST",20,27.63,"D"
"Dante Barone","PENN",72,23.65,"D"
"Austin Bray","YNGTOWN ST",36,20.37,"D"
"Rayden Aphayvong","STNY BROOK",71,20.37,"D"
"Gianni Marino","LIUSHAR",43,20.37,"D"
"Sean McElwain","WM & MARY",38,17.1,"F"
"Alex Ginnever","E ILLINOIS",39,17.1,"F"
"Travon Jones","PRVIEW A&M",44,17.1,"F"
"Anthony Rucker","NC A&T",14,17.1,"F"
"Itty Henry","ABILENE CH",49,17.1,"F"
"Zach Mehmert","N IOWA",24,17.1,"F"
"Joseph Marranca","LEHIGH",59,17.1,"F"
"Jett Runion","HOUCHR",74,17.1,"F"
"Dylan Magazu","ELON",29,17.1,"F"
"Seamus Gilmartin","HARVARD",30,17.1,"F"
"Brady Wagner","YALE",30,17.1,"F"
"Jaden Fowler","WOFFORD",36,17.1,"F"
"Cedric Lott Jr.","INCAR WORD",19,17.1,"F"
"Briggs Hughston","N IOWA",11,17.1,"F"
"Cameron Kelley","STF AUSTIN",31,17.1,"F"
"Maximus Nosler","BRYANT",22,17.1,"F"
"Jackson Crawford","VALPO",11,17.1,"F"
"Jaron Kelley","DELWARE ST",34,17.1,"F"
"Tristin McFarland","LIUSHAR",38,17.1,"F"
"Jack Roland","CHISTA",19,17.1,"F"
"Charlie Browder","E TENN ST",27,13.82,"F"
"Brady McCullough","N IOWA",21,13.82,"F"
"Kyle Thompson","TARLETON",30,13.82,"F"
"Tyler Wilms","ALBANY",26,13.82,"F"
"Shane Garrett","MONMOUTH",30,13.82,"F"
"Marcus Middleton","MONMOUTH",40,13.82,"F"
"Drew Danson","NEW HAMP",27,13.82,"F"
"Nolan Clayton","VILLANOVA",42,13.82,"F"
"Burke Carroll","GEORGETOWN",30,13.82,"F"
"Collin Carroll","GARD-WEBB",35,13.82,"F"
"Ryan Turley","CENT CT ST",29,13.82,"F"
"Dawson Adams-Grenier","TENN MARTN",15,13.82,"F"
"Nick True","ILL STATE",25,13.82,"F"
"Luke Leighton","CAL POLY",37,13.82,"F"
"Brady Probst","ILL STATE",19,13.82,"F"
"Jesse Miller","S DAKOTA",44,13.82,"F"
"Graham Smith","YALE",52,13.82,"F"
"Connie Hewitt II","TENN MARTN",16,13.82,"F"
"Haven Mullins","WM & MARY",12,13.82,"F"
"Kealen Juniel","CENT ARK",46,13.82,"F"
"Jackson Kostmayer","MERCER",34,13.82,"F"
"Sanders Daniell","HARVARD",25,13.82,"F"
"Vashawn Nalls","E TENN ST",11,13.82,"F"
"Jack Bohm-Squicciarini","BUCKNELL",45,13.82,"F"
"Adyn Wilkinson","SE LA",16,13.82,"F"
"Brady Ambrose","CAMPBELL",39,13.82,"F"
"Michael Stevenson","COLGATE",38,13.82,"F"
"Ryan Johnson","E WASHGTON",20,13.82,"F"
"Carson Derey","RICHMOND",45,13.82,"F"
"Alex Simmons","MORGAN ST",28,13.82,"F"
"Will McKissick","E WASHGTON",32,13.82,"F"
"Whitten Weems","E ILLINOIS",20,13.82,"F"
"Nick Williams","MORGAN ST",21,13.82,"F"
"Chad Martin","BUCKNELL",26,13.82,"F"
"Cole Clarke","STHLSK",27,6.56,"F"
"Jackson Blee","WM & MARY",36,6.56,"F"
"Mitchell Viviano","ALBANY",39,6.56,"F"
"Drae Tyme","HOLY CROSS",13,6.56,"F"
"Hayden Daugherty","N ARIZONA",51,6.56,"F"
"Tyson Hunt","PORTLAND",11,6.56,"F"
"Eli Mahan","MAINE",42,3.28,"F"
"Beau Blankenship","GARD-WEBB",47,3.28,"F"
"Colby Ramshaw","NEW HAMP",17,3.28,"F"
"Isaac McLellan","W CAROLINA",15,3.28,"F"
"Treylin Whaley","NICHOLLS",21,3.28,"F"
"Coleman Kuntz","S DAK ST",66,3.28,"F"
"Jackson Head","AUSTINPEAY",54,3.28,"F"
"Peyton Faulkner","TOWSON",22,3.28,"F"
