"Name","Team.Name","Offensive.Snaps","Composite_Score","Player_Grade"
"Jaxton Santiago","YALE",61,100,"A"
"Lucius Anderson","YALE",58,89.74,"A"
"Jyron Waiters","CAMPBELL",37,76.55,"B"
"Jaden Robinson","AUSTINPEAY",62,76.28,"B"
"Tayvion McCoy","CAL POLY",52,76.19,"B"
"Tra Neal","MONMOUTH",45,74.4,"B"
"Hassan Mahasin","GEORGETOWN",47,74.01,"B"
"Matt Fogler","COLGATE",77,72.35,"B"
"Tony Harste","IDAHO",44,72.32,"B"
"Josh Smith","PRINCETON",29,68,"B"
"Samuel Gbatu Jr.","UC DAVIS",57,66.91,"B"
"Brooks Davis","MONTANA",65,63.5,"B"
"Austin Palmer","MERRIMACK",57,61.91,"B"
"Jai Boyd","W CAROLINA",58,61.29,"B"
"Cole Monach","SAN DIEGO",76,59.03,"C"
"Lynn Wyche-El","YNGTOWN ST",54,58.2,"C"
"Fidel Pitts","CAL POLY",52,57.6,"C"
"Aaron Enterline","TOWSON",80,57.58,"C"
"Dylan Lord","ILL STATE",48,57.16,"C"
"Kory Jones","GARD-WEBB",73,56.16,"C"
"Marquis Buchanan","RHODE ISLD",53,55.6,"C"
"Joseph Towler","MORGAN ST",30,54.08,"C"
"Terrence Honeywood","WOFFORD",38,54,"C"
"Isaiah Champagne","INCAR WORD",54,53.96,"C"
"Dylan Evans","MERCYHURST",50,52.88,"C"
"Tysen Boze","S DAKOTA",41,52.58,"C"
"Lofton O'Groske","S DAK ST",54,51.78,"C"
"Trayjen Llanas-Wilcox","HOUCHR",69,51.77,"C"
"Lincoln Fisher","HOLY CROSS",53,51.66,"C"
"James Dely","STNY BROOK",37,50.85,"C"
"Marquis Willis","TARLETON",47,50.4,"C"
"Justin Perry","MORGAN ST",52,50.17,"C"
"Mar'Quan Gary","ILL STATE",30,50.12,"C"
"Ja'Ryan Wallace","HOUCHR",44,50.11,"C"
"Jason Palmieri","SACR HEART",54,50.09,"C"
"Nick Gentilella","SACR HEART",37,49.81,"C"
