"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"Kiande Marsh","SCAR STATE",127,63.5,2,97.29,"A+"
"Anthony Johns","E KENTUCKY",119,59.5,2,92.12,"A"
"Falesalafai Gatoloai","SAN DIEGO",196,65.3333333333333,3,89.5,"A"
"Ben Wallace","ILL STATE",130,65,2,88.63,"A"
"Leroy Woolridge III","CENT ARK",107,53.5,2,88.23,"A"
"Jacob Messina","LEHIGH",189,63,3,88.04,"A"
"Landon Woodard","ILL STATE",201,67,3,87.54,"A"
"Bobby Galindo","COLGATE",193,64.3333333333333,3,87.08,"A"
"Zak Bowden","AUSTINPEAY",77,38.5,2,86.96,"A"
"Daz Galloway","MURRAY ST",119,39.6666666666667,3,85.28,"A-"
"Hunter Gulley","E KENTUCKY",60,30,2,84.99,"A-"
"Tyrone McDuffie III","NWSTATE",88,44,2,84.99,"A-"
"Charles Mackley","BUTLER",107,53.5,2,84.14,"A-"
"Jamarius Wilson","SCAR STATE",124,62,2,83.46,"A-"
"Will Tellers","ELON",193,64.3333333333333,3,83.14,"A-"
"Panayiotis Mihalopoulos","E ILLINOIS",95,47.5,2,82.77,"A-"
"Sean Haney","COLGATE",193,64.3333333333333,3,82.19,"A-"
"Cole Fuller","CAL POLY",74,37,2,81.85,"A-"
"Marc Koumoundouros","ROB MORRIS",107,53.5,2,81.79,"A-"
"Burke Mastel","MONTANA ST",179,59.6666666666667,3,81.74,"A-"
"Chris McCullers","VILLANOVA",165,55,3,81.69,"A-"
"Jadon Blake","BETH COOK",121,60.5,2,80.67,"A-"
"Kanyon Ives","STF AUSTIN",182,60.6666666666667,3,80.42,"A-"
"John Hester","LAMAR",118,59,2,79.83,"B+"
"Antonio Gaines","E KENTUCKY",89,44.5,2,79.47,"B+"
"Kamron Barnes","NICHOLLS",140,46.6666666666667,3,78.81,"B+"
"David Trujillo","E ILLINOIS",74,37,2,78.76,"B+"
"Tevon Bush","MOREHEAD",73,36.5,2,78.69,"B+"
"Andy Hertlein","INDIANA ST",119,59.5,2,78.32,"B+"
"Benjamin Hicks","AUSTINPEAY",63,31.5,2,77.46,"B+"
"Noah Okoye","NC A&T",77,38.5,2,77.31,"B+"
"Eli Freeman","LNDNWD",58,29,2,77.21,"B+"
"Karl Khuns","CENT CT ST",121,60.5,2,76.81,"B+"
"Keon Daceus","CHISTA",180,60,3,76.35,"B+"
"Bo Fowler","RICHMOND",199,66.3333333333333,3,76.16,"B+"
"Everett Carr","MONTANA ST",134,44.6666666666667,3,75.78,"B+"
"Jack Beardall","SO UTAH",118,59,2,75.71,"B+"
"Jayden Daniels","TEXAS STHN",140,70,2,75.68,"B+"
"Jack Funke","BRYANT",171,57,3,75.33,"B+"
"Kelsey Hundley","RICHMOND",188,62.6666666666667,3,75.18,"B+"
"Jason Crowder","STF AUSTIN",187,62.3333333333333,3,75.16,"B+"
"Jaden Brinkley","WOFFORD",168,56,3,74.97,"B+"
"Reggie Houston","WOFFORD",168,56,3,74.49,"B+"
"Endrei Sauls","LAMAR",108,54,2,74.33,"B+"
"Dyllan Drummond","MONTANA",197,65.6666666666667,3,74.24,"B+"
"Collin Goetter","MONMOUTH",182,60.6666666666667,3,74.18,"B+"
"Ty Brown","PRVIEW A&M",148,49.3333333333333,3,74.16,"B+"
"Micah Sumpter","E TENN ST",126,42,3,73.7,"B+"
"Andrew Monsivais","N IOWA",107,53.5,2,73.65,"B+"
"Jalani Liva","SO UTAH",125,62.5,2,73.43,"B+"
"Luke Surrett","RICHMOND",161,53.6666666666667,3,70.15,"B"
"Nick Paul","CHATTNOOGA",175,58.3333333333333,3,70.11,"B"
"Will Evans","GEORGETOWN",100,50,2,69.59,"B"
"Abiathar Curry","MERCER",183,61,3,69.46,"B"
"Dezmond Penn","ALABAMA ST",104,52,2,69.29,"B"
"Dylan Rollins","MONTANA ST",54,27,2,69.24,"B"
"Eliseo Polanco","NEWHVN",176,58.6666666666667,3,69.14,"B"
"Sam Liu","MCNEESE",127,63.5,2,68.9,"B"
"Reed Collins","MONMOUTH",91,30.3333333333333,3,68.57,"B"
"Kellen Francis","S ILLINOIS",205,68.3333333333333,3,68.47,"B"
"Kelan Washington","MERCER",183,61,3,68.3,"B"
"Steven Hamby","W CAROLINA",126,63,2,68.25,"B"
"Jeron Lewis","SOUTHERN U",96,48,2,68.12,"B"
"Dorian Arguelles","W ILLINOIS",108,54,2,68.05,"B"
"Damon McMillian Jr.","RHODE ISLD",132,44,3,67.09,"B"
"Tommy Jeleniewski","STHLSK",74,37,2,66.95,"B"
"Alofaletauia Maluia","FURMAN",94,47,2,66.8,"B"
"Aden Smith","BRYANT",110,55,2,66.65,"B-"
"Kahini Austin","DUQUESNE",124,41.3333333333333,3,66.46,"B-"
"Malachi Godfrey","TEXAS STHN",118,59,2,66.15,"B-"
"Liam Becher","N DAKOTA",111,55.5,2,66.12,"B-"
"Luke Rogers","NEW HAMP",193,64.3333333333333,3,66.1,"B-"
"Derek Joiner","TARLETON",192,64,3,66.05,"B-"
"Aaron McIver","W CAROLINA",190,63.3333333333333,3,66.01,"B-"
"Eli Long","N ALABAMA",69,34.5,2,65.91,"B-"
"Collin Wright","N ALABAMA",177,59,3,65.88,"B-"
"William Paepke","S DAK ST",210,70,3,65.8,"B-"
"Tommy Broderick","VILLANOVA",171,57,3,65.78,"B-"
"Terrance Saunders II","TARLETON",192,64,3,65.75,"B-"
"Isaac Perkins","YNGTOWN ST",179,59.6666666666667,3,65.48,"B-"
"Jackson Kerstin","S DAK ST",211,70.3333333333333,3,65.25,"B-"
"George Dragovich","TXAMEA",173,57.6666666666667,3,65.1,"B-"
"Carson Wheeler","N ALABAMA",129,43,3,65.04,"B-"
"Dolapo Egunjobi","TENN MARTN",150,50,3,64.86,"B-"
"Korede Folorunso","TXAMEA",158,52.6666666666667,3,64.65,"B-"
"Aidan Palmer","LEHIGH",189,63,3,64.64,"B-"
"Nate Compere","LNDNWD",129,64.5,2,64.6,"B-"
"Marco DeCroce","FORDHAM",138,46,3,64.54,"B-"
"Jalen Nettles","SE MO ST",104,52,2,63.81,"B-"
"Hayden Raley","WM & MARY",140,70,2,63.65,"B-"
"Joden Nelson","TOWSON",78,39,2,63.62,"B-"
"Mason LaFond","FORDHAM",171,57,3,63.54,"B-"
"Brody Cutrer","WEBER ST",150,75,2,63.49,"B-"
"Michael Gradle","E WASHGTON",173,57.6666666666667,3,63.33,"B-"
"Howard Stedford","IDAHO",212,70.6666666666667,3,63.3,"B-"
"Derek Harden Jr.","S ILLINOIS",131,65.5,2,63.24,"B-"
"Caden Ellingson","S DAKOTA",175,58.3333333333333,3,63.22,"B-"
"Peter Fiumara","STHLSK",192,64,3,62.68,"B-"
"Charlie Kruger","IDAHO ST",116,58,2,62.57,"B-"
"Mason Merriwether","CAMPBELL",195,65,3,62.54,"B-"
"Arvid Sillberg","NEW HAMP",193,64.3333333333333,3,59.5,"C+"
"Jefferson Giles","N ARIZONA",101,50.5,2,59.49,"C+"
"Isaac Cariveau","N DAKOTA",111,55.5,2,59.47,"C+"
"Dayen Marouf-Araibi","RHODE ISLD",188,62.6666666666667,3,59.41,"C+"
"Pesi Fonua","UTAHTC",185,61.6666666666667,3,59.11,"C+"
"Chaylin Peine","CENT ARK",110,55,2,59.04,"C+"
"Nick Chomko","CENT CT ST",125,62.5,2,58.89,"C+"
"Noah Stanley","MAINE",175,58.3333333333333,3,58.51,"C+"
"Josiah Ware","STNY BROOK",147,49,3,58.44,"C+"
"Tristan Fui","CAL POLY",183,61,3,58.27,"C+"
"Michael Wells","BUTLER",85,42.5,2,58.07,"C+"
"Jon Faletra","STETSON",133,66.5,2,58.04,"C+"
"Jayden Montanez","UC DAVIS",175,58.3333333333333,3,57.91,"C+"
"Nick Herzog","S DAKOTA",153,51,3,57.74,"C+"
"Ian Erickson","MAINE",112,56,2,57.59,"C+"
"Kaikoa Kanakaole","MONTANA",66,33,2,57.4,"C+"
"Omari Allen","HAMPTON",106,53,2,57.23,"C+"
"Shane Keenan","YNGTOWN ST",153,51,3,57.21,"C+"
"Vincent Boila","ROB MORRIS",118,59,2,57.06,"C+"
"Nick Hughes","TXRG",153,76.5,2,56.9,"C+"
"Demoni Taylor","SE MO ST",210,70,3,56.68,"C+"
"Jeff Burton","AUSTINPEAY",137,45.6666666666667,3,56.39,"C+"
"Tyler James","WAGNER",165,55,3,56.36,"C+"
"Levi Johnson","N COLORADO",140,70,2,56.34,"C+"
"Tyler Kohler","NEWHVN",181,60.3333333333333,3,56.07,"C+"
"Eric Lane","TENN MARTN",181,60.3333333333333,3,55.67,"C+"
"Kaden Carr","ABILENE CH",179,59.6666666666667,3,55.5,"C+"
"Ben Mercado","SACR HEART",165,55,3,55.2,"C+"
"Jacob Darby","MURRAY ST",158,52.6666666666667,3,55.2,"C+"
"Caden Bowers","PRVIEW A&M",152,50.6666666666667,3,55.15,"C+"
"Kevin Garcia","STNY BROOK",215,71.6666666666667,3,54.66,"C+"
"Jaylen Pitts","HOWARD",112,56,2,54.53,"C+"
"Wade Victor","LIUSHAR",185,61.6666666666667,3,54.53,"C+"
"Cole Canty","DUQUESNE",99,33,3,54.48,"C+"
"Drue Duncan","MOREHEAD",68,34,2,54.48,"C+"
"Danny Aselton","BUCKNELL",124,62,2,54.36,"C+"
"Taki Dadiotis","SAN DIEGO",129,64.5,2,54.26,"C+"
"Lucas Freitas","MONTANA",128,42.6666666666667,3,54.12,"C+"
"Caleb Smith","NICHOLLS",160,53.3333333333333,3,53.84,"C+"
"Zac Wurm","INDIANA ST",119,59.5,2,53.68,"C+"
"Evan Cooke","MORGAN ST",90,45,2,53.56,"C+"
"Tristan Lewis","PORTLAND",194,64.6666666666667,3,53.41,"C+"
"Lucas Catoggio","HOLY CROSS",97,48.5,2,53.39,"C+"
"Tracy Jackson","CHATTNOOGA",175,58.3333333333333,3,52.74,"C"
"Frank Moss","GRAMBLING",81,40.5,2,52.43,"C"
"Sam Fallon","ALBANY",200,66.6666666666667,3,52.14,"C"
"Chizara Alegbe","HOUCHR",135,67.5,2,52.06,"C"
"Dru McClough","PRESBYTERN",118,59,2,51.92,"C"
"Damaurius Stewart","HAMPTON",90,45,2,51.88,"C"
"Mark Johnson","E WASHGTON",154,51.3333333333333,3,51.32,"C"
"Landon Roaten","ABILENE CH",185,61.6666666666667,3,46.31,"C-"
"Evan Romano","STHLSK",113,37.6666666666667,3,46.29,"C-"
"Blake Hoegler","MERCYHURST",168,56,3,46.23,"C-"
"Justin Sokol","SACR HEART",194,64.6666666666667,3,46.1,"C-"
"Mikyal Trotter","SOUTHERN U",106,53,2,46.09,"C-"
"Kameron Durant","CAMPBELL",192,64,3,45.98,"C-"
"Kaden Haeckel","IDAHO",142,71,2,45.87,"C-"
"Navi Arretche","MERCYHURST",122,40.6666666666667,3,45.87,"C-"
"Kolbe Breland","NC A&T",118,59,2,45.85,"C-"
"Verron Clarke","BETH COOK",111,55.5,2,45.81,"C-"
"Mosiah Talanoa","GEORGETOWN",113,56.5,2,45.7,"C-"
"Alec Washington","MORGAN ST",76,38,2,45.47,"C-"
"Corin Boudreaux","SE LA",155,51.6666666666667,3,45.45,"C-"
"Preston Lilley","GARD-WEBB",161,80.5,2,44.76,"C-"
"Kuba Tyszka","HOLY CROSS",164,54.6666666666667,3,44.75,"C-"
"Trey Price","UTAHTC",195,65,3,44.19,"C-"
"Joseph Cryer","NWSTATE",94,47,2,43.63,"C-"
"Jaylon Thurman","CHISTA",91,45.5,2,43.47,"C-"
"Chris Sweeney","GRAMBLING",81,40.5,2,43.02,"C-"
"Terry Thomas Jr.","NORFOLK",119,59.5,2,42.73,"C-"
"Christopher Williams","FL A&M",95,47.5,2,42.65,"C-"
"Charles Thorpe III","STETSON",86,43,2,42.35,"C-"
"Leon Crutcher","WEBER ST",149,74.5,2,42.09,"C-"
"Ryan Long","WAGNER",171,57,3,41.21,"C-"
"Tommy Dickinson","MERRIMACK",191,63.6666666666667,3,41.06,"C-"
"Jayden Chappell","NORFOLK",119,59.5,2,41.01,"C-"
"Aidan Johnson","TOWSON",180,60,3,40.67,"C-"
"Logan Potter","SE LA",159,53,3,40.37,"C-"
"Jezniah Thurston","UC DAVIS",113,56.5,2,40.17,"C-"
"James Spainhour","WM & MARY",195,65,3,39.92,"D+"
"Cole McGovern","E WASHGTON",74,37,2,39.91,"D+"
"Tavaris Ross","HOWARD",112,56,2,39.42,"D+"
"Evan Safreed","ELON",134,67,2,39.08,"D+"
"Bryce Rainwater","FURMAN",126,63,2,38.94,"D+"
"Kaleb Ferschke","PRESBYTERN",127,63.5,2,38.5,"D+"
"DeQuan Freeland","PORTLAND",191,63.6666666666667,3,38,"D+"
"Lakeem Steele","MERRIMACK",191,63.6666666666667,3,36.35,"D+"
"Qae'Shon Sapp","NC A&T",68,34,2,35.92,"D+"
"Michael Petito","MONMOUTH",120,40,3,35.74,"D+"
"Adrian Lopez","GARD-WEBB",235,78.3333333333333,3,35.73,"D+"
"Jack Hearne","N IOWA",119,59.5,2,35.61,"D+"
"Reagan Gill","MCNEESE",127,63.5,2,35.35,"D+"
"Jaden Bryant","ALCORN ST",140,70,2,34.8,"D+"
"Jaedon Garcia","IDAHO ST",116,58,2,34.24,"D+"
"Isaiah Hall","E TENN ST",92,46,2,32.38,"D"
"Cameran Rogers","ALCORN ST",137,68.5,2,32.13,"D"
"Cameron Stevenson Jr.","HOWARD",112,56,2,24.34,"D-"
"James Bailey","TXRG",153,76.5,2,22.82,"D-"
"Brendan Mcilvenna","VALPO",116,58,2,21,"D-"
"Carter Giberson","ALBANY",207,69,3,20.63,"D-"
