"Name","Team","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"David Parsons","MOREHEAD",70,35,2,83.78,"A-"
"Kaden Anderson","TARLETON",190,63.3333333333333,3,83.16,"A-"
"Beau Brungard","YNGTOWN ST",173,57.6666666666667,3,82.92,"A-"
"Devin Lippold","MCNEESE",113,56.5,2,79.37,"B+"
"Jaylen King","MERCER",104,52,2,78.38,"B+"
"Austyn Modrzewski","S DAKOTA",167,55.6666666666667,3,77.43,"B+"
"Destin Wade","N ALABAMA",177,59,3,77.37,"B+"
"Jack O'Connell","STHLSK",192,64,3,75.92,"B+"
"Carson Haggard","ROB MORRIS",104,52,2,72.35,"B"
"Kamden Sixkiller","CAMPBELL",192,64,3,72,"B"
"Nate Dahle","WEBER ST",150,75,3,71.76,"B"
"Andrew Indorf","TOWSON",170,56.6666666666667,3,71.53,"B"
"DJ Williams","S ILLINOIS",131,65.5,2,70.95,"B"
"Treynor Cleeland","UC DAVIS",166,55.3333333333333,3,70.9,"B"
"Chase Mason","S DAK ST",181,60.3333333333333,3,70.8,"B"
"Chris Parson","AUSTINPEAY",136,45.3333333333333,3,70.57,"B"
"Jordan Cooke","IDAHO ST",109,54.5,2,70.56,"B"
"Anthony Grigsby Jr.","CAL POLY",183,61,3,70.4,"B"
"Pat McQuaide","VILLANOVA",165,55,3,69.62,"B"
"Ashton Pannell","CHISTA",168,56,3,69.23,"B"
"Jerry Kaminski","N DAKOTA",109,54.5,3,68.62,"B"
"Cole Pennington","GARD-WEBB",240,80,3,68.59,"B"
"Gage Roy","ILL STATE",133,44.3333333333333,3,67.98,"B"
"Gavin Rutherford","STF AUSTIN",164,54.6666666666667,3,67.79,"B"
"Joshua Wood","IDAHO",196,65.3333333333333,3,67.76,"B"
"Kyle Lowe","SE LA",157,52.3333333333333,3,66.91,"B"
"Kai Colon","ALBANY",158,52.6666666666667,3,65.53,"B-"
"Jake Stearney","COLGATE",169,56.3333333333333,3,65.2,"B-"
"Justin Lamson","MONTANA ST",166,55.3333333333333,3,65.11,"B-"
"Thomas Von Grote","STETSON",132,44,3,64.65,"B-"
"Poochie Snyder","SACR HEART",180,60,3,61.42,"B-"
"Jaxon Dailey","N IOWA",115,57.5,3,60.78,"B-"
"Aidan Jakobsohn","TXRG",56,28,2,60.7,"B-"
"Keali'i Ah Yat","MONTANA",195,65,3,60.67,"B-"
"Kenny Lueth","N COLORADO",125,62.5,3,60.05,"B-"
"Rowan Keefe","VALPO",111,55.5,2,59.92,"C+"
"Jack Johnson","GEORGETOWN",80,40,2,59.63,"C+"
"Lex Thomas","W CAROLINA",190,63.3333333333333,3,58.56,"C+"
"Gabe Downing","PORTLAND",190,63.3333333333333,3,58.5,"C+"
"Cameron Edge","MORGAN ST",84,42,3,56.85,"C+"
"Reginald Johnson","GRAMBLING",90,45,2,56.5,"C+"
"Gabe Passini","BUTLER",107,53.5,3,56.47,"C+"
"Ui Ale","DELWARE ST",140,46.6666666666667,3,56.38,"C+"
"Beckham Pellant","ILL STATE",73,36.5,2,56.09,"C+"
"Dom Nankil","SAN DIEGO",196,65.3333333333333,3,55.76,"C+"
"Nate Bell","E WASHGTON",222,74,3,55.63,"C+"
"Cornelious Brown IV","ALAB A&M",0,NA,3,55.6,"C+"
"Christian Johnson","SOUTHERN U",87,43.5,2,55.5,"C+"
"Elijah Owens","INDIANA ST",70,35,3,55.37,"C+"
"Gabarri Johnson","SAMFORD",68,68,2,55.33,"C+"
"Tevin Carter","PRVIEW A&M",153,51,3,54.97,"C+"
"Will Burns","SO UTAH",126,63,3,54.79,"C+"
"Frankie Weaver","MONMOUTH",211,70.3333333333333,3,54.6,"C+"
"Keely Watson","SCAR STATE",100,50,2,54.58,"C+"
"Mason Mims","E TENN ST",153,51,3,54.2,"C+"
"Ty'ray Davis","Argonauts",50,50,2,53.66,"C+"
"Andrew Body","ALABAMA ST",94,47,2,53.5,"C+"
"Tyler Budge","RHODE ISLD",190,63.3333333333333,3,52.67,"C"
"Colton Fitzgerald","W GEORGIA",39,39,2,52.53,"C"
"Pops Battle","LNDNWD",129,64.5,2,52.53,"C"
"Quinn Boyd","STNY BROOK",215,71.6666666666667,3,49.62,"C"
"Benjamin Newman","WAGNER",163,54.3333333333333,3,49.54,"C"
"Nick Peipert","STTHOM",0,NA,3,49.48,"C"
"Sonny Mannino","MARIST",0,NA,2,49.04,"C"
"Braylen Ragland","SE MO ST",199,66.3333333333333,3,48.13,"C"
"Ty Pennington","N ARIZONA",110,55,3,48.12,"C"
"Riley Warzynski","DRAKE",66,66,2,47.97,"C"
"Donovyn Omolo","CENT ARK",107,53.5,3,47.76,"C"
"Winston Watkins","WM & MARY",169,56.3333333333333,3,47.59,"C"
"Alex Gevaudan","MERCYHURST",94,47,2,47.06,"C"
"Casey Bullock","DAVIDSON",54,54,3,46.93,"C"
"Kennedy McGill","W ILLINOIS",100,50,2,46.48,"C-"
"Brett Griffis","CENT CT ST",98,49,2,46.03,"C-"
"Jax Leatherwood","TENN TECH",61,61,2,45.99,"C-"
"Aiden McCown","LAMAR",106,53,2,45.94,"C-"
"Jaylon Tolbert","ALCORN ST",133,66.5,3,45.86,"C-"
"Luca Stanzani","LIUSHAR",101,50.5,2,45.33,"C-"
"Ashten Snelsire","RICHMOND",180,60,3,44.74,"C-"
"Christopher Dietrich","BUCKNELL",94,47,3,44.57,"C-"
"AJ Hairston Jr.","MERRIMACK",153,51,3,44.53,"C-"
"TJ Crews IV","ELON",84,42,2,44.46,"C-"
"Kevin White","NC A&T",85,42.5,3,44.04,"C-"
"Nelson Layne","NC CENT",48,24,3,43.93,"C-"
"David Lynch","HOLY CROSS",183,61,3,43.75,"C-"
"Brooks Bentley","NEW HAMP",166,55.3333333333333,3,43.28,"C-"
"Zach Wilcke","NWSTATE",41,41,2,43.24,"C-"
"Cole LaCrue","E ILLINOIS",95,31.6666666666667,3,42.47,"C-"
"Tyler Jefferson","BETH COOK",74,37,2,41.6,"C-"
"Bronson Barben","UTAHTC",181,60.3333333333333,3,41.52,"C-"
"Noah Brannock","DELWARE ST",44,22,2,41.15,"C-"
"Tre'Von Taylor","HAMPTON",40,40,2,36.83,"D+"
"Tate Surber","TENN MARTN",162,54,3,36.6,"D+"
"Emmett Brown","INCAR WORD",95,95,2,36.41,"D+"
"Garrison Davis","ARKAPB",22,22,3,36.26,"D+"
"Eddie Buehler","MAINE",189,63,3,35.98,"D+"
"Cutter Stewart","HOUCHR",95,47.5,3,35.96,"D+"
"Garret Rangel","TXRG",97,48.5,2,35.45,"D+"
"Jim Ogle","MURRAY ST",89,29.6666666666667,3,35.3,"D+"
"Ethan Drumm","WOFFORD",79,39.5,2,35.05,"D+"
"Brennan Myer","BRYANT",171,57,3,34.87,"D+"
"Ja'Shawn Scroggins","HOWARD",93,46.5,2,34.41,"D+"
"Gunnar Smith","FORDHAM",162,54,3,33.67,"D+"
"Landon Sharpe","PRESBYTERN",115,57.5,2,33.66,"D+"
"Bryce Schondelmyer","DAYTON",0,NA,2,33.56,"D+"
"Daniel Lipovski","LAFAYETTE",56,56,3,33.44,"D+"
"Daylin Lee","TENN STATE",36,36,3,33.02,"D"
"Deljay Bailey","NORFOLK",101,50.5,3,32.94,"D"
"Ean Rodrigue","NICHOLLS",169,56.3333333333333,3,32.85,"D"
"John David Black","ABILENE CH",127,63.5,2,32.65,"D"
"Joshua Brown","MS VLY ST",26,26,3,31.64,"D"
"Jake Garcia","FURMAN",108,54,2,31.07,"D"
"Jack Jacobs","TXAMEA",110,55,2,30.76,"D"
"Tyler Travers","E KENTUCKY",134,67,2,30.46,"D"
"Carson Camp","DUQUESNE",128,42.6666666666667,3,30.31,"D"
"Ian Reynolds","VA MILT IN",0,NA,2,30.17,"D"
"Dustin Fletcher","FL A&M",29,29,2,29.62,"D"
"AJ Duffy","NEWHVN",181,60.3333333333333,3,28.56,"D"
"Lek Powell","CHARLES SO",49,49,2,28.27,"D"
"Battle Alberson","CHATTNOOGA",117,58.5,2,23.35,"D-"
"Cam'Ron McCoy","TEXAS STHN",99,49.5,2,20.12,"D-"
"J.T. Fayard","WOFFORD",74,37,2,16.65,"F"
