"Name","Team.Name","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"Sean Clarke","RICHMOND",105,52.5,2,92.01,"A"
"Tanner Beaman","PORTLAND",190,63.3333333333333,3,81.59,"A-"
"Noah West-Baranco","IDAHO",131,65.5,2,75.48,"B+"
"Anthony Benzija","STETSON",108,54,2,71.93,"B"
"Garrett Harstad","N COLORADO",82,41,2,71.44,"B"
"Mariano Birdno","MONTANA",82,41,2,61.84,"B-"
"Sean Sallis","TXAMEA",111,55.5,2,61.56,"B-"
"Jeter Purdy","N ARIZONA",87,43.5,2,58.51,"C+"
"Camden Lewis","MERCYHURST",144,48,3,56.76,"C+"
"Danny Joiner","TARLETON",160,53.3333333333333,3,56.08,"C+"
"Xavier Phipps","TEXAS STHN",85,42.5,2,55.85,"C+"
"Lonnie Shinn","SE LA",127,42.3333333333333,3,54.97,"C+"
"Alex Herrera","ILL STATE",70,35,2,54.9,"C+"
"Jaylan Johnson","INDIANA ST",60,30,2,54.9,"C+"
"Micah Mackay","VALPO",57,28.5,2,53.19,"C"
"Evan Morris","N COLORADO",94,47,2,51.45,"C"
"Rocky Lencioni","MONTANA ST",94,47,2,49.1,"C"
"Jack Ewell","WOFFORD",73,36.5,2,48.96,"C"
"Edward Khutsishvili","UC DAVIS",100,33.3333333333333,3,46.77,"C"
"Nicolas Brown","SCAR STATE",100,50,2,46.3,"C-"
"Davin Driskell","LAMAR",71,35.5,2,44.22,"C-"
"Will Dixon","RHODE ISLD",65,32.5,2,43.9,"C-"
"Jake Young","W CAROLINA",117,39,3,43.18,"C-"
"Marcus Middleton","MONMOUTH",101,50.5,2,42.12,"C-"
"Larry Benton III","ABILENE CH",66,33,2,42.04,"C-"
"Titus Rohrer","MONTANA",78,39,2,42.01,"C-"
"Miles Marshall","S ILLINOIS",165,55,3,41.48,"C-"
"Nathanial Clark","HOWARD",96,48,2,40.43,"C-"
"Colin Hayes","VALPO",64,32,2,39.42,"D+"
"Itty Henry","ABILENE CH",134,44.6666666666667,3,38.79,"D+"
"Drew Sullivan","BUTLER",56,28,2,38.25,"D+"
"Dylan Magazu","ELON",83,41.5,2,37.17,"D+"
"Greyton Gannon","S DAK ST",63,31.5,2,36.65,"D+"
"Andrew Korkosz","MERRIMACK",95,47.5,2,36.25,"D+"
"Kayden Stuit","E WASHGTON",112,37.3333333333333,3,35.15,"D+"
"Cole Clarke","STHLSK",88,44,2,35.13,"D+"
"Rayden Aphayvong","STNY BROOK",149,49.6666666666667,3,33.37,"D+"
"Reed Boyd","MCNEESE",93,46.5,2,33.08,"D"
"Elijah Smalls","MAINE",64,32,2,32.8,"D"
"Charlie Browder","E TENN ST",118,39.3333333333333,3,31.74,"D"
"Max Ziebarth","ILL STATE",103,51.5,2,31.37,"D"
"Mason McSweeney","HOLY CROSS",109,36.3333333333333,3,31.14,"D"
"Austin Bray","YNGTOWN ST",76,38,2,30.67,"D"
"Hayden Daugherty","N ARIZONA",86,43,2,30.65,"D"
"Nick Petrillo","ALBANY",99,33,3,30.14,"D"
"Cameron Kelley","STF AUSTIN",65,32.5,2,30.02,"D"
"Sean McElwain","WM & MARY",76,38,2,30.02,"D"
"Alex McDonald","YNGTOWN ST",91,30.3333333333333,3,29.96,"D"
"Aidan Sefa","W GEORGIA",75,37.5,2,29.5,"D"
"Coleman Kuntz","S DAK ST",146,73,2,28.76,"D"
"Jack Roland","CHISTA",93,31,3,28.27,"D"
"Kaleb Costner","TENN MARTN",146,48.6666666666667,3,28.18,"D"
"Nolan Clayton","VILLANOVA",119,39.6666666666667,3,25.71,"D-"
"Samuel Albee","MERCER",101,50.5,2,24.87,"D-"
"Karsen Konkel","S ILLINOIS",74,37,2,24.67,"D-"
"Jaron Kelley","DELWARE ST",70,35,2,21.88,"D-"
"Tyreke Jinks","ROB MORRIS",77,38.5,2,21.75,"D-"
"Treylin Whaley","NICHOLLS",59,29.5,2,21.03,"D-"
"Jayden York","ABILENE CH",80,40,2,19.95,"F"
"Jackson Pryor","FURMAN",88,44,2,19.67,"F"
"Ty Brown","MURRAY ST",106,35.3333333333333,3,19.14,"F"
"Chris Herrin","S DAKOTA",59,29.5,2,18.2,"F"
"Jaden Fowler","WOFFORD",55,27.5,2,17.62,"F"
"Will McKissick","E WASHGTON",91,30.3333333333333,3,16.8,"F"
"Ryan Johnson","E WASHGTON",56,28,2,13.75,"F"
"Aiden Grote","LNDNWD",117,58.5,2,13.72,"F"
"Greg Genross","MONMOUTH",108,36,3,12.92,"F"
"TJ Briggs","CHATTNOOGA",76,38,2,12.7,"F"
"David Hargro","W ILLINOIS",121,60.5,2,12.69,"F"
"Clayton Leonard","SE MO ST",84,42,2,10.76,"F"
"Landon Strickland","CHATTNOOGA",85,42.5,2,8.66,"F"
"Jackson Head","AUSTINPEAY",93,46.5,2,8.41,"F"
"Gus Donnerberg","IDAHO",55,27.5,2,0,"F"
"Koby Keenan","BRYANT",81,40.5,2,0,"F"
